episode,avg_travel_time,total,complete,ratio,stops
1,1374.94,2326,561,0.24,2241
2,1247.03,2401,781,0.33,2317
3,1273.48,2384,711,0.3,2298
4,1209.14,2446,805,0.33,2358
5,1243.24,2394,730,0.3,2310
6,1222.37,2419,775,0.32,2336
7,1208.26,2376,815,0.34,2296
8,1245.07,2346,741,0.32,2269
9,1263.92,2340,705,0.3,2258
10,1197.4,2406,840,0.35,2309
11,1205.77,2374,805,0.34,2288
12,1173.36,2391,861,0.36,2297
13,1177.59,2387,860,0.36,2296
14,1169.92,2354,894,0.38,2253
15,1145.11,2404,906,0.38,2321
16,1128.42,2408,917,0.38,2315
17,1123.7,2397,935,0.39,2301
18,1129.55,2416,944,0.39,2319
19,1114.62,2417,980,0.41,2310
20,1099.4,2435,1001,0.41,2344
21,1082.86,2449,1004,0.41,2356
22,1126.08,2414,958,0.4,2313
23,1102.7,2436,982,0.4,2341
24,1114.49,2429,961,0.4,2334
25,1102.82,2437,973,0.4,2336
26,1108.12,2455,961,0.39,2363
27,1124.92,2424,945,0.39,2331
28,1050.88,2486,1025,0.41,2387
29,1061.12,2482,1004,0.4,2389
30,1018.59,2521,1083,0.43,2424
31,1030.88,2498,1082,0.43,2400
32,1041.33,2508,1056,0.42,2409
33,1037.58,2479,1056,0.43,2386
34,1066.46,2489,1009,0.41,2394
35,1045.99,2499,1022,0.41,2403
36,1037.4,2501,1055,0.42,2405
37,1069.62,2492,979,0.39,2397
38,1048.06,2479,1020,0.41,2381
39,1025.22,2498,1097,0.44,2400
40,1056.24,2487,1019,0.41,2383
41,1019.39,2502,1089,0.44,2407
42,1024.9,2494,1108,0.44,2399
43,1060.93,2480,986,0.4,2384
44,1019.89,2506,1097,0.44,2407
45,1008.62,2515,1121,0.45,2413
46,1044.64,2516,1055,0.42,2415
47,1030.34,2493,1048,0.42,2389
48,1035.97,2506,1031,0.41,2404
49,1044.85,2495,1025,0.41,2391
50,1061.4,2489,991,0.4,2378
51,1031.22,2496,1093,0.44,2390
52,1018.58,2528,1122,0.44,2433
53,1038.92,2502,1080,0.43,2400
54,1023.07,2503,1072,0.43,2409
55,1016.13,2504,1095,0.44,2406
56,1069.23,2465,967,0.39,2375
57,1063.24,2495,963,0.39,2394
58,1035.64,2487,1056,0.42,2380
59,1041.14,2484,1066,0.43,2384
60,1028.89,2500,1077,0.43,2395
61,1050.79,2488,1010,0.41,2392
62,1030.36,2505,1066,0.43,2412
63,1038.07,2491,1090,0.44,2388
64,1061.82,2488,990,0.4,2393
65,1020.79,2498,1098,0.44,2396
66,1022.12,2495,1086,0.44,2391
67,1019.19,2500,1074,0.43,2402
68,1052.89,2488,995,0.4,2392
69,1044.06,2492,1027,0.41,2393
70,1094.28,2485,916,0.37,2382
71,1049.19,2476,1030,0.42,2370
72,1044.15,2500,1018,0.41,2399
73,1055.29,2494,993,0.4,2392
74,1019.82,2500,1080,0.43,2387
75,1018.48,2504,1072,0.43,2397
76,1036.74,2510,1064,0.42,2402
77,1082.83,2483,945,0.38,2376
78,1020.73,2503,1111,0.44,2396
79,1056.53,2488,1012,0.41,2383
80,1145.19,2448,832,0.34,2358
81,1068.19,2464,993,0.4,2364
82,1082.84,2469,934,0.38,2361
83,1109.64,2448,886,0.36,2350
84,1039.38,2490,1063,0.43,2393
85,1073.67,2478,954,0.38,2390
86,1055.49,2494,1013,0.41,2383
87,1037.44,2494,1039,0.42,2389
88,1031.93,2491,1062,0.43,2387
89,1069.65,2466,953,0.39,2364
90,1099.34,2474,921,0.37,2370
91,1044.97,2498,1030,0.41,2398
92,1090.98,2472,915,0.37,2373
93,1023.77,2517,1091,0.43,2407
94,1024.86,2496,1069,0.43,2389
95,1096.49,2487,929,0.37,2389
96,1085.85,2458,944,0.38,2353
97,1047.35,2497,1054,0.42,2396
98,1037.94,2502,1094,0.44,2404
99,1080.36,2486,939,0.38,2377
100,1034.47,2512,1035,0.41,2414
101,1064.87,2486,970,0.39,2375
102,1018.51,2496,1090,0.44,2399
103,1026.15,2490,1059,0.43,2387
104,994.57,2511,1161,0.46,2413
105,1062.02,2505,992,0.4,2404
106,1067.97,2487,981,0.39,2391
107,1075.86,2505,1015,0.41,2403
108,1058.57,2490,980,0.39,2390
109,1049.98,2485,1035,0.42,2375
110,1070.79,2488,952,0.38,2379
111,1029.42,2491,1034,0.42,2392
112,1068.18,2494,968,0.39,2382
113,1032.58,2493,1031,0.41,2393
114,1039.15,2496,1021,0.41,2379
115,1041.31,2479,1035,0.42,2377
116,1034.27,2482,1046,0.42,2382
117,1008.62,2515,1108,0.44,2410
118,1044.35,2499,1014,0.41,2394
119,1009.33,2494,1103,0.44,2397
120,1031.44,2501,1057,0.42,2404
121,1030.5,2503,1076,0.43,2400
122,1020.86,2505,1091,0.44,2404
123,1021.81,2503,1093,0.44,2403
124,1082.58,2485,935,0.38,2387
125,1048.79,2479,1025,0.41,2369
126,1044.94,2500,1023,0.41,2393
127,1028.19,2487,1055,0.42,2381
128,1025.63,2499,1060,0.42,2404
129,1019.53,2495,1090,0.44,2378
130,1073.98,2483,944,0.38,2386
131,1057.05,2490,1014,0.41,2383
132,1006.74,2502,1089,0.44,2402
133,1024.54,2500,1083,0.43,2401
134,1031.2,2501,1072,0.43,2396
135,1016.99,2500,1111,0.44,2392
136,1020.84,2487,1092,0.44,2395
137,1014.92,2514,1115,0.44,2419
138,1020.27,2504,1082,0.43,2393
139,1041.1,2507,1018,0.41,2403
140,1015.67,2494,1082,0.43,2396
141,1021.37,2514,1102,0.44,2416
142,1037.59,2492,1051,0.42,2387
143,1024.69,2494,1077,0.43,2383
144,1055.66,2508,985,0.39,2406
145,1065.63,2479,993,0.4,2373
146,1030.58,2502,1058,0.42,2394
147,1057.44,2491,1044,0.42,2392
148,1054.83,2499,986,0.39,2403
149,1027.61,2499,1119,0.45,2398
150,1020.25,2503,1114,0.45,2402
151,1018.36,2502,1100,0.44,2404
152,1090.72,2475,939,0.38,2381
153,1026.67,2494,1073,0.43,2393
154,1014.38,2496,1094,0.44,2390
155,1010.99,2505,1113,0.44,2396
156,1013.17,2517,1108,0.44,2413
157,1043.24,2488,1014,0.41,2387
158,1119.64,2494,872,0.35,2397
159,1044.45,2480,1034,0.42,2375
160,1076.75,2496,945,0.38,2391
161,1042.13,2501,1027,0.41,2398
162,1065.84,2476,962,0.39,2378
163,1020.01,2495,1068,0.43,2385
164,1055.51,2485,999,0.4,2377
165,1030.87,2490,1078,0.43,2389
166,1082.79,2494,952,0.38,2396
167,1025.25,2486,1059,0.43,2382
168,1065.47,2495,969,0.39,2394
169,995.68,2512,1155,0.46,2408
170,1068.52,2491,966,0.39,2390
171,1029.36,2499,1075,0.43,2389
172,1026.99,2495,1060,0.42,2396
173,1037.32,2503,1024,0.41,2401
174,1021.91,2508,1069,0.43,2396
175,1099.81,2486,896,0.36,2394
176,1210.16,2497,771,0.31,2391
177,1025.91,2491,1052,0.42,2392
178,1018.21,2511,1085,0.43,2407
179,1062.67,2474,980,0.4,2365
180,1037.46,2505,1015,0.41,2394
181,1111.58,2491,865,0.35,2379
182,1062.03,2490,984,0.4,2379
183,1015.62,2519,1082,0.43,2403
184,1066.7,2475,952,0.38,2376
185,1040.91,2492,1026,0.41,2384
186,1007.35,2510,1126,0.45,2398
187,1047.65,2489,1004,0.4,2385
188,1052.12,2481,1014,0.41,2381
189,1040.37,2488,1018,0.41,2379
190,1007.32,2512,1098,0.44,2402
191,1013.89,2490,1098,0.44,2378
192,1042.71,2499,1019,0.41,2386
193,1051.32,2487,997,0.4,2387
194,1047.9,2473,1001,0.4,2369
195,1015.83,2491,1087,0.44,2396
196,1099.68,2451,915,0.37,2349
197,1011.61,2504,1082,0.43,2395
198,1026.45,2491,1050,0.42,2387
199,1031.89,2484,1050,0.42,2378
200,1058.46,2494,982,0.39,2389
