episode,avg_travel_time,total,complete,ratio,stops
1,798.48,5576,3649,0.65,4393
2,726.09,5645,3833,0.68,4456
3,755.49,5650,3911,0.69,4484
4,745.27,5771,4029,0.7,4594
5,741.85,5619,3991,0.71,4425
6,680.34,5801,4231,0.73,4562
7,657.74,5911,4485,0.76,4687
8,654.89,5968,4528,0.76,4744
9,690.46,5837,4402,0.75,4599
10,653.45,5943,4450,0.75,4709
11,648.12,5895,4429,0.75,4640
12,647.7,5876,4519,0.77,4646
13,632.74,5899,4567,0.77,4644
14,646.39,5760,4350,0.76,4513
15,642.22,5854,4457,0.76,4592
16,650.68,5871,4157,0.71,4612
17,689.95,5880,3992,0.68,4614
18,655.34,5956,4192,0.7,4685
19,647.66,5962,4303,0.72,4638
20,594.83,6056,4748,0.78,4742
21,613.85,5810,4501,0.77,4560
22,646.71,6022,4353,0.72,4752
23,606.48,6023,4676,0.78,4761
24,577.12,5990,4650,0.78,4670
25,499.53,6164,4989,0.81,4856
26,521.38,6185,4863,0.79,4917
27,578.77,6093,4595,0.75,4835
28,633.56,5800,4211,0.73,4569
29,570.08,5902,4619,0.78,4642
30,557.65,6151,4754,0.77,4848
31,491.27,6226,5007,0.8,4972
32,576.25,5973,4517,0.76,4711
33,510.79,6168,4918,0.8,4884
34,493.86,6226,5113,0.82,4940
35,545.34,6213,4973,0.8,4936
36,544.12,6108,4800,0.79,4796
37,464.67,6295,5233,0.83,5019
38,514.3,6241,5179,0.83,4987
39,563.57,6096,4693,0.77,4809
40,567.66,6064,4816,0.79,4787
41,504.88,6264,4993,0.8,5016
42,504.54,6236,4941,0.79,4969
43,540.01,6115,4844,0.79,4852
44,547.33,6199,4997,0.81,4934
45,510.45,6195,5130,0.83,4925
46,585.01,5894,4507,0.76,4623
47,581.79,5957,4594,0.77,4716
48,583.27,6009,4741,0.79,4748
49,541.58,6114,4800,0.79,4836
50,527.92,6196,5026,0.81,4921
51,516.54,6141,4881,0.79,4843
52,514.36,6199,5057,0.82,4928
53,512.35,6167,4993,0.81,4869
54,520.33,6116,4761,0.78,4828
55,508.81,6212,5160,0.83,4908
56,521.61,6159,4876,0.79,4873
57,478.39,6252,5313,0.85,4956
58,568.59,5893,4526,0.77,4585
59,480.78,6263,5193,0.83,4974
60,524.38,6148,4839,0.79,4846
61,515.91,6207,4988,0.8,4898
62,509.98,6184,5035,0.81,4871
63,593.02,5824,4423,0.76,4509
64,570.36,6047,4573,0.76,4734
65,569.15,6048,4665,0.77,4744
66,536.49,6089,4778,0.78,4773
67,566.05,6019,4660,0.77,4712
68,565.83,6059,4706,0.78,4720
69,581.35,5985,4560,0.76,4674
70,565.73,6032,4691,0.78,4710
71,517.77,6069,4828,0.8,4747
72,505.85,6185,4929,0.8,4889
73,480.56,6260,5115,0.82,4960
74,521.11,6102,4750,0.78,4806
75,443.05,6260,5405,0.86,4976
76,487.4,6222,4887,0.79,4921
77,525.87,6134,4845,0.79,4837
78,555.04,5953,4593,0.77,4684
79,543.42,5994,4635,0.77,4688
80,443.61,6250,5364,0.86,4956
81,463.93,6213,5013,0.81,4907
82,526.83,6171,4740,0.77,4860
