episode,avg_travel_time,total,complete,ratio,stops
1,619.86,5885,4274,0.73,5557
2,609.71,5895,4262,0.72,5558
3,574.82,5949,4468,0.75,5605
4,603.28,5966,4267,0.72,5620
5,554.84,5931,4400,0.74,5577
6,582.01,5845,4185,0.72,5497
7,507.98,5940,4746,0.8,5580
8,512.45,5927,4760,0.8,5568
9,499.47,5954,4776,0.8,5584
10,494.79,5946,4786,0.8,5585
11,482.22,5959,4838,0.81,5587
12,492.64,5948,4763,0.8,5579
13,471.67,5982,4866,0.81,5608
14,452.0,5952,4823,0.81,5578
15,437.83,5986,5037,0.84,5599
16,437.24,5997,5023,0.84,5607
17,427.98,5991,5028,0.84,5593
18,424.83,5994,5041,0.84,5604
19,443.48,5986,4978,0.83,5600
20,406.49,5997,5109,0.85,5598
21,412.33,5981,5018,0.84,5597
22,409.54,5997,5089,0.85,5619
23,410.15,5997,5052,0.84,5607
24,398.65,5997,5123,0.85,5609
25,398.56,5997,5095,0.85,5609
26,406.5,5992,5049,0.84,5594
27,397.0,5997,5098,0.85,5609
28,396.76,5984,5069,0.85,5598
29,395.21,5997,5121,0.85,5616
30,389.98,5992,5088,0.85,5598
31,393.96,5997,5112,0.85,5604
32,393.77,5991,5072,0.85,5614
33,382.92,5994,5118,0.85,5601
34,382.95,5997,5168,0.86,5615
35,386.97,5991,5107,0.85,5617
36,386.03,5994,5104,0.85,5590
37,379.47,5997,5165,0.86,5604
38,386.47,5992,5106,0.85,5603
39,397.8,5984,5076,0.85,5591
40,393.61,5997,5074,0.85,5612
41,399.28,5989,5038,0.84,5603
42,388.98,5993,5084,0.85,5605
43,386.92,5994,5093,0.85,5600
44,395.65,5979,5052,0.84,5578
45,388.56,5990,5095,0.85,5600
46,404.26,5997,4956,0.83,5604
47,402.63,5981,5002,0.84,5591
48,393.74,5987,5057,0.84,5600
49,397.36,5997,5047,0.84,5610
50,394.15,5992,5058,0.84,5594
51,386.06,5997,5131,0.86,5607
52,391.32,5995,5079,0.85,5607
53,395.14,5987,5081,0.85,5589
54,386.55,5992,5099,0.85,5592
55,392.17,5997,5069,0.85,5593
56,387.67,5997,5133,0.86,5601
57,386.33,5997,5103,0.85,5581
58,376.76,5997,5134,0.86,5616
59,380.65,5994,5102,0.85,5608
60,382.36,5997,5146,0.86,5592
61,379.77,5987,5105,0.85,5591
62,383.01,5997,5125,0.85,5597
63,373.32,5997,5173,0.86,5599
64,378.32,5991,5116,0.85,5616
65,375.69,5994,5153,0.86,5597
66,380.0,5997,5149,0.86,5610
67,381.5,5991,5108,0.85,5591
68,384.88,5997,5126,0.85,5624
69,380.55,5989,5121,0.86,5583
70,382.07,5987,5091,0.85,5588
71,381.06,5992,5098,0.85,5605
72,377.98,5992,5108,0.85,5599
73,373.75,5993,5168,0.86,5593
74,377.81,5987,5102,0.85,5594
75,378.53,5997,5076,0.85,5604
76,381.93,5997,5107,0.85,5598
77,386.49,5995,5080,0.85,5604
78,377.18,5997,5138,0.86,5609
79,375.52,5993,5129,0.86,5599
80,374.09,5991,5128,0.86,5604
81,381.39,5997,5112,0.85,5591
82,378.57,5997,5148,0.86,5591
83,385.64,5988,5073,0.85,5603
84,385.43,5997,5111,0.85,5611
85,381.94,5997,5105,0.85,5613
86,378.81,5988,5107,0.85,5598
87,387.77,5976,5056,0.85,5602
88,377.44,5996,5059,0.84,5608
89,387.18,5976,5066,0.85,5598
90,374.53,5995,5149,0.86,5605
91,374.78,5997,5156,0.86,5610
92,385.25,5977,5081,0.85,5597
93,381.08,5991,5084,0.85,5608
94,376.67,5990,5119,0.85,5603
95,375.87,5990,5124,0.86,5615
96,375.47,5996,5115,0.85,5601
97,378.54,5992,5117,0.85,5603
98,375.89,5996,5134,0.86,5606
99,377.93,5988,5105,0.85,5592
100,378.96,5988,5096,0.85,5582
101,375.6,5997,5136,0.86,5605
102,377.16,5993,5102,0.85,5604
103,375.41,5995,5110,0.85,5607
104,378.37,5997,5130,0.86,5612
105,379.0,5982,5099,0.85,5599
106,373.58,5993,5148,0.86,5595
107,372.06,5997,5151,0.86,5611
108,377.29,5989,5110,0.85,5586
109,371.81,5997,5126,0.85,5607
110,370.76,5994,5154,0.86,5613
111,387.25,5997,5078,0.85,5614
112,378.73,5989,5128,0.86,5593
113,375.8,5997,5147,0.86,5608
114,387.35,5997,5095,0.85,5616
115,376.14,5992,5122,0.85,5608
116,370.62,5997,5161,0.86,5590
117,384.59,5980,5090,0.85,5598
118,374.48,5997,5142,0.86,5611
119,378.3,5997,5132,0.86,5611
120,381.45,5987,5104,0.85,5595
121,378.07,5992,5121,0.85,5597
122,376.44,5997,5154,0.86,5602
123,372.9,5997,5137,0.86,5608
124,375.0,5993,5135,0.86,5599
125,381.53,5997,5146,0.86,5600
126,383.18,5977,5082,0.85,5582
127,373.36,5990,5118,0.85,5595
128,374.38,5997,5180,0.86,5613
129,376.46,5997,5148,0.86,5607
130,370.14,5997,5151,0.86,5606
131,380.07,5985,5115,0.85,5604
132,372.51,5996,5150,0.86,5603
133,369.55,5997,5161,0.86,5609
134,384.19,5977,5062,0.85,5584
135,376.88,5997,5110,0.85,5597
136,375.02,5997,5121,0.85,5596
137,371.62,5993,5149,0.86,5616
138,376.54,5997,5132,0.86,5581
139,391.89,5985,4933,0.82,5588
140,375.94,5997,5167,0.86,5597
141,376.48,5990,5105,0.85,5601
142,377.7,5991,5132,0.86,5590
143,378.16,5987,5109,0.85,5600
144,370.51,5994,5153,0.86,5604
145,374.98,5991,5130,0.86,5594
146,379.97,5989,5111,0.85,5594
147,379.7,5983,5100,0.85,5583
148,373.77,5992,5126,0.86,5602
149,375.84,5987,5105,0.85,5585
150,370.77,5997,5171,0.86,5610
151,377.69,5992,5135,0.86,5605
152,381.3,5992,5107,0.85,5598
153,381.07,5992,5110,0.85,5591
154,378.86,5997,5129,0.86,5603
155,376.87,5997,5166,0.86,5600
156,378.93,5997,5143,0.86,5602
157,380.89,5996,5114,0.85,5596
158,379.56,5994,5124,0.85,5592
159,378.35,5997,5123,0.85,5602
160,376.87,5997,5142,0.86,5602
161,381.71,5986,5096,0.85,5590
162,379.56,5995,5132,0.86,5596
163,380.49,5997,5144,0.86,5610
164,372.39,5992,5125,0.86,5594
165,381.45,5991,5086,0.85,5602
166,380.8,5997,5120,0.85,5607
167,375.65,5994,5115,0.85,5595
168,381.11,5997,5144,0.86,5602
169,377.0,5997,5143,0.86,5596
170,381.81,5996,5125,0.85,5597
171,383.35,5985,5035,0.84,5602
172,372.68,5994,5132,0.86,5597
173,377.51,5990,5137,0.86,5603
174,377.21,5988,5105,0.85,5588
175,375.82,5988,5127,0.86,5597
176,375.73,5997,5149,0.86,5601
177,373.84,5993,5135,0.86,5603
178,374.24,5997,5112,0.85,5607
179,381.71,5993,5089,0.85,5586
180,377.07,5993,5129,0.86,5586
181,379.16,5989,5114,0.85,5585
182,378.17,5996,5122,0.85,5594
183,378.4,5995,5112,0.85,5602
184,377.24,5997,5110,0.85,5591
185,381.93,5995,5115,0.85,5598
186,375.27,5997,5114,0.85,5617
187,375.78,5997,5143,0.86,5607
188,380.79,5987,5116,0.85,5588
189,371.95,5997,5172,0.86,5587
190,374.71,5997,5137,0.86,5597
191,376.81,5997,5128,0.86,5599
192,378.06,5997,5102,0.85,5603
193,374.78,5997,5144,0.86,5592
194,376.24,5997,5147,0.86,5595
195,378.91,5997,5114,0.85,5596
196,383.62,5980,5059,0.85,5571
197,374.5,5988,5107,0.85,5606
198,380.73,5983,5079,0.85,5591
199,378.3,5997,5121,0.85,5606
200,375.23,5991,5135,0.86,5611
