episode,avg_travel_time,total,complete,ratio,stops
1,976.65,5580,3477,0.62,5344
2,1014.8,5626,3293,0.59,5378
3,1004.52,5644,3504,0.62,5392
4,1038.48,5551,3098,0.56,5291
5,1019.63,5595,3295,0.59,5348
6,983.33,5577,3486,0.63,5315
7,983.12,5705,3640,0.64,5459
8,932.83,5637,3895,0.69,5380
9,969.38,5653,3535,0.63,5396
10,958.91,5620,3646,0.65,5370
11,943.79,5654,3651,0.65,5408
12,919.27,5772,3961,0.69,5517
13,895.11,5775,3903,0.68,5515
14,918.14,5774,3850,0.67,5525
15,907.9,5749,3975,0.69,5488
16,893.83,5769,3798,0.66,5507
17,874.28,5854,4108,0.7,5580
18,931.15,5797,3545,0.61,5537
19,950.74,5701,3375,0.59,5452
20,945.51,5684,3427,0.6,5411
21,930.61,5729,3493,0.61,5465
22,838.88,5805,4225,0.73,5542
23,935.69,5771,3586,0.62,5498
24,842.96,5803,4305,0.74,5537
25,898.94,5787,3815,0.66,5522
26,825.06,5786,4328,0.75,5511
27,823.47,5831,4360,0.75,5559
28,862.02,5814,3936,0.68,5546
29,885.86,5745,3757,0.65,5473
30,811.84,5823,4281,0.74,5550
31,906.87,5745,3582,0.62,5481
32,825.17,5877,4239,0.72,5602
33,804.86,5828,4341,0.74,5551
34,793.66,5862,4474,0.76,5589
35,792.17,5854,4509,0.77,5571
36,833.4,5863,3944,0.67,5605
37,977.62,5686,3044,0.54,5425
38,784.79,5885,4475,0.76,5626
39,830.39,5908,3871,0.66,5624
40,890.28,5884,3713,0.63,5621
41,769.12,5893,4531,0.77,5623
42,838.78,5857,3894,0.66,5577
43,765.69,5888,4526,0.77,5619
44,850.25,5859,3873,0.66,5594
45,829.43,5917,3911,0.66,5648
46,775.43,5901,4450,0.75,5624
47,799.67,5894,4162,0.71,5630
48,848.3,5812,3794,0.65,5544
49,861.73,5818,3795,0.65,5547
50,808.01,5853,4219,0.72,5585
51,804.14,5888,4243,0.72,5628
52,814.55,5833,3997,0.69,5581
53,779.7,5882,4386,0.75,5591
54,802.82,5891,4059,0.69,5622
55,765.17,5874,4419,0.75,5587
56,762.32,5881,4451,0.76,5603
57,793.45,5861,4401,0.75,5593
58,783.41,5861,4457,0.76,5587
59,780.2,5877,4281,0.73,5593
60,739.51,5897,4595,0.78,5618
61,815.44,5909,3998,0.68,5642
62,797.46,5857,4098,0.7,5588
63,766.08,5884,4461,0.76,5596
64,785.57,5905,4189,0.71,5635
65,738.34,5885,4630,0.79,5618
66,801.09,5907,4058,0.69,5636
67,732.26,5899,4642,0.79,5600
68,755.55,5918,4466,0.75,5646
69,733.97,5877,4668,0.79,5586
70,742.09,5927,4539,0.77,5629
71,750.55,5881,4597,0.78,5599
72,731.36,5928,4671,0.79,5643
73,735.93,5885,4641,0.79,5597
74,783.72,5887,4219,0.72,5612
75,768.17,5902,4241,0.72,5629
76,780.84,5882,4220,0.72,5608
77,760.8,5896,4357,0.74,5613
78,742.48,5900,4696,0.8,5616
79,732.15,5895,4674,0.79,5609
80,763.11,5915,4385,0.74,5641
81,732.65,5865,4699,0.8,5578
82,737.64,5887,4701,0.8,5603
83,723.91,5893,4730,0.8,5606
84,731.57,5894,4645,0.79,5616
85,765.98,5864,4204,0.72,5594
86,735.97,5894,4668,0.79,5609
87,774.32,5880,4341,0.74,5609
88,737.83,5871,4688,0.8,5576
89,726.52,5894,4713,0.8,5606
90,777.27,5868,4208,0.72,5576
91,725.08,5883,4747,0.81,5599
92,765.23,5879,4243,0.72,5600
93,784.71,5856,4109,0.7,5589
94,743.38,5916,4501,0.76,5644
95,726.06,5887,4647,0.79,5605
96,728.35,5893,4690,0.8,5603
97,766.69,5883,4287,0.73,5595
98,762.0,5871,4214,0.72,5593
99,724.85,5895,4694,0.8,5607
100,729.07,5876,4636,0.79,5591
101,760.21,5877,4353,0.74,5591
102,718.82,5886,4693,0.8,5600
103,735.84,5886,4636,0.79,5588
104,736.8,5881,4632,0.79,5595
105,771.66,5913,4271,0.72,5628
106,742.63,5895,4517,0.77,5607
107,725.9,5900,4640,0.79,5616
108,745.49,5914,4495,0.76,5643
109,742.33,5890,4429,0.75,5623
110,725.88,5900,4685,0.79,5603
111,744.94,5930,4454,0.75,5647
112,724.08,5926,4642,0.78,5642
113,748.91,5879,4368,0.74,5592
114,726.28,5902,4608,0.78,5622
115,741.7,5921,4406,0.74,5647
116,720.44,5899,4681,0.79,5615
117,720.37,5920,4605,0.78,5624
118,748.52,5889,4294,0.73,5614
119,756.16,5929,4393,0.74,5648
120,727.26,5913,4620,0.78,5628
121,727.18,5897,4676,0.79,5614
122,725.11,5908,4722,0.8,5623
123,723.22,5911,4664,0.79,5636
124,713.03,5897,4713,0.8,5625
125,718.0,5897,4639,0.79,5617
126,722.17,5900,4694,0.8,5616
127,723.98,5905,4704,0.8,5611
128,727.32,5897,4618,0.78,5615
129,765.31,5913,4219,0.71,5638
130,745.2,5902,4409,0.75,5621
131,745.27,5908,4590,0.78,5625
132,771.78,5868,4250,0.72,5590
133,820.55,5834,3984,0.68,5556
134,817.24,5864,3869,0.66,5591
135,835.96,5834,3774,0.65,5556
136,881.12,5771,3401,0.59,5494
137,862.91,5828,3510,0.6,5548
138,822.64,5873,3780,0.64,5599
139,827.56,5797,3936,0.68,5520
140,763.98,5935,4244,0.72,5664
141,750.95,5894,4306,0.73,5631
142,712.24,5909,4760,0.81,5627
143,765.82,5895,4193,0.71,5624
144,779.48,5878,4120,0.7,5599
145,740.33,5887,4575,0.78,5610
146,726.22,5901,4609,0.78,5622
147,729.2,5907,4662,0.79,5627
148,721.41,5919,4626,0.78,5632
149,720.06,5897,4722,0.8,5624
150,730.85,5899,4618,0.78,5619
151,752.71,5809,4308,0.74,5536
152,723.66,5881,4648,0.79,5589
153,719.32,5903,4675,0.79,5616
154,726.07,5903,4703,0.8,5625
155,721.96,5916,4678,0.79,5639
156,710.74,5906,4734,0.8,5619
157,764.75,5886,4212,0.72,5616
158,733.13,5902,4580,0.78,5616
159,763.28,5914,4245,0.72,5652
160,721.35,5904,4703,0.8,5619
161,723.67,5939,4687,0.79,5657
162,728.06,5899,4668,0.79,5603
163,716.05,5901,4727,0.8,5621
164,715.06,5917,4711,0.8,5634
165,713.21,5903,4749,0.8,5623
166,714.0,5906,4695,0.79,5625
167,715.77,5917,4733,0.8,5629
168,725.8,5889,4713,0.8,5613
169,709.55,5907,4739,0.8,5633
170,743.62,5894,4416,0.75,5621
171,708.61,5917,4774,0.81,5625
172,709.98,5918,4776,0.81,5635
173,714.01,5908,4736,0.8,5618
174,717.72,5894,4687,0.8,5613
175,717.16,5902,4699,0.8,5621
176,736.69,5863,4458,0.76,5587
177,727.2,5917,4691,0.79,5638
178,726.52,5912,4625,0.78,5630
179,764.53,5872,4277,0.73,5581
180,730.07,5916,4579,0.77,5638
181,729.41,5916,4616,0.78,5631
182,745.15,5913,4654,0.79,5625
183,861.74,5785,3674,0.64,5516
184,791.33,5845,4124,0.71,5558
185,818.32,5830,3806,0.65,5548
186,824.73,5885,3776,0.64,5619
187,706.39,5935,4770,0.8,5653
188,733.27,5929,4552,0.77,5652
189,726.79,5906,4658,0.79,5617
190,715.83,5942,4785,0.81,5651
191,729.42,5912,4658,0.79,5632
192,735.6,5908,4676,0.79,5621
193,715.36,5939,4744,0.8,5651
194,727.25,5919,4600,0.78,5628
195,732.39,5922,4588,0.77,5653
196,754.49,5915,4486,0.76,5627
197,876.77,5777,3634,0.63,5493
198,734.48,5909,4648,0.79,5632
199,712.31,5919,4746,0.8,5638
200,723.52,5922,4678,0.79,5632
