episode,avg_travel_time,total,complete,ratio,stops
1,612.36,2997,2661,0.89,2836
2,654.52,2997,2458,0.82,2848
3,605.7,2997,2626,0.88,2837
4,666.43,2997,2619,0.87,2841
5,670.28,2988,2348,0.79,2839
6,694.7,2991,2250,0.75,2824
7,519.29,2997,2792,0.93,2837
8,461.57,2997,2913,0.97,2826
9,461.17,2997,2921,0.97,2833
10,517.91,2997,2656,0.89,2843
11,485.38,2997,2767,0.92,2841
12,451.77,2997,2917,0.97,2828
13,487.45,2997,2749,0.92,2834
14,435.22,2997,2898,0.97,2827
15,439.71,2997,2930,0.98,2824
16,485.46,2997,2809,0.94,2826
17,456.09,2997,2826,0.94,2815
18,422.23,2997,2928,0.98,2827
19,437.67,2997,2902,0.97,2835
20,466.05,2997,2709,0.9,2821
21,530.89,2997,2529,0.84,2827
22,425.77,2997,2830,0.94,2814
23,528.79,2997,2472,0.82,2814
24,467.66,2997,2709,0.9,2835
25,413.39,2997,2911,0.97,2823
26,441.15,2997,2764,0.92,2824
27,506.41,2997,2553,0.85,2813
28,475.13,2997,2643,0.88,2825
29,391.75,2997,2933,0.98,2821
30,385.59,2997,2936,0.98,2828
31,514.44,2995,2531,0.85,2818
32,387.02,2997,2922,0.97,2817
33,383.81,2997,2927,0.98,2820
34,462.46,2997,2649,0.88,2823
35,388.24,2997,2933,0.98,2820
36,482.13,2997,2612,0.87,2821
37,381.06,2997,2925,0.98,2814
38,383.7,2997,2919,0.97,2812
39,381.24,2997,2939,0.98,2823
40,385.99,2997,2939,0.98,2806
41,506.75,2997,2531,0.84,2822
42,385.05,2997,2915,0.97,2812
43,384.44,2997,2932,0.98,2815
44,380.72,2997,2934,0.98,2830
45,508.65,2997,2516,0.84,2821
46,382.63,2997,2930,0.98,2833
47,487.72,2997,2587,0.86,2817
48,385.73,2997,2920,0.97,2825
49,399.35,2997,2867,0.96,2822
50,394.85,2997,2873,0.96,2820
51,485.8,2997,2601,0.87,2822
52,379.11,2997,2933,0.98,2827
