episode,avg_travel_time,total,complete,ratio,stops
1,367.34,2999,2671,0.89,2787
2,358.14,2999,2654,0.88,2777
3,340.01,2999,2705,0.9,2765
4,334.73,2999,2719,0.91,2770
5,328.66,2999,2703,0.9,2779
6,321.84,2999,2713,0.9,2772
7,317.61,2999,2710,0.9,2769
8,315.44,2999,2714,0.9,2774
9,313.1,2999,2723,0.91,2769
10,309.8,2999,2728,0.91,2773
11,306.95,2999,2723,0.91,2770
12,307.1,2999,2719,0.91,2772
13,305.34,2999,2721,0.91,2771
14,303.37,2999,2730,0.91,2765
15,302.06,2999,2725,0.91,2764
16,300.58,2999,2725,0.91,2758
17,301.45,2999,2737,0.91,2772
18,301.73,2999,2729,0.91,2759
19,300.03,2999,2739,0.91,2772
20,299.69,2999,2737,0.91,2758
21,297.07,2999,2738,0.91,2761
22,297.88,2999,2731,0.91,2766
23,297.01,2999,2736,0.91,2759
24,296.96,2999,2738,0.91,2742
25,295.23,2999,2728,0.91,2755
26,296.18,2999,2731,0.91,2767
27,296.32,2999,2739,0.91,2759
28,295.98,2999,2731,0.91,2755
29,296.36,2999,2731,0.91,2764
30,295.31,2999,2735,0.91,2752
31,296.72,2999,2726,0.91,2762
32,294.44,2999,2735,0.91,2754
33,292.75,2999,2741,0.91,2753
34,293.43,2999,2740,0.91,2750
35,293.44,2999,2729,0.91,2754
36,293.34,2999,2730,0.91,2756
37,293.74,2999,2733,0.91,2762
38,292.93,2999,2738,0.91,2751
39,292.88,2999,2736,0.91,2743
40,294.43,2999,2743,0.91,2756
41,293.6,2999,2727,0.91,2734
42,294.11,2999,2750,0.92,2761
43,294.43,2999,2740,0.91,2755
44,291.82,2999,2740,0.91,2743
45,293.14,2999,2725,0.91,2747
46,293.35,2999,2730,0.91,2757
47,292.06,2999,2737,0.91,2740
48,295.35,2999,2740,0.91,2769
49,293.01,2999,2736,0.91,2755
50,293.79,2999,2743,0.91,2752
51,291.86,2999,2735,0.91,2751
52,293.27,2999,2735,0.91,2738
53,292.23,2999,2733,0.91,2759
54,291.64,2999,2744,0.91,2762
55,292.13,2999,2743,0.91,2761
56,292.63,2999,2734,0.91,2751
57,292.14,2999,2741,0.91,2751
58,290.78,2999,2732,0.91,2742
59,292.2,2999,2745,0.92,2741
60,290.99,2999,2741,0.91,2747
61,290.97,2999,2742,0.91,2761
62,290.82,2999,2742,0.91,2749
63,292.63,2999,2739,0.91,2768
64,292.13,2999,2737,0.91,2748
65,292.12,2999,2744,0.91,2760
66,292.46,2999,2733,0.91,2751
67,291.39,2999,2738,0.91,2762
68,292.96,2999,2740,0.91,2744
69,290.29,2999,2739,0.91,2748
70,290.07,2999,2740,0.91,2757
71,289.84,2999,2745,0.92,2747
72,291.07,2999,2736,0.91,2757
73,291.53,2999,2735,0.91,2755
74,292.79,2999,2735,0.91,2756
75,291.43,2999,2735,0.91,2744
76,291.04,2999,2741,0.91,2746
77,291.5,2999,2723,0.91,2747
78,290.81,2999,2736,0.91,2759
79,289.71,2999,2740,0.91,2736
80,291.59,2999,2734,0.91,2750
81,291.31,2999,2738,0.91,2746
82,291.22,2999,2739,0.91,2739
83,291.57,2999,2744,0.91,2750
84,290.26,2999,2742,0.91,2746
85,291.35,2999,2731,0.91,2740
86,291.56,2999,2734,0.91,2748
87,291.83,2999,2737,0.91,2741
88,292.45,2999,2750,0.92,2741
89,292.08,2999,2744,0.91,2749
90,291.09,2999,2738,0.91,2745
91,291.51,2999,2741,0.91,2734
92,291.28,2999,2741,0.91,2746
93,290.02,2999,2748,0.92,2749
94,291.47,2999,2742,0.91,2748
