episode,avg_travel_time,total,complete,ratio,stops
1,1265.08,2333,715,0.31,2269
2,1232.07,2329,799,0.34,2262
3,1139.09,2368,909,0.38,2296
4,1148.94,2398,845,0.35,2327
5,1117.02,2410,887,0.37,2338
6,1113.03,2405,924,0.38,2337
7,1102.13,2387,931,0.39,2316
8,1068.54,2404,987,0.41,2333
9,1082.57,2400,959,0.4,2332
10,1076.67,2417,968,0.4,2344
11,1092.05,2405,934,0.39,2337
12,1085.3,2396,937,0.39,2329
13,1091.16,2391,924,0.39,2323
14,1075.92,2396,984,0.41,2328
15,1121.92,2386,874,0.37,2318
16,1087.19,2398,947,0.39,2328
17,1075.41,2405,955,0.4,2333
18,1095.71,2382,933,0.39,2313
19,1098.72,2390,906,0.38,2325
20,1076.03,2404,978,0.41,2335
21,1104.4,2398,904,0.38,2326
22,1062.59,2405,986,0.41,2335
23,1100.31,2390,903,0.38,2319
24,1098.58,2428,909,0.37,2355
25,1082.96,2397,928,0.39,2329
26,1099.32,2406,915,0.38,2334
27,1109.68,2387,899,0.38,2316
28,1086.5,2384,936,0.39,2314
29,1067.72,2397,982,0.41,2321
30,1078.98,2393,940,0.39,2319
31,1087.76,2391,967,0.4,2317
32,1069.34,2397,968,0.4,2326
33,1067.04,2411,974,0.4,2340
34,1069.79,2413,969,0.4,2340
35,1063.98,2402,988,0.41,2329
36,1087.65,2401,921,0.38,2327
37,1063.97,2425,994,0.41,2351
38,1094.99,2392,902,0.38,2322
39,1060.66,2424,981,0.4,2349
40,1059.96,2394,985,0.41,2317
41,1090.16,2391,935,0.39,2318
42,1058.04,2409,1009,0.42,2331
43,1080.49,2414,933,0.39,2341
44,1072.39,2393,951,0.4,2315
45,1089.05,2398,937,0.39,2321
46,1066.91,2421,965,0.4,2346
47,1055.42,2411,980,0.41,2333
48,1079.67,2409,947,0.39,2332
49,1072.48,2427,958,0.39,2352
50,1074.39,2418,963,0.4,2341
51,1090.37,2406,920,0.38,2332
52,1109.4,2410,883,0.37,2334
53,1077.15,2411,954,0.4,2341
54,1094.11,2407,917,0.38,2329
55,1074.52,2392,950,0.4,2314
56,1062.07,2385,983,0.41,2312
57,1072.05,2414,1000,0.41,2340
58,1084.74,2413,925,0.38,2345
59,1073.73,2409,975,0.4,2331
60,1084.79,2419,950,0.39,2340
61,1085.74,2419,936,0.39,2344
62,1070.9,2417,964,0.4,2337
63,1077.54,2405,956,0.4,2335
64,1069.82,2398,955,0.4,2325
65,1070.07,2397,950,0.4,2324
66,1093.47,2404,926,0.39,2327
67,1090.08,2383,918,0.39,2309
68,1072.31,2404,953,0.4,2326
69,1075.3,2383,955,0.4,2311
70,1086.57,2403,931,0.39,2328
71,1077.29,2375,939,0.4,2299
72,1084.46,2399,919,0.38,2321
73,1085.02,2404,923,0.38,2328
74,1071.71,2406,963,0.4,2336
75,1086.64,2408,935,0.39,2337
76,1091.68,2418,919,0.38,2344
77,1074.61,2400,932,0.39,2324
78,1087.02,2406,916,0.38,2331
79,1081.43,2415,939,0.39,2340
80,1083.22,2408,932,0.39,2332
81,1234.65,2418,741,0.31,2341
82,1064.97,2399,969,0.4,2322
83,1091.38,2397,926,0.39,2324
84,1152.78,2405,815,0.34,2328
85,1078.13,2424,932,0.38,2349
86,1096.34,2405,905,0.38,2335
87,1078.53,2394,929,0.39,2319
88,1078.46,2393,942,0.39,2318
89,1065.35,2403,962,0.4,2328
90,1087.34,2398,914,0.38,2322
91,1086.17,2400,930,0.39,2323
92,1078.48,2394,934,0.39,2318
93,1070.17,2393,956,0.4,2318
94,1086.23,2406,916,0.38,2329
95,1102.62,2410,920,0.38,2330
96,1066.43,2408,966,0.4,2331
97,1072.7,2389,947,0.4,2309
98,1060.03,2400,982,0.41,2326
99,1080.74,2407,921,0.38,2328
100,1059.59,2405,965,0.4,2326
101,1082.35,2396,927,0.39,2319
102,1074.69,2410,953,0.4,2335
103,1070.67,2416,961,0.4,2343
104,1063.26,2400,969,0.4,2322
105,1088.48,2390,917,0.38,2312
106,1077.65,2420,947,0.39,2341
107,1078.76,2407,928,0.39,2335
108,1065.13,2394,959,0.4,2317
109,1075.93,2398,933,0.39,2325
110,1057.02,2414,972,0.4,2332
111,1041.86,2413,1022,0.42,2333
112,1072.69,2406,959,0.4,2331
113,1058.22,2416,973,0.4,2339
114,1062.32,2396,994,0.41,2323
115,1067.02,2375,976,0.41,2304
116,1055.21,2406,1005,0.42,2331
117,1066.94,2382,970,0.41,2303
118,1057.67,2385,998,0.42,2312
119,1074.88,2418,966,0.4,2339
120,1055.59,2414,994,0.41,2338
121,1066.81,2415,961,0.4,2336
122,1072.16,2414,932,0.39,2339
123,1054.24,2425,987,0.41,2351
124,1059.37,2404,974,0.41,2333
125,1076.24,2410,936,0.39,2331
126,1062.58,2397,959,0.4,2317
127,1082.32,2405,961,0.4,2326
128,1077.38,2404,966,0.4,2329
129,1062.82,2411,961,0.4,2335
130,1082.48,2400,935,0.39,2322
131,1059.02,2418,1000,0.41,2345
132,1105.53,2399,893,0.37,2329
133,1065.12,2402,946,0.39,2324
134,1089.43,2379,924,0.39,2299
135,1076.33,2412,944,0.39,2338
136,1053.66,2410,985,0.41,2338
137,1049.92,2414,1002,0.42,2335
138,1080.07,2399,942,0.39,2323
139,1077.37,2405,940,0.39,2328
140,1056.39,2407,988,0.41,2336
141,1046.11,2403,1015,0.42,2328
142,1072.26,2413,951,0.39,2334
143,1061.29,2398,975,0.41,2325
144,1068.83,2414,961,0.4,2338
145,1082.08,2406,935,0.39,2332
146,1088.66,2406,921,0.38,2329
147,1086.18,2404,925,0.38,2324
148,1052.18,2411,977,0.41,2333
149,1051.99,2402,986,0.41,2328
150,1045.21,2413,1041,0.43,2340
151,1089.88,2394,941,0.39,2320
152,1085.02,2396,940,0.39,2326
153,1048.02,2392,988,0.41,2320
154,1076.09,2383,961,0.4,2306
155,1060.24,2413,996,0.41,2342
156,1074.89,2400,966,0.4,2323
157,1067.71,2408,966,0.4,2337
158,1045.2,2414,1038,0.43,2338
159,1072.09,2412,945,0.39,2339
160,1055.68,2421,980,0.4,2344
161,1064.77,2397,975,0.41,2324
162,1066.9,2400,960,0.4,2327
163,1054.76,2417,988,0.41,2340
164,1062.4,2412,970,0.4,2339
165,1075.35,2414,959,0.4,2340
166,1066.86,2410,960,0.4,2342
167,1091.81,2418,939,0.39,2343
168,1057.73,2401,989,0.41,2324
169,1042.89,2427,1025,0.42,2357
170,1062.22,2416,958,0.4,2342
171,1071.29,2397,961,0.4,2328
