episode,avg_travel_time,total,complete,ratio,stops
1,647.99,5852,4331,0.74,4644
2,613.95,5873,4484,0.76,4650
3,565.76,6020,4757,0.79,4782
4,523.63,6110,4842,0.79,4851
5,504.95,6141,4944,0.81,4922
6,488.36,6143,5032,0.82,4916
7,492.36,6161,5025,0.82,4909
8,485.25,6142,5022,0.82,4877
9,481.88,6155,5032,0.82,4898
10,484.03,6187,5051,0.82,4926
11,471.82,6161,5055,0.82,4897
12,472.73,6165,5055,0.82,4911
13,475.8,6172,5040,0.82,4897
14,468.22,6176,5055,0.82,4903
15,458.54,6172,5090,0.82,4889
16,463.84,6165,5053,0.82,4880
17,458.4,6161,5079,0.82,4883
18,460.32,6178,5094,0.82,4891
19,453.66,6159,5121,0.83,4877
20,454.17,6177,5110,0.83,4878
21,455.8,6174,5104,0.83,4897
22,454.74,6167,5107,0.83,4866
23,460.0,6173,5082,0.82,4886
24,453.41,6168,5107,0.83,4871
25,450.68,6182,5127,0.83,4904
26,452.24,6171,5126,0.83,4889
27,451.69,6172,5085,0.82,4901
28,449.88,6186,5113,0.83,4911
29,451.6,6162,5108,0.83,4870
30,450.68,6174,5112,0.83,4885
31,445.52,6171,5133,0.83,4882
32,447.03,6164,5131,0.83,4866
33,446.59,6176,5132,0.83,4878
34,445.78,6177,5129,0.83,4895
35,447.16,6186,5130,0.83,4898
36,446.71,6169,5122,0.83,4855
37,446.49,6169,5123,0.83,4855
38,444.45,6167,5116,0.83,4857
39,442.71,6183,5150,0.83,4884
40,442.73,6166,5129,0.83,4871
41,443.34,6156,5139,0.83,4874
42,443.18,6164,5139,0.83,4870
43,445.43,6168,5138,0.83,4898
44,446.0,6166,5135,0.83,4870
45,446.65,6185,5141,0.83,4892
46,443.51,6176,5142,0.83,4878
47,441.42,6167,5141,0.83,4867
48,446.51,6179,5137,0.83,4877
49,444.49,6181,5137,0.83,4879
50,440.27,6173,5144,0.83,4881
51,442.73,6175,5155,0.83,4865
52,443.64,6167,5145,0.83,4857
53,446.63,6138,5062,0.82,4832
54,442.15,6179,5141,0.83,4870
55,442.97,6180,5155,0.83,4884
56,443.34,6171,5130,0.83,4856
57,441.37,6171,5139,0.83,4870
58,441.19,6176,5127,0.83,4873
59,442.74,6165,5127,0.83,4882
60,444.96,6174,5134,0.83,4883
61,445.07,6167,5116,0.83,4863
62,442.19,6168,5133,0.83,4864
63,440.92,6179,5136,0.83,4902
64,440.77,6169,5146,0.83,4881
65,441.1,6172,5137,0.83,4854
66,443.72,6171,5127,0.83,4860
67,440.88,6169,5147,0.83,4866
68,445.39,6176,5118,0.83,4894
69,444.67,6169,5132,0.83,4866
70,444.51,6178,5093,0.82,4909
71,444.96,6182,5122,0.83,4887
72,442.48,6167,5113,0.83,4872
73,443.72,6168,5142,0.83,4874
74,444.9,6174,5132,0.83,4879
75,440.65,6172,5143,0.83,4878
76,444.83,6166,5127,0.83,4879
77,440.3,6161,5151,0.84,4873
78,441.83,6168,5151,0.84,4865
79,443.19,6171,5125,0.83,4887
80,444.92,6166,5137,0.83,4873
81,444.56,6172,5132,0.83,4876
82,446.74,6155,5074,0.82,4853
