episode,avg_travel_time,total,complete,ratio,stops
1,584.57,2833,2402,0.85,2208
2,571.53,2875,2423,0.84,2251
3,546.47,2875,2472,0.86,2244
4,528.9,2875,2475,0.86,2228
5,511.64,2875,2493,0.87,2208
6,496.29,2875,2506,0.87,2218
7,488.33,2875,2523,0.88,2191
8,486.82,2875,2520,0.88,2180
9,482.65,2875,2519,0.88,2175
10,482.8,2875,2521,0.88,2177
11,478.53,2875,2524,0.88,2169
12,477.76,2875,2529,0.88,2185
13,476.07,2875,2530,0.88,2164
14,474.24,2875,2529,0.88,2167
15,473.64,2875,2531,0.88,2178
16,473.84,2875,2524,0.88,2165
17,472.88,2875,2533,0.88,2155
18,475.52,2875,2528,0.88,2170
19,473.06,2875,2530,0.88,2165
20,472.69,2875,2531,0.88,2141
21,471.46,2875,2531,0.88,2148
22,471.72,2875,2531,0.88,2159
23,469.86,2875,2534,0.88,2156
24,472.86,2875,2532,0.88,2152
25,471.46,2875,2532,0.88,2156
26,469.37,2875,2534,0.88,2157
27,470.98,2875,2535,0.88,2142
28,470.8,2875,2536,0.88,2154
29,471.56,2875,2530,0.88,2139
30,470.94,2875,2534,0.88,2154
31,471.87,2875,2529,0.88,2149
32,470.47,2875,2535,0.88,2145
33,470.57,2875,2531,0.88,2162
34,471.63,2875,2535,0.88,2158
35,468.16,2875,2535,0.88,2159
36,470.84,2875,2535,0.88,2152
37,470.78,2875,2536,0.88,2153
38,470.94,2875,2533,0.88,2148
39,469.77,2875,2533,0.88,2154
40,470.3,2875,2534,0.88,2148
41,470.73,2875,2531,0.88,2154
42,468.85,2875,2539,0.88,2152
43,471.41,2875,2532,0.88,2146
44,469.16,2875,2533,0.88,2153
45,469.57,2875,2532,0.88,2145
46,470.96,2875,2531,0.88,2163
47,471.81,2875,2527,0.88,2160
48,471.49,2875,2533,0.88,2163
49,468.64,2875,2532,0.88,2149
50,468.91,2875,2537,0.88,2157
51,470.84,2875,2535,0.88,2151
52,469.33,2875,2536,0.88,2152
53,468.75,2875,2537,0.88,2149
54,468.57,2875,2537,0.88,2161
55,467.83,2875,2541,0.88,2149
56,471.63,2875,2532,0.88,2165
57,471.71,2875,2532,0.88,2150
58,468.68,2875,2536,0.88,2148
59,470.52,2875,2536,0.88,2143
60,470.59,2875,2533,0.88,2156
61,467.5,2875,2539,0.88,2148
62,469.62,2875,2529,0.88,2145
63,471.21,2875,2532,0.88,2148
64,469.28,2875,2534,0.88,2152
65,470.43,2875,2533,0.88,2151
66,469.91,2875,2532,0.88,2149
67,468.0,2875,2535,0.88,2145
68,470.06,2875,2537,0.88,2145
69,470.59,2875,2530,0.88,2139
70,468.42,2875,2535,0.88,2148
71,468.32,2875,2533,0.88,2150
72,467.75,2875,2533,0.88,2136
73,469.02,2875,2534,0.88,2146
74,468.18,2875,2533,0.88,2160
75,467.88,2875,2533,0.88,2152
76,467.46,2875,2533,0.88,2138
77,470.73,2875,2531,0.88,2148
78,467.72,2875,2535,0.88,2148
79,468.83,2875,2534,0.88,2153
80,470.61,2875,2538,0.88,2148
81,470.25,2875,2534,0.88,2136
82,467.78,2875,2537,0.88,2148
83,471.84,2875,2527,0.88,2137
84,467.68,2875,2533,0.88,2149
85,470.1,2875,2537,0.88,2144
86,469.37,2875,2534,0.88,2127
87,470.79,2875,2535,0.88,2143
88,469.59,2875,2535,0.88,2139
89,469.26,2875,2531,0.88,2140
90,470.15,2875,2534,0.88,2155
91,467.57,2875,2537,0.88,2152
92,469.34,2875,2534,0.88,2138
93,469.75,2875,2531,0.88,2137
94,467.67,2875,2534,0.88,2151
95,469.48,2875,2534,0.88,2148
96,470.14,2875,2535,0.88,2150
97,469.99,2875,2535,0.88,2140
98,468.82,2875,2534,0.88,2145
99,467.69,2875,2537,0.88,2146
100,469.91,2875,2530,0.88,2146
101,470.37,2875,2531,0.88,2147
102,467.56,2875,2535,0.88,2149
103,469.79,2875,2534,0.88,2144
104,469.73,2875,2533,0.88,2148
105,469.96,2875,2528,0.88,2145
106,469.88,2875,2534,0.88,2149
107,469.98,2875,2534,0.88,2147
108,470.31,2875,2534,0.88,2146
109,469.62,2875,2531,0.88,2143
110,469.8,2875,2531,0.88,2148
111,468.91,2875,2533,0.88,2132
112,470.59,2875,2532,0.88,2141
113,467.96,2875,2537,0.88,2137
114,467.62,2875,2534,0.88,2144
115,468.77,2875,2533,0.88,2154
116,469.72,2875,2533,0.88,2139
117,469.57,2875,2535,0.88,2133
118,469.7,2875,2539,0.88,2135
119,467.8,2875,2537,0.88,2145
120,468.78,2875,2537,0.88,2136
121,469.87,2875,2533,0.88,2154
