episode,avg_travel_time,total,complete,ratio,stops
1,515.74,2997,2841,0.95,2846
2,466.87,2997,2909,0.97,2854
3,441.75,2997,2947,0.98,2845
4,418.6,2997,2954,0.99,2843
5,423.18,2997,2923,0.98,2835
6,414.09,2997,2950,0.98,2838
7,406.95,2997,2954,0.99,2846
8,412.36,2997,2917,0.97,2842
9,397.92,2997,2957,0.99,2846
10,387.39,2997,2955,0.99,2842
11,392.63,2997,2954,0.99,2837
12,381.96,2997,2960,0.99,2829
13,374.67,2997,2958,0.99,2833
14,375.06,2997,2956,0.99,2833
15,369.55,2997,2959,0.99,2831
16,364.57,2997,2963,0.99,2843
17,364.09,2997,2961,0.99,2837
18,361.63,2997,2962,0.99,2835
19,368.58,2997,2959,0.99,2839
20,365.57,2997,2963,0.99,2838
21,362.22,2997,2958,0.99,2836
22,362.03,2997,2960,0.99,2832
23,359.78,2997,2962,0.99,2841
24,357.21,2997,2963,0.99,2834
25,357.03,2997,2964,0.99,2837
26,357.84,2997,2965,0.99,2829
27,358.17,2997,2964,0.99,2834
28,359.24,2997,2960,0.99,2842
29,356.27,2997,2957,0.99,2836
30,351.28,2997,2966,0.99,2832
31,352.52,2997,2960,0.99,2829
32,355.49,2997,2959,0.99,2831
33,353.22,2997,2964,0.99,2828
34,356.07,2997,2956,0.99,2829
35,351.65,2997,2959,0.99,2827
36,351.78,2997,2960,0.99,2831
37,353.84,2997,2960,0.99,2834
38,351.36,2997,2959,0.99,2830
39,349.05,2997,2966,0.99,2832
40,353.25,2997,2963,0.99,2825
41,353.79,2997,2958,0.99,2832
42,352.46,2997,2961,0.99,2832
43,349.79,2997,2966,0.99,2835
44,351.76,2997,2961,0.99,2832
45,349.27,2997,2962,0.99,2835
46,350.75,2997,2969,0.99,2827
47,348.96,2997,2965,0.99,2833
48,349.11,2997,2967,0.99,2837
49,352.3,2997,2960,0.99,2828
50,352.55,2997,2963,0.99,2828
51,348.75,2997,2966,0.99,2832
52,353.2,2997,2961,0.99,2837
53,353.94,2997,2959,0.99,2828
54,350.83,2997,2962,0.99,2831
55,350.58,2997,2963,0.99,2836
56,351.41,2997,2968,0.99,2836
57,353.06,2997,2959,0.99,2834
58,351.11,2997,2965,0.99,2836
59,354.27,2997,2958,0.99,2827
60,351.49,2997,2960,0.99,2825
61,353.31,2997,2964,0.99,2827
62,353.03,2997,2962,0.99,2834
63,351.76,2997,2963,0.99,2833
64,352.4,2997,2962,0.99,2828
65,347.15,2997,2968,0.99,2821
66,350.67,2997,2968,0.99,2831
67,350.77,2997,2964,0.99,2829
68,352.23,2997,2961,0.99,2831
69,350.03,2997,2964,0.99,2835
70,348.69,2997,2967,0.99,2822
71,349.33,2997,2958,0.99,2822
72,351.06,2997,2961,0.99,2834
73,349.46,2997,2968,0.99,2834
74,352.8,2997,2957,0.99,2824
75,351.61,2997,2963,0.99,2840
76,351.57,2997,2955,0.99,2824
77,349.17,2997,2962,0.99,2827
78,351.25,2997,2966,0.99,2830
79,349.37,2997,2963,0.99,2825
80,349.3,2997,2970,0.99,2832
81,347.84,2997,2967,0.99,2826
82,350.54,2997,2964,0.99,2831
83,348.0,2997,2959,0.99,2826
84,354.57,2997,2962,0.99,2828
85,348.62,2997,2965,0.99,2829
86,352.37,2997,2961,0.99,2827
87,345.42,2997,2970,0.99,2827
88,350.35,2997,2961,0.99,2825
89,349.64,2997,2961,0.99,2830
90,350.03,2997,2961,0.99,2833
91,348.91,2997,2966,0.99,2828
92,350.02,2997,2964,0.99,2824
93,351.2,2997,2967,0.99,2832
94,353.55,2997,2962,0.99,2816
95,348.32,2997,2964,0.99,2825
96,352.76,2997,2961,0.99,2828
97,347.61,2997,2968,0.99,2832
98,348.38,2997,2964,0.99,2825
99,345.51,2997,2968,0.99,2824
100,346.62,2997,2965,0.99,2819
101,348.84,2997,2963,0.99,2827
102,347.18,2997,2965,0.99,2829
103,346.09,2997,2969,0.99,2828
104,348.84,2997,2961,0.99,2833
105,346.41,2997,2964,0.99,2829
106,349.27,2997,2963,0.99,2825
107,347.06,2997,2967,0.99,2832
108,349.25,2997,2960,0.99,2824
109,348.92,2997,2965,0.99,2827
110,345.67,2997,2968,0.99,2829
111,345.18,2997,2964,0.99,2823
112,349.38,2997,2964,0.99,2820
113,348.52,2997,2962,0.99,2830
114,349.07,2997,2964,0.99,2824
115,350.54,2997,2959,0.99,2821
116,346.37,2997,2963,0.99,2818
117,348.17,2997,2965,0.99,2822
118,344.49,2997,2964,0.99,2818
119,348.04,2997,2959,0.99,2823
120,351.29,2997,2958,0.99,2823
121,347.0,2997,2962,0.99,2823
122,348.76,2997,2962,0.99,2821
123,349.11,2997,2967,0.99,2826
124,346.18,2997,2965,0.99,2824
125,347.86,2997,2966,0.99,2826
126,347.04,2997,2966,0.99,2826
127,346.62,2997,2968,0.99,2826
128,346.57,2997,2968,0.99,2824
