episode,avg_travel_time,total,complete,ratio,stops
1,336.66,2999,2692,0.9,2783
2,320.02,2999,2718,0.91,2796
3,309.55,2999,2721,0.91,2784
4,300.52,2999,2737,0.91,2788
5,292.7,2999,2744,0.91,2786
6,287.39,2999,2744,0.91,2784
7,283.88,2999,2748,0.92,2779
8,279.77,2999,2751,0.92,2781
9,278.1,2999,2752,0.92,2776
10,274.81,2999,2748,0.92,2775
11,274.99,2999,2755,0.92,2780
12,272.81,2999,2753,0.92,2773
13,270.92,2999,2760,0.92,2782
14,271.08,2999,2761,0.92,2776
15,269.43,2999,2762,0.92,2763
16,270.22,2999,2757,0.92,2773
17,269.22,2999,2762,0.92,2782
18,268.8,2999,2760,0.92,2777
19,267.98,2999,2761,0.92,2768
20,267.96,2999,2762,0.92,2772
21,267.59,2999,2761,0.92,2767
22,267.78,2999,2761,0.92,2760
23,268.31,2999,2761,0.92,2764
24,266.09,2999,2762,0.92,2758
25,266.8,2999,2759,0.92,2762
26,267.44,2999,2765,0.92,2770
27,266.96,2999,2764,0.92,2774
28,267.82,2999,2759,0.92,2763
29,266.16,2999,2762,0.92,2757
30,266.76,2999,2759,0.92,2768
31,266.46,2999,2760,0.92,2769
32,267.07,2999,2761,0.92,2768
33,266.37,2999,2762,0.92,2762
34,266.3,2999,2759,0.92,2771
35,265.71,2999,2761,0.92,2760
36,265.79,2999,2762,0.92,2757
37,266.05,2999,2759,0.92,2765
38,266.18,2999,2758,0.92,2767
39,266.17,2999,2763,0.92,2764
40,266.88,2999,2762,0.92,2770
41,265.88,2999,2758,0.92,2760
42,265.28,2999,2760,0.92,2761
43,264.84,2999,2759,0.92,2766
44,265.54,2999,2761,0.92,2762
45,265.56,2999,2762,0.92,2766
46,265.65,2999,2764,0.92,2763
47,264.82,2999,2763,0.92,2759
48,264.81,2999,2761,0.92,2757
49,265.63,2999,2761,0.92,2758
50,264.9,2999,2763,0.92,2761
51,266.18,2999,2761,0.92,2761
52,265.31,2999,2762,0.92,2765
53,265.66,2999,2763,0.92,2764
54,265.0,2999,2762,0.92,2759
55,265.26,2999,2760,0.92,2761
56,265.05,2999,2762,0.92,2766
57,265.36,2999,2758,0.92,2761
58,265.45,2999,2761,0.92,2767
59,264.88,2999,2759,0.92,2760
60,265.69,2999,2761,0.92,2764
61,264.94,2999,2762,0.92,2768
62,265.53,2999,2762,0.92,2754
63,265.14,2999,2763,0.92,2765
64,264.91,2999,2759,0.92,2760
65,264.92,2999,2762,0.92,2760
66,264.75,2999,2762,0.92,2755
67,264.79,2999,2762,0.92,2757
68,264.42,2999,2761,0.92,2763
69,264.95,2999,2760,0.92,2756
70,265.25,2999,2762,0.92,2751
71,264.44,2999,2758,0.92,2758
72,264.62,2999,2762,0.92,2755
73,264.4,2999,2759,0.92,2757
74,264.66,2999,2762,0.92,2756
75,264.62,2999,2759,0.92,2758
76,264.62,2999,2761,0.92,2764
77,264.5,2999,2760,0.92,2755
78,264.52,2999,2762,0.92,2750
79,264.67,2999,2760,0.92,2757
80,265.2,2999,2761,0.92,2763
81,263.89,2999,2760,0.92,2753
82,264.36,2999,2761,0.92,2751
83,264.56,2999,2761,0.92,2753
84,264.63,2999,2757,0.92,2762
85,264.37,2999,2760,0.92,2750
86,264.76,2999,2760,0.92,2756
87,264.62,2999,2760,0.92,2759
88,264.23,2999,2760,0.92,2758
89,264.27,2999,2762,0.92,2756
90,264.41,2999,2761,0.92,2753
91,264.77,2999,2761,0.92,2755
92,264.33,2999,2763,0.92,2756
93,264.07,2999,2761,0.92,2755
94,264.31,2999,2763,0.92,2759
95,264.31,2999,2759,0.92,2756
96,264.2,2999,2762,0.92,2758
97,264.59,2999,2758,0.92,2754
98,264.19,2999,2759,0.92,2757
99,264.66,2999,2761,0.92,2754
100,264.36,2999,2761,0.92,2754
101,264.26,2999,2760,0.92,2752
102,264.37,2999,2759,0.92,2753
103,264.23,2999,2759,0.92,2754
104,264.52,2999,2759,0.92,2757
105,264.1,2999,2760,0.92,2759
106,263.88,2999,2761,0.92,2748
107,264.05,2999,2763,0.92,2751
108,264.46,2999,2762,0.92,2752
109,264.12,2999,2759,0.92,2756
110,264.09,2999,2758,0.92,2749
111,264.28,2999,2763,0.92,2754
112,264.65,2999,2760,0.92,2759
113,264.14,2999,2759,0.92,2749
114,264.73,2999,2760,0.92,2752
115,263.89,2999,2761,0.92,2756
116,264.11,2999,2760,0.92,2756
117,264.17,2999,2759,0.92,2756
118,264.02,2999,2762,0.92,2747
119,263.82,2999,2760,0.92,2751
120,264.37,2999,2760,0.92,2755
121,264.0,2999,2760,0.92,2759
122,263.93,2999,2762,0.92,2752
123,264.06,2999,2763,0.92,2750
124,264.41,2999,2763,0.92,2759
125,263.82,2999,2761,0.92,2756
126,263.81,2999,2762,0.92,2756
127,264.17,2999,2763,0.92,2756
128,263.92,2999,2761,0.92,2752
129,264.01,2999,2763,0.92,2750
130,264.12,2999,2758,0.92,2753
131,263.66,2999,2760,0.92,2749
132,264.52,2999,2762,0.92,2750
133,264.09,2999,2760,0.92,2749
134,263.94,2999,2764,0.92,2755
135,263.97,2999,2761,0.92,2755
136,264.2,2999,2762,0.92,2752
137,264.1,2999,2761,0.92,2750
138,263.86,2999,2761,0.92,2751
139,264.05,2999,2763,0.92,2752
140,264.08,2999,2762,0.92,2745
141,263.54,2999,2760,0.92,2747
142,264.45,2999,2761,0.92,2748
143,264.05,2999,2762,0.92,2746
144,264.21,2999,2763,0.92,2751
145,264.04,2999,2762,0.92,2748
146,264.13,2999,2761,0.92,2755
147,263.58,2999,2763,0.92,2746
148,263.47,2999,2763,0.92,2747
149,263.68,2999,2761,0.92,2753
150,263.54,2999,2761,0.92,2754
151,263.47,2999,2761,0.92,2740
152,263.93,2999,2761,0.92,2750
153,263.77,2999,2761,0.92,2748
154,264.4,2999,2759,0.92,2750
155,263.7,2999,2762,0.92,2750
156,264.04,2999,2762,0.92,2750
157,263.67,2999,2762,0.92,2751
158,263.72,2999,2763,0.92,2748
159,263.7,2999,2762,0.92,2749
160,263.91,2999,2762,0.92,2752
161,264.23,2999,2759,0.92,2752
162,263.45,2999,2761,0.92,2750
163,263.69,2999,2765,0.92,2745
164,263.44,2999,2762,0.92,2738
