episode,avg_travel_time,total,complete,ratio,stops
1,504.3,2997,2850,0.95,2845
2,492.24,2997,2828,0.94,2848
3,455.62,2997,2900,0.97,2845
4,421.04,2997,2958,0.99,2839
5,425.4,2997,2918,0.97,2830
6,410.3,2997,2946,0.98,2835
7,403.52,2997,2952,0.98,2847
8,398.78,2997,2952,0.98,2837
9,393.17,2997,2954,0.99,2847
10,387.07,2997,2956,0.99,2837
11,381.86,2997,2953,0.99,2841
12,380.32,2997,2954,0.99,2830
13,371.63,2997,2960,0.99,2833
14,375.61,2997,2949,0.98,2826
15,369.68,2997,2959,0.99,2838
16,370.0,2997,2961,0.99,2837
17,364.73,2997,2961,0.99,2835
18,364.26,2997,2963,0.99,2829
19,364.87,2997,2962,0.99,2833
20,365.48,2997,2959,0.99,2840
21,361.94,2997,2957,0.99,2829
22,361.82,2997,2957,0.99,2836
23,359.55,2997,2960,0.99,2829
24,356.06,2997,2962,0.99,2823
25,361.54,2997,2959,0.99,2833
26,357.98,2997,2959,0.99,2831
27,355.45,2997,2961,0.99,2843
28,356.34,2997,2963,0.99,2829
29,355.11,2997,2958,0.99,2831
30,351.1,2997,2966,0.99,2828
31,353.26,2997,2961,0.99,2833
32,352.68,2997,2963,0.99,2838
33,353.29,2997,2960,0.99,2832
34,347.62,2997,2970,0.99,2833
35,351.84,2997,2962,0.99,2833
36,351.87,2997,2961,0.99,2834
37,353.05,2997,2966,0.99,2826
38,354.14,2997,2961,0.99,2829
39,360.59,2997,2921,0.97,2827
40,349.49,2997,2967,0.99,2826
41,349.92,2997,2961,0.99,2827
42,351.63,2997,2961,0.99,2827
43,351.85,2997,2961,0.99,2829
44,350.79,2997,2958,0.99,2827
45,351.06,2997,2966,0.99,2821
46,349.74,2997,2959,0.99,2831
47,352.48,2997,2962,0.99,2834
48,352.18,2997,2962,0.99,2830
49,353.23,2997,2960,0.99,2830
50,348.59,2997,2961,0.99,2822
51,350.67,2997,2962,0.99,2825
52,350.79,2997,2962,0.99,2821
53,349.28,2997,2962,0.99,2826
54,350.21,2997,2963,0.99,2824
55,349.25,2997,2965,0.99,2826
56,350.43,2997,2958,0.99,2828
57,350.49,2997,2959,0.99,2831
58,351.97,2997,2959,0.99,2831
59,351.16,2997,2959,0.99,2825
60,355.04,2997,2959,0.99,2822
61,350.71,2997,2960,0.99,2821
62,349.85,2997,2969,0.99,2826
63,350.95,2997,2961,0.99,2824
64,349.54,2997,2966,0.99,2833
65,346.25,2997,2965,0.99,2823
66,350.77,2997,2965,0.99,2824
67,353.12,2997,2957,0.99,2826
68,354.64,2997,2961,0.99,2830
69,347.04,2997,2966,0.99,2821
70,352.55,2997,2963,0.99,2826
71,351.16,2997,2963,0.99,2815
72,348.82,2997,2962,0.99,2828
73,349.9,2997,2957,0.99,2831
74,348.05,2997,2965,0.99,2810
75,350.13,2997,2960,0.99,2833
76,346.78,2997,2967,0.99,2817
77,351.5,2997,2964,0.99,2825
78,352.6,2997,2963,0.99,2821
79,347.56,2997,2966,0.99,2814
80,347.93,2997,2963,0.99,2812
81,347.6,2997,2963,0.99,2820
82,350.08,2997,2964,0.99,2827
83,351.05,2997,2962,0.99,2819
84,346.23,2997,2965,0.99,2826
85,349.24,2997,2965,0.99,2817
86,351.3,2997,2959,0.99,2824
87,347.45,2997,2962,0.99,2823
88,349.72,2997,2964,0.99,2824
89,349.04,2997,2964,0.99,2818
90,348.96,2997,2965,0.99,2820
91,346.81,2997,2965,0.99,2822
92,350.14,2997,2962,0.99,2824
93,353.29,2997,2959,0.99,2831
94,351.08,2997,2961,0.99,2826
95,349.84,2997,2959,0.99,2824
96,349.3,2997,2965,0.99,2828
97,351.03,2997,2966,0.99,2833
98,349.24,2997,2962,0.99,2832
99,351.76,2997,2960,0.99,2823
100,351.6,2997,2957,0.99,2825
101,348.03,2997,2965,0.99,2820
102,349.4,2997,2957,0.99,2815
103,350.12,2997,2962,0.99,2817
104,353.52,2997,2958,0.99,2819
105,350.75,2997,2960,0.99,2824
106,350.59,2997,2963,0.99,2831
107,349.6,2997,2964,0.99,2823
108,345.78,2997,2965,0.99,2817
109,349.07,2997,2967,0.99,2818
110,346.21,2997,2965,0.99,2817
111,349.92,2997,2961,0.99,2816
112,349.8,2997,2963,0.99,2817
113,345.96,2997,2963,0.99,2815
114,348.19,2997,2969,0.99,2827
115,344.64,2997,2965,0.99,2817
116,343.82,2997,2964,0.99,2814
117,349.75,2997,2963,0.99,2822
118,345.8,2997,2965,0.99,2819
119,348.4,2997,2963,0.99,2822
120,354.52,2997,2960,0.99,2815
121,344.97,2997,2967,0.99,2812
122,349.21,2997,2963,0.99,2817
123,346.98,2997,2963,0.99,2821
124,347.72,2997,2967,0.99,2823
125,347.88,2997,2964,0.99,2820
126,343.85,2997,2966,0.99,2816
127,345.98,2997,2965,0.99,2809
128,348.4,2997,2964,0.99,2816
129,347.36,2997,2963,0.99,2818
130,349.49,2997,2963,0.99,2822
131,346.78,2997,2962,0.99,2820
132,350.56,2997,2960,0.99,2814
133,349.04,2997,2961,0.99,2814
134,347.28,2997,2967,0.99,2817
135,349.61,2997,2964,0.99,2813
136,347.71,2997,2965,0.99,2818
137,345.17,2997,2965,0.99,2821
138,347.73,2997,2961,0.99,2812
139,344.04,2997,2970,0.99,2825
140,345.41,2997,2963,0.99,2819
141,347.85,2997,2960,0.99,2816
142,350.55,2997,2961,0.99,2815
143,346.95,2997,2962,0.99,2818
144,348.75,2997,2961,0.99,2816
145,348.88,2997,2964,0.99,2816
146,346.05,2997,2961,0.99,2820
147,348.74,2997,2958,0.99,2822
148,348.78,2997,2963,0.99,2810
149,349.03,2997,2958,0.99,2817
150,349.39,2997,2959,0.99,2817
151,346.0,2997,2967,0.99,2817
152,347.74,2997,2964,0.99,2821
153,348.78,2997,2963,0.99,2826
154,350.41,2997,2961,0.99,2822
155,346.73,2997,2966,0.99,2810
156,346.69,2997,2963,0.99,2826
157,347.54,2997,2965,0.99,2822
158,347.29,2997,2966,0.99,2820
159,347.81,2997,2964,0.99,2818
160,347.72,2997,2958,0.99,2814
161,345.53,2997,2962,0.99,2812
162,349.07,2997,2961,0.99,2810
163,351.05,2997,2962,0.99,2809
164,348.04,2997,2963,0.99,2818
165,347.66,2997,2963,0.99,2826
166,350.3,2997,2963,0.99,2818
167,348.87,2997,2961,0.99,2820
168,345.59,2997,2963,0.99,2818
169,351.06,2997,2961,0.99,2813
170,351.35,2997,2958,0.99,2808
171,348.63,2997,2962,0.99,2819
172,348.54,2997,2964,0.99,2820
173,347.54,2997,2962,0.99,2818
174,350.86,2997,2961,0.99,2813
175,345.58,2997,2965,0.99,2813
176,347.35,2997,2965,0.99,2823
177,347.19,2997,2962,0.99,2813
178,349.55,2997,2962,0.99,2825
179,351.57,2997,2959,0.99,2817
180,347.9,2997,2958,0.99,2816
181,347.78,2997,2965,0.99,2812
182,347.31,2997,2965,0.99,2815
183,347.02,2997,2961,0.99,2821
184,346.54,2997,2964,0.99,2815
185,345.9,2997,2965,0.99,2817
186,348.98,2997,2961,0.99,2811
187,348.46,2997,2958,0.99,2820
188,349.55,2997,2965,0.99,2824
189,350.14,2997,2963,0.99,2818
190,346.27,2997,2963,0.99,2820
191,348.29,2997,2958,0.99,2819
192,348.64,2997,2962,0.99,2813
193,348.19,2997,2961,0.99,2819
194,345.65,2997,2965,0.99,2821
195,349.14,2997,2961,0.99,2812
196,348.23,2997,2961,0.99,2814
197,347.17,2997,2962,0.99,2825
198,349.4,2997,2958,0.99,2807
199,347.39,2997,2965,0.99,2815
200,345.2,2997,2965,0.99,2811
