episode,avg_travel_time,total,complete,ratio,stops
1,334.07,2999,2694,0.9,2785
2,320.05,2999,2715,0.91,2796
3,309.12,2999,2725,0.91,2782
4,298.91,2999,2739,0.91,2786
5,293.84,2999,2733,0.91,2785
6,287.39,2999,2740,0.91,2796
7,281.44,2999,2750,0.92,2783
8,280.1,2999,2752,0.92,2784
9,277.18,2999,2753,0.92,2781
10,274.85,2999,2751,0.92,2781
11,275.14,2999,2759,0.92,2786
12,272.76,2999,2751,0.92,2769
13,272.31,2999,2750,0.92,2779
14,270.79,2999,2757,0.92,2784
15,270.2,2999,2754,0.92,2769
16,269.94,2999,2753,0.92,2771
17,269.69,2999,2753,0.92,2771
18,269.46,2999,2753,0.92,2772
19,269.86,2999,2760,0.92,2765
20,268.47,2999,2757,0.92,2767
21,268.35,2999,2756,0.92,2766
22,268.1,2999,2756,0.92,2770
23,267.65,2999,2760,0.92,2776
24,267.8,2999,2756,0.92,2766
25,267.02,2999,2755,0.92,2766
26,266.87,2999,2752,0.92,2772
27,267.71,2999,2756,0.92,2773
28,266.53,2999,2751,0.92,2759
29,266.79,2999,2755,0.92,2758
30,266.66,2999,2756,0.92,2769
31,266.25,2999,2758,0.92,2767
32,265.92,2999,2756,0.92,2771
33,266.59,2999,2759,0.92,2762
34,266.67,2999,2756,0.92,2775
35,266.08,2999,2757,0.92,2766
36,265.89,2999,2759,0.92,2752
37,265.47,2999,2760,0.92,2767
38,266.02,2999,2757,0.92,2760
39,265.76,2999,2763,0.92,2766
40,265.83,2999,2760,0.92,2761
41,265.96,2999,2759,0.92,2772
42,265.66,2999,2759,0.92,2763
43,265.34,2999,2759,0.92,2765
44,265.46,2999,2758,0.92,2766
45,265.34,2999,2756,0.92,2764
46,264.78,2999,2761,0.92,2763
47,264.99,2999,2761,0.92,2763
48,264.71,2999,2758,0.92,2768
49,265.1,2999,2758,0.92,2754
50,265.12,2999,2759,0.92,2767
51,264.71,2999,2759,0.92,2760
52,265.09,2999,2757,0.92,2758
53,265.08,2999,2759,0.92,2758
54,264.68,2999,2758,0.92,2760
55,264.84,2999,2761,0.92,2759
56,264.65,2999,2758,0.92,2765
57,264.67,2999,2760,0.92,2750
58,264.82,2999,2760,0.92,2758
59,264.78,2999,2761,0.92,2757
60,264.94,2999,2760,0.92,2762
61,265.1,2999,2759,0.92,2754
62,265.17,2999,2760,0.92,2751
63,265.07,2999,2759,0.92,2753
64,264.27,2999,2759,0.92,2752
65,264.22,2999,2760,0.92,2755
66,264.44,2999,2762,0.92,2751
67,264.7,2999,2757,0.92,2755
68,264.67,2999,2760,0.92,2757
69,264.02,2999,2757,0.92,2754
70,264.4,2999,2759,0.92,2755
71,264.65,2999,2761,0.92,2760
72,264.0,2999,2763,0.92,2751
73,264.76,2999,2759,0.92,2760
74,264.95,2999,2758,0.92,2753
75,264.87,2999,2759,0.92,2758
76,264.44,2999,2760,0.92,2755
77,264.29,2999,2762,0.92,2757
78,264.65,2999,2755,0.92,2745
79,264.87,2999,2757,0.92,2753
80,264.32,2999,2756,0.92,2749
81,264.02,2999,2759,0.92,2757
82,263.92,2999,2756,0.92,2755
83,264.41,2999,2759,0.92,2754
84,264.44,2999,2758,0.92,2747
85,264.29,2999,2760,0.92,2755
86,264.12,2999,2762,0.92,2749
