episode,avg_travel_time,total,complete,ratio,stops
1,497.68,6148,4861,0.79,4885
2,475.64,6052,4975,0.82,4754
3,510.82,6095,4740,0.78,4846
4,397.06,6295,5445,0.86,5012
5,381.95,6295,5499,0.87,4996
6,377.85,6295,5570,0.88,5001
7,364.6,6295,5592,0.89,5022
8,364.25,6295,5570,0.88,5010
9,362.03,6295,5569,0.88,5002
10,366.98,6295,5589,0.89,5004
11,358.83,6295,5592,0.89,5014
12,359.04,6295,5597,0.89,5021
13,358.12,6295,5604,0.89,4985
14,356.81,6295,5576,0.89,5002
15,356.06,6295,5575,0.89,4992
16,352.01,6295,5603,0.89,4977
17,351.35,6295,5615,0.89,5000
18,351.66,6295,5594,0.89,4995
19,352.91,6295,5606,0.89,4988
20,350.71,6295,5619,0.89,4990
21,350.28,6295,5609,0.89,4996
22,349.76,6295,5620,0.89,5002
23,348.35,6295,5604,0.89,5004
24,348.57,6295,5622,0.89,4986
25,347.15,6295,5628,0.89,4998
26,347.75,6295,5625,0.89,4987
27,348.7,6295,5606,0.89,4994
28,349.07,6295,5622,0.89,5002
29,344.51,6295,5618,0.89,4995
30,346.46,6295,5637,0.9,5011
31,347.0,6295,5628,0.89,4999
32,347.96,6295,5621,0.89,4998
33,345.91,6295,5618,0.89,5008
34,346.77,6295,5611,0.89,4997
35,344.79,6295,5627,0.89,5005
36,346.6,6295,5622,0.89,4997
37,346.8,6295,5640,0.9,4994
38,347.08,6295,5627,0.89,4993
39,344.66,6295,5630,0.89,5002
40,346.18,6295,5607,0.89,5011
41,346.3,6295,5635,0.9,5004
42,344.74,6295,5638,0.9,4996
43,347.0,6295,5624,0.89,4995
44,346.36,6295,5627,0.89,5016
45,346.26,6295,5631,0.89,4991
46,346.74,6295,5620,0.89,4994
47,345.7,6295,5631,0.89,5002
48,342.9,6295,5626,0.89,5002
49,343.13,6295,5641,0.9,4999
50,349.55,6295,5616,0.89,4991
51,345.41,6295,5623,0.89,4983
52,345.61,6295,5624,0.89,4997
53,346.97,6295,5632,0.89,5002
54,343.56,6295,5640,0.9,5013
55,341.46,6295,5649,0.9,5000
56,347.35,6295,5619,0.89,5007
57,344.47,6295,5616,0.89,4992
58,345.14,6295,5627,0.89,5015
59,346.47,6295,5630,0.89,5006
60,345.09,6295,5643,0.9,4997
61,345.27,6295,5641,0.9,5008
62,344.2,6295,5634,0.89,4993
63,344.1,6295,5623,0.89,4996
64,346.94,6295,5618,0.89,5003
65,343.52,6295,5628,0.89,5000
66,346.27,6295,5625,0.89,5003
67,344.77,6295,5631,0.89,5007
68,346.07,6295,5618,0.89,5006
69,342.5,6295,5626,0.89,5009
70,343.15,6295,5638,0.9,4992
71,344.08,6295,5638,0.9,4996
