episode,avg_travel_time,total,complete,ratio,stops
1,606.05,2821,2364,0.84,2122
2,485.14,2940,2551,0.87,2249
3,470.51,2983,2609,0.87,2262
4,410.25,2983,2668,0.89,2259
5,402.97,2983,2682,0.9,2238
6,387.83,2983,2693,0.9,2213
7,376.84,2983,2691,0.9,2215
8,397.99,2983,2664,0.89,2207
9,375.82,2983,2694,0.9,2202
10,374.18,2983,2693,0.9,2207
11,367.77,2983,2690,0.9,2173
12,366.0,2983,2695,0.9,2193
13,363.36,2983,2694,0.9,2161
14,363.05,2983,2707,0.91,2181
15,361.17,2983,2696,0.9,2169
16,358.65,2983,2708,0.91,2150
17,358.86,2983,2700,0.91,2172
18,358.2,2983,2700,0.91,2177
19,356.37,2983,2699,0.9,2190
20,356.49,2983,2704,0.91,2161
21,355.95,2983,2704,0.91,2178
22,355.01,2983,2707,0.91,2156
23,355.38,2983,2707,0.91,2180
24,353.86,2983,2707,0.91,2167
25,353.81,2983,2703,0.91,2169
26,352.43,2983,2709,0.91,2168
27,353.81,2983,2707,0.91,2164
28,353.91,2983,2705,0.91,2158
29,354.27,2983,2704,0.91,2167
30,353.89,2983,2707,0.91,2158
31,352.86,2983,2704,0.91,2182
32,353.11,2983,2708,0.91,2173
33,352.54,2983,2703,0.91,2170
34,354.07,2983,2707,0.91,2161
35,353.02,2983,2709,0.91,2177
36,353.76,2983,2707,0.91,2160
37,352.92,2983,2711,0.91,2166
38,353.36,2983,2711,0.91,2152
39,352.92,2983,2700,0.91,2168
40,352.1,2983,2718,0.91,2184
41,354.26,2983,2699,0.9,2160
42,353.53,2983,2705,0.91,2154
43,352.12,2983,2709,0.91,2180
44,350.88,2983,2702,0.91,2166
45,352.36,2983,2707,0.91,2166
46,351.51,2983,2711,0.91,2161
47,351.48,2983,2714,0.91,2158
48,351.43,2983,2707,0.91,2149
49,352.11,2983,2705,0.91,2164
50,351.62,2983,2704,0.91,2148
51,352.05,2983,2710,0.91,2155
52,351.5,2983,2711,0.91,2177
53,351.77,2983,2704,0.91,2170
54,355.15,2983,2705,0.91,2174
55,352.79,2983,2706,0.91,2156
56,352.67,2983,2702,0.91,2149
57,351.01,2983,2712,0.91,2151
58,352.61,2983,2702,0.91,2153
59,351.95,2983,2708,0.91,2153
60,351.56,2983,2709,0.91,2165
61,352.05,2983,2715,0.91,2169
62,352.41,2983,2701,0.91,2150
63,353.25,2983,2704,0.91,2156
64,352.32,2983,2705,0.91,2150
65,352.9,2983,2702,0.91,2163
66,352.87,2983,2708,0.91,2159
67,351.97,2983,2708,0.91,2163
68,352.59,2983,2712,0.91,2153
69,353.05,2983,2705,0.91,2158
70,350.81,2983,2711,0.91,2147
71,351.96,2983,2706,0.91,2142
72,352.91,2983,2710,0.91,2144
73,350.9,2983,2716,0.91,2163
74,353.47,2983,2700,0.91,2153
75,352.17,2983,2709,0.91,2157
76,351.59,2983,2711,0.91,2146
77,352.47,2983,2708,0.91,2144
78,352.26,2983,2708,0.91,2154
79,351.66,2983,2708,0.91,2148
80,351.61,2983,2708,0.91,2157
81,352.79,2983,2710,0.91,2153
82,350.97,2983,2710,0.91,2145
83,351.11,2983,2706,0.91,2154
84,351.5,2983,2710,0.91,2146
85,352.08,2983,2712,0.91,2156
86,352.72,2983,2711,0.91,2165
87,352.66,2983,2711,0.91,2157
88,353.0,2983,2705,0.91,2164
89,352.12,2983,2703,0.91,2158
90,352.46,2983,2709,0.91,2183
91,352.16,2983,2706,0.91,2163
92,352.13,2983,2707,0.91,2156
93,352.27,2983,2703,0.91,2138
94,352.42,2983,2710,0.91,2159
95,351.93,2983,2706,0.91,2134
96,352.77,2983,2713,0.91,2138
