episode,avg_travel_time,total,complete,ratio,stops
1,946.87,5713,3442,0.6,5452
2,924.63,5738,3624,0.63,5480
3,910.79,5744,3593,0.63,5487
4,872.35,5829,3833,0.66,5576
5,854.45,5867,3940,0.67,5620
6,813.18,5890,4242,0.72,5621
7,826.9,5887,4251,0.72,5611
8,833.19,5934,4161,0.7,5668
9,812.49,5876,4195,0.71,5613
10,791.45,5912,4334,0.73,5639
11,773.07,5910,4613,0.78,5636
12,777.98,5920,4346,0.73,5649
13,756.56,5934,4706,0.79,5657
14,752.73,5921,4581,0.77,5641
15,740.74,5938,4569,0.77,5666
16,787.85,5852,4093,0.7,5590
17,763.71,5937,4581,0.77,5656
18,756.76,5954,4499,0.76,5676
19,766.57,5931,4317,0.73,5669
20,735.76,5949,4561,0.77,5679
21,739.86,5944,4549,0.77,5663
22,850.66,5834,3663,0.63,5548
23,713.73,5946,4749,0.8,5669
24,839.04,5834,3703,0.63,5560
25,759.36,5915,4247,0.72,5638
26,812.68,5857,3798,0.65,5588
27,743.43,5948,4521,0.76,5663
28,718.56,5962,4765,0.8,5684
29,749.41,5907,4416,0.75,5629
30,727.55,5936,4666,0.79,5659
31,727.1,5953,4749,0.8,5685
32,707.76,5945,4632,0.78,5664
33,748.94,5950,4514,0.76,5671
34,733.51,5910,4514,0.76,5625
35,713.31,5948,4593,0.77,5673
36,701.67,5951,4741,0.8,5667
37,733.28,5935,4284,0.72,5658
38,726.11,5905,4531,0.77,5623
39,701.79,5947,4770,0.8,5665
40,731.12,5922,4530,0.76,5645
41,706.99,5944,4685,0.79,5659
42,704.58,5945,4741,0.8,5659
43,707.96,5962,4675,0.78,5682
44,732.51,5947,4513,0.76,5669
45,693.62,5941,4822,0.81,5664
46,725.22,5878,4345,0.74,5608
47,686.57,5943,4906,0.83,5665
48,700.46,5949,4721,0.79,5649
49,703.02,5943,4816,0.81,5650
50,727.08,5928,4582,0.77,5644
51,698.49,5917,4730,0.8,5639
52,704.98,5936,4761,0.8,5652
53,709.41,5916,4693,0.79,5632
54,711.1,5892,4579,0.78,5614
55,711.71,5902,4581,0.78,5619
56,707.09,5918,4703,0.79,5628
57,690.8,5932,4711,0.79,5648
58,675.16,5932,4908,0.83,5645
59,725.38,5931,4642,0.78,5653
60,715.83,5916,4823,0.82,5642
61,714.62,5926,4613,0.78,5649
62,692.33,5950,4801,0.81,5671
63,691.3,5933,4795,0.81,5645
64,714.24,5899,4585,0.78,5611
65,690.84,5929,4761,0.8,5653
66,705.0,5920,4657,0.79,5635
67,694.37,5927,4709,0.79,5640
68,721.26,5921,4674,0.79,5631
69,699.74,5945,4836,0.81,5660
70,713.14,5948,4722,0.79,5672
71,672.05,5939,4876,0.82,5650
72,688.36,5950,4860,0.82,5668
