episode,avg_travel_time,total,complete,ratio,stops
1,594.68,5901,4275,0.72,5567
2,524.98,5985,4442,0.74,5637
3,445.43,5972,4972,0.83,5594
4,437.26,5997,5022,0.84,5620
5,423.37,5997,4999,0.83,5617
6,414.2,5997,5070,0.85,5609
7,396.88,5997,5120,0.85,5607
8,394.01,5997,5106,0.85,5611
9,390.26,5997,5134,0.86,5615
10,383.76,5997,5153,0.86,5596
11,380.37,5997,5158,0.86,5601
12,375.98,5997,5166,0.86,5594
13,375.59,5997,5174,0.86,5596
14,375.43,5997,5176,0.86,5605
15,376.65,5997,5168,0.86,5602
16,374.65,5997,5167,0.86,5601
17,375.54,5997,5171,0.86,5597
18,367.68,5997,5194,0.87,5603
19,366.53,5997,5194,0.87,5587
20,362.12,5997,5208,0.87,5604
21,366.17,5997,5202,0.87,5600
22,364.22,5997,5203,0.87,5595
23,366.08,5997,5205,0.87,5616
24,363.48,5997,5202,0.87,5608
25,364.68,5997,5188,0.87,5600
26,364.92,5997,5189,0.87,5600
27,367.35,5997,5168,0.86,5596
28,365.52,5997,5191,0.87,5591
29,364.62,5997,5211,0.87,5609
30,365.73,5997,5179,0.86,5595
31,362.31,5997,5197,0.87,5613
32,366.61,5997,5167,0.86,5606
33,361.27,5997,5204,0.87,5617
34,359.64,5997,5194,0.87,5616
35,362.1,5997,5198,0.87,5601
36,364.17,5997,5193,0.87,5597
37,363.26,5997,5177,0.86,5586
38,361.03,5997,5212,0.87,5616
39,360.18,5997,5210,0.87,5600
40,363.76,5997,5185,0.86,5594
41,360.86,5997,5196,0.87,5589
42,360.56,5997,5230,0.87,5594
43,361.51,5997,5219,0.87,5603
44,363.86,5997,5204,0.87,5599
45,366.18,5997,5171,0.86,5610
46,362.52,5997,5191,0.87,5596
47,362.58,5997,5198,0.87,5596
48,360.15,5997,5199,0.87,5604
49,361.99,5997,5198,0.87,5602
50,360.02,5997,5212,0.87,5600
51,366.5,5997,5168,0.86,5605
52,357.76,5997,5188,0.87,5598
53,361.48,5997,5206,0.87,5609
54,360.3,5997,5200,0.87,5606
55,360.34,5997,5191,0.87,5601
56,365.16,5997,5187,0.86,5616
57,361.74,5997,5199,0.87,5616
58,361.26,5997,5189,0.87,5600
59,363.0,5997,5194,0.87,5608
60,360.04,5997,5219,0.87,5605
61,364.66,5997,5197,0.87,5581
62,364.58,5997,5184,0.86,5591
63,359.53,5997,5194,0.87,5604
64,360.8,5997,5209,0.87,5615
65,361.33,5997,5197,0.87,5608
66,362.14,5997,5214,0.87,5607
67,363.66,5997,5201,0.87,5590
68,358.35,5997,5207,0.87,5598
69,360.72,5997,5213,0.87,5597
70,361.66,5997,5194,0.87,5593
71,358.39,5997,5200,0.87,5590
72,363.73,5997,5200,0.87,5600
73,365.52,5997,5183,0.86,5601
74,364.74,5997,5192,0.87,5594
75,363.57,5997,5192,0.87,5590
76,361.33,5997,5208,0.87,5598
77,357.04,5997,5213,0.87,5601
78,359.24,5997,5210,0.87,5593
79,364.88,5997,5188,0.87,5607
80,363.84,5997,5167,0.86,5623
81,361.38,5997,5187,0.86,5608
82,363.2,5997,5184,0.86,5601
83,361.19,5997,5207,0.87,5617
84,360.16,5997,5196,0.87,5599
85,363.6,5997,5174,0.86,5606
86,361.32,5997,5184,0.86,5604
87,355.81,5997,5238,0.87,5599
88,359.28,5997,5194,0.87,5609
89,360.25,5997,5196,0.87,5605
90,362.0,5997,5188,0.87,5601
91,362.43,5997,5180,0.86,5599
92,354.13,5997,5200,0.87,5604
93,364.05,5997,5191,0.87,5601
94,362.31,5997,5191,0.87,5597
95,360.74,5997,5205,0.87,5612
96,358.96,5997,5214,0.87,5618
97,359.93,5997,5187,0.86,5601
98,362.11,5997,5198,0.87,5600
99,361.37,5997,5198,0.87,5606
100,359.34,5997,5227,0.87,5597
101,357.09,5997,5208,0.87,5599
102,360.88,5997,5195,0.87,5595
103,360.08,5997,5216,0.87,5593
104,366.04,5997,5183,0.86,5594
105,368.91,5997,5161,0.86,5607
106,361.03,5997,5185,0.86,5603
107,360.46,5997,5200,0.87,5600
108,364.25,5997,5188,0.87,5597
109,358.22,5997,5189,0.87,5583
110,365.57,5997,5187,0.86,5598
111,362.72,5997,5184,0.86,5593
112,359.76,5997,5208,0.87,5618
113,352.81,5997,5220,0.87,5593
114,357.13,5997,5223,0.87,5598
115,368.06,5997,5165,0.86,5590
116,358.61,5997,5213,0.87,5617
117,359.56,5997,5208,0.87,5596
