episode,avg_travel_time,total,complete,ratio,stops
1,542.99,2997,2773,0.93,2831
2,480.42,2997,2899,0.97,2837
3,462.91,2997,2918,0.97,2842
4,431.89,2997,2929,0.98,2834
5,439.87,2997,2889,0.96,2826
6,419.87,2997,2928,0.98,2835
7,416.74,2997,2918,0.97,2835
8,412.37,2997,2924,0.98,2834
9,393.42,2997,2929,0.98,2834
10,392.3,2997,2924,0.98,2827
11,387.57,2997,2931,0.98,2821
12,384.53,2997,2934,0.98,2824
13,377.84,2997,2932,0.98,2823
14,379.4,2997,2938,0.98,2821
15,371.55,2997,2929,0.98,2819
16,373.95,2997,2925,0.98,2827
17,375.55,2997,2930,0.98,2821
18,371.68,2997,2941,0.98,2824
19,376.65,2997,2941,0.98,2811
20,372.55,2997,2935,0.98,2820
21,365.07,2997,2941,0.98,2823
22,369.12,2997,2931,0.98,2825
23,363.26,2997,2944,0.98,2815
24,367.17,2997,2922,0.97,2820
25,367.19,2997,2938,0.98,2819
26,367.27,2997,2931,0.98,2813
27,362.31,2997,2946,0.98,2819
28,364.56,2997,2945,0.98,2821
29,362.3,2997,2933,0.98,2818
30,362.66,2997,2943,0.98,2820
31,363.69,2997,2941,0.98,2826
32,360.0,2997,2947,0.98,2816
33,363.62,2997,2944,0.98,2818
34,363.86,2997,2940,0.98,2815
35,362.28,2997,2923,0.98,2815
36,363.88,2997,2941,0.98,2822
37,357.67,2997,2944,0.98,2816
38,363.54,2997,2922,0.97,2813
39,365.49,2997,2934,0.98,2808
40,362.41,2997,2940,0.98,2815
41,366.89,2997,2939,0.98,2814
42,363.22,2997,2941,0.98,2825
43,365.14,2997,2949,0.98,2823
44,361.9,2997,2939,0.98,2815
45,359.36,2997,2934,0.98,2814
46,359.72,2997,2931,0.98,2823
47,365.7,2997,2943,0.98,2812
48,360.18,2997,2932,0.98,2811
49,360.05,2997,2944,0.98,2818
50,362.21,2997,2945,0.98,2821
51,357.88,2997,2934,0.98,2810
52,361.68,2997,2925,0.98,2820
53,360.6,2997,2946,0.98,2815
54,362.44,2997,2941,0.98,2810
55,357.67,2997,2931,0.98,2828
56,358.24,2997,2943,0.98,2812
57,359.67,2997,2938,0.98,2819
58,362.25,2997,2937,0.98,2819
59,358.22,2997,2949,0.98,2809
60,362.98,2997,2932,0.98,2808
61,362.12,2997,2937,0.98,2818
62,358.74,2997,2946,0.98,2816
63,361.38,2997,2939,0.98,2815
64,360.44,2997,2944,0.98,2811
65,358.03,2997,2952,0.98,2809
66,356.63,2997,2937,0.98,2823
67,358.98,2997,2934,0.98,2820
68,359.99,2997,2942,0.98,2818
