episode,avg_travel_time,total,complete,ratio,stops
1,351.75,2999,2686,0.9,2783
2,338.91,2999,2710,0.9,2777
3,327.71,2999,2707,0.9,2778
4,319.51,2999,2732,0.91,2771
5,313.25,2999,2718,0.91,2766
6,306.53,2999,2728,0.91,2767
7,303.64,2999,2733,0.91,2763
8,301.07,2999,2734,0.91,2771
9,296.47,2999,2739,0.91,2757
10,294.74,2999,2742,0.91,2769
11,294.46,2999,2751,0.92,2755
12,293.02,2999,2741,0.91,2759
13,291.56,2999,2743,0.91,2750
14,289.99,2999,2745,0.92,2775
15,288.88,2999,2748,0.92,2752
16,289.19,2999,2747,0.92,2761
17,288.93,2999,2738,0.91,2762
18,286.5,2999,2751,0.92,2748
19,288.02,2999,2753,0.92,2754
20,286.86,2999,2745,0.92,2750
21,288.21,2999,2740,0.91,2752
22,287.91,2999,2746,0.92,2751
23,288.09,2999,2747,0.92,2748
24,286.03,2999,2742,0.91,2755
25,285.99,2999,2747,0.92,2747
26,286.95,2999,2742,0.91,2749
27,285.42,2999,2757,0.92,2745
28,287.45,2999,2750,0.92,2752
29,286.73,2999,2744,0.91,2758
30,286.1,2999,2752,0.92,2750
31,286.07,2999,2742,0.91,2759
32,286.0,2999,2748,0.92,2743
33,286.57,2999,2748,0.92,2746
34,286.83,2999,2739,0.91,2751
35,286.64,2999,2753,0.92,2755
36,286.92,2999,2752,0.92,2750
37,286.69,2999,2753,0.92,2748
38,286.79,2999,2749,0.92,2755
39,287.37,2999,2750,0.92,2754
40,287.52,2999,2743,0.91,2757
41,285.93,2999,2739,0.91,2764
42,287.14,2999,2754,0.92,2743
43,287.46,2999,2745,0.92,2749
44,286.34,2999,2744,0.91,2757
45,286.32,2999,2748,0.92,2749
46,287.19,2999,2746,0.92,2753
47,286.82,2999,2748,0.92,2745
48,286.26,2999,2744,0.91,2751
49,286.98,2999,2751,0.92,2759
50,284.94,2999,2742,0.91,2736
51,286.22,2999,2749,0.92,2746
52,285.7,2999,2747,0.92,2746
53,286.42,2999,2738,0.91,2760
54,286.6,2999,2752,0.92,2759
55,288.41,2999,2749,0.92,2743
56,288.2,2999,2746,0.92,2748
57,285.87,2999,2754,0.92,2743
58,285.5,2999,2746,0.92,2762
59,286.48,2999,2753,0.92,2747
60,285.8,2999,2746,0.92,2744
61,286.43,2999,2743,0.91,2752
62,286.92,2999,2744,0.91,2742
63,286.34,2999,2745,0.92,2735
64,285.88,2999,2749,0.92,2743
65,285.75,2999,2752,0.92,2738
66,284.83,2999,2749,0.92,2739
67,285.78,2999,2753,0.92,2733
68,286.13,2999,2753,0.92,2739
69,283.99,2999,2748,0.92,2739
70,287.22,2999,2748,0.92,2739
71,286.61,2999,2749,0.92,2745
72,285.17,2999,2750,0.92,2736
73,285.77,2999,2738,0.91,2748
74,285.6,2999,2743,0.91,2741
75,286.25,2999,2749,0.92,2740
76,285.4,2999,2747,0.92,2741
77,285.49,2999,2754,0.92,2754
78,287.43,2999,2746,0.92,2748
79,284.96,2999,2751,0.92,2739
80,286.21,2999,2747,0.92,2744
81,286.71,2999,2743,0.91,2749
82,286.07,2999,2750,0.92,2751
83,285.44,2999,2743,0.91,2740
84,286.14,2999,2752,0.92,2747
85,285.98,2999,2745,0.92,2745
86,285.83,2999,2749,0.92,2746
87,285.83,2999,2750,0.92,2739
88,286.71,2999,2752,0.92,2738
89,285.91,2999,2739,0.91,2751
90,285.6,2999,2741,0.91,2747
91,285.87,2999,2742,0.91,2752
92,285.6,2999,2747,0.92,2747
93,284.42,2999,2752,0.92,2754
94,286.49,2999,2751,0.92,2761
95,284.15,2999,2753,0.92,2747
96,285.19,2999,2747,0.92,2746
97,287.02,2999,2750,0.92,2738
98,286.73,2999,2748,0.92,2744
99,286.04,2999,2752,0.92,2754
100,285.3,2999,2749,0.92,2756
101,285.4,2999,2744,0.91,2743
102,286.23,2999,2742,0.91,2740
103,286.05,2999,2750,0.92,2737
104,285.21,2999,2750,0.92,2753
105,285.27,2999,2746,0.92,2737
106,286.29,2999,2744,0.91,2753
107,285.97,2999,2748,0.92,2742
108,285.78,2999,2743,0.91,2741
109,285.81,2999,2750,0.92,2735
110,286.17,2999,2752,0.92,2752
111,286.51,2999,2753,0.92,2754
112,286.47,2999,2748,0.92,2758
113,284.73,2999,2754,0.92,2744
114,286.23,2999,2742,0.91,2752
115,285.9,2999,2741,0.91,2748
116,285.02,2999,2750,0.92,2739
117,286.08,2999,2755,0.92,2751
118,285.84,2999,2747,0.92,2751
119,284.82,2999,2750,0.92,2747
120,285.39,2999,2743,0.91,2748
121,286.09,2999,2746,0.92,2744
122,284.55,2999,2753,0.92,2747
123,286.07,2999,2751,0.92,2741
124,286.38,2999,2755,0.92,2759
125,285.32,2999,2750,0.92,2743
126,285.15,2999,2752,0.92,2746
127,285.48,2999,2746,0.92,2760
128,285.45,2999,2750,0.92,2755
129,285.86,2999,2745,0.92,2747
130,286.2,2999,2748,0.92,2739
131,284.39,2999,2747,0.92,2736
132,285.7,2999,2750,0.92,2740
133,285.3,2999,2743,0.91,2749
134,286.21,2999,2738,0.91,2739
135,286.01,2999,2744,0.91,2729
136,286.02,2999,2749,0.92,2732
137,285.76,2999,2745,0.92,2740
138,286.34,2999,2750,0.92,2737
139,284.87,2999,2750,0.92,2748
140,285.65,2999,2747,0.92,2746
141,285.47,2999,2749,0.92,2741
142,286.67,2999,2754,0.92,2751
143,286.14,2999,2749,0.92,2745
144,284.16,2999,2750,0.92,2740
145,285.66,2999,2740,0.91,2730
146,284.27,2999,2755,0.92,2742
147,286.85,2999,2748,0.92,2751
148,286.28,2999,2752,0.92,2737
149,285.48,2999,2744,0.91,2732
150,285.5,2999,2745,0.92,2736
151,286.19,2999,2749,0.92,2731
152,285.39,2999,2734,0.91,2744
153,284.68,2999,2752,0.92,2741
154,285.35,2999,2747,0.92,2746
155,285.18,2999,2742,0.91,2753
156,285.25,2999,2743,0.91,2742
157,286.27,2999,2748,0.92,2750
158,286.22,2999,2742,0.91,2745
159,284.94,2999,2747,0.92,2744
160,284.89,2999,2743,0.91,2739
161,284.51,2999,2756,0.92,2749
162,284.72,2999,2748,0.92,2739
163,284.19,2999,2746,0.92,2747
164,285.27,2999,2738,0.91,2731
165,285.33,2999,2754,0.92,2747
166,284.76,2999,2752,0.92,2739
167,286.37,2999,2746,0.92,2760
168,284.59,2999,2745,0.92,2738
169,284.69,2999,2752,0.92,2740
170,284.87,2999,2749,0.92,2748
171,285.02,2999,2746,0.92,2750
172,285.14,2999,2749,0.92,2727
173,285.79,2999,2752,0.92,2743
174,285.97,2999,2742,0.91,2738
