episode,avg_travel_time,total,complete,ratio,stops
1,1348.95,2319,617,0.27,2241
2,1361.88,2326,610,0.26,2248
3,1309.01,2320,656,0.28,2248
4,1248.83,2375,730,0.31,2295
5,1315.22,2341,633,0.27,2256
6,1268.91,2364,692,0.29,2283
7,1294.44,2320,652,0.28,2238
8,1273.17,2325,700,0.3,2244
9,1253.22,2348,700,0.3,2266
10,1191.38,2387,797,0.33,2306
11,1197.15,2359,777,0.33,2277
12,1223.1,2385,739,0.31,2299
13,1240.4,2337,733,0.31,2243
14,1235.8,2385,734,0.31,2288
15,1171.9,2367,811,0.34,2272
16,1214.3,2388,751,0.31,2294
17,1171.06,2389,813,0.34,2300
18,1225.37,2367,739,0.31,2277
19,1152.14,2388,854,0.36,2289
20,1207.19,2359,771,0.33,2272
21,1154.59,2395,860,0.36,2301
22,1194.12,2375,797,0.34,2284
23,1139.53,2442,843,0.35,2346
24,1145.91,2395,874,0.36,2304
25,1115.11,2464,888,0.36,2365
26,1160.23,2406,847,0.35,2308
27,1176.14,2363,812,0.34,2277
28,1144.06,2395,863,0.36,2297
29,1152.42,2428,855,0.35,2337
30,1151.46,2424,842,0.35,2325
31,1177.31,2404,793,0.33,2309
32,1168.27,2352,837,0.36,2255
33,1148.1,2401,885,0.37,2304
34,1138.15,2421,883,0.36,2317
35,1127.94,2432,872,0.36,2331
36,1119.41,2417,918,0.38,2315
37,1061.77,2472,1020,0.41,2361
38,1105.2,2435,947,0.39,2327
39,1132.72,2425,908,0.37,2318
40,1059.75,2484,1033,0.42,2375
41,1107.22,2439,929,0.38,2332
42,1134.66,2419,856,0.35,2308
43,1094.16,2454,982,0.4,2348
44,1069.23,2490,988,0.4,2381
45,1059.11,2482,998,0.4,2367
46,1154.15,2424,859,0.35,2321
47,1092.75,2449,951,0.39,2345
48,1167.89,2399,849,0.35,2299
49,1091.6,2464,918,0.37,2350
50,1216.38,2372,760,0.32,2271
51,1173.17,2409,806,0.33,2313
52,1108.09,2464,909,0.37,2352
53,1128.75,2398,900,0.38,2289
54,1148.8,2399,821,0.34,2294
55,1138.69,2398,877,0.37,2294
