episode,avg_travel_time,total,complete,ratio,stops
1,715.86,5792,3799,0.66,4621
2,651.58,5862,4273,0.73,4640
3,628.6,5874,4226,0.72,4657
4,462.34,6215,5191,0.84,4963
5,459.33,6230,5159,0.83,5003
6,442.87,6232,5290,0.85,4998
7,426.06,6218,5361,0.86,4977
8,419.24,6205,5345,0.86,4971
9,394.0,6236,5457,0.88,4984
10,405.85,6260,5395,0.86,5007
11,392.78,6287,5455,0.87,5017
12,395.08,6240,5465,0.88,4976
13,381.98,6276,5506,0.88,5010
14,371.26,6276,5521,0.88,5027
15,372.4,6279,5536,0.88,5013
16,382.75,6289,5308,0.84,5006
17,366.1,6295,5518,0.88,5022
18,368.27,6295,5571,0.88,4996
19,363.36,6295,5566,0.88,4998
20,359.49,6295,5566,0.88,4998
21,360.25,6295,5558,0.88,5001
22,375.0,6295,5493,0.87,4980
23,354.77,6295,5586,0.89,5014
24,361.43,6295,5567,0.88,4984
25,355.05,6295,5585,0.89,5006
26,359.5,6295,5602,0.89,4980
27,352.07,6295,5630,0.89,5002
28,352.33,6295,5566,0.88,4988
29,355.69,6295,5567,0.88,5009
30,345.11,6295,5634,0.89,5002
31,349.54,6295,5590,0.89,5009
32,347.19,6295,5600,0.89,5014
33,345.35,6295,5629,0.89,5009
34,349.02,6295,5595,0.89,4982
35,344.4,6295,5625,0.89,5011
36,347.75,6295,5607,0.89,4978
37,340.84,6295,5650,0.9,5016
38,345.56,6295,5634,0.89,5005
39,345.67,6295,5636,0.9,5006
40,343.95,6295,5643,0.9,5005
41,342.13,6295,5634,0.89,5014
42,344.54,6295,5640,0.9,5014
43,343.62,6295,5639,0.9,4984
44,358.01,6284,5424,0.86,4954
45,340.78,6295,5646,0.9,5005
46,340.36,6295,5634,0.89,4974
47,340.27,6295,5646,0.9,5011
48,352.21,6290,5480,0.87,4977
49,352.39,6289,5470,0.87,4976
50,354.62,6292,5454,0.87,4964
51,338.12,6295,5640,0.9,4995
52,346.9,6291,5490,0.87,4974
53,355.57,6285,5447,0.87,4961
54,337.02,6295,5649,0.9,4983
55,338.96,6295,5658,0.9,4986
56,335.57,6295,5665,0.9,4989
57,333.96,6295,5660,0.9,5005
58,334.57,6295,5664,0.9,5000
59,334.39,6295,5650,0.9,4974
60,336.3,6295,5663,0.9,4995
61,335.94,6295,5657,0.9,4981
62,336.07,6295,5661,0.9,4983
63,335.06,6295,5658,0.9,5007
64,334.66,6295,5661,0.9,4986
65,334.32,6295,5661,0.9,5007
66,332.12,6295,5671,0.9,4981
67,335.88,6295,5665,0.9,4990
68,333.21,6295,5657,0.9,4982
69,332.67,6295,5663,0.9,4998
70,332.4,6295,5661,0.9,4991
71,333.58,6295,5660,0.9,4984
72,335.06,6295,5660,0.9,4984
73,333.71,6295,5642,0.9,5001
74,333.73,6295,5658,0.9,4992
75,331.92,6295,5666,0.9,4982
76,332.18,6295,5668,0.9,4989
77,331.38,6295,5687,0.9,4995
78,331.63,6295,5666,0.9,4988
79,331.89,6295,5675,0.9,4996
80,333.15,6295,5658,0.9,4971
81,358.54,6248,5389,0.86,4929
82,330.8,6295,5663,0.9,4996
83,330.37,6295,5661,0.9,4995
84,332.19,6295,5657,0.9,5007
85,331.73,6295,5675,0.9,5000
86,329.44,6295,5666,0.9,4976
87,331.72,6295,5679,0.9,4987
88,330.21,6295,5664,0.9,5005
89,331.84,6295,5658,0.9,4998
90,329.89,6295,5679,0.9,4976
91,330.74,6295,5666,0.9,4963
92,332.06,6295,5661,0.9,4981
93,330.58,6295,5675,0.9,5009
94,333.63,6295,5675,0.9,4996
95,329.96,6295,5681,0.9,5002
96,330.02,6295,5669,0.9,4993
97,330.98,6295,5684,0.9,5008
98,328.97,6295,5677,0.9,4988
99,330.42,6295,5674,0.9,4995
100,330.53,6295,5663,0.9,4991
101,328.22,6295,5679,0.9,4985
102,328.57,6295,5664,0.9,5010
103,329.79,6295,5664,0.9,4989
104,329.65,6295,5671,0.9,5006
105,331.4,6295,5676,0.9,5006
106,329.41,6295,5680,0.9,5003
107,331.49,6295,5678,0.9,5005
108,331.89,6295,5678,0.9,5008
109,327.26,6295,5683,0.9,5000
110,329.78,6295,5668,0.9,4991
111,334.05,6295,5654,0.9,4994
112,326.74,6295,5675,0.9,5014
113,326.33,6295,5689,0.9,4994
114,330.73,6295,5673,0.9,5009
115,330.83,6295,5663,0.9,4998
116,327.98,6295,5675,0.9,4983
117,329.07,6295,5663,0.9,4987
118,330.4,6295,5671,0.9,4995
119,329.31,6295,5681,0.9,4999
120,328.51,6295,5684,0.9,5008
121,328.91,6295,5684,0.9,5012
122,328.8,6295,5682,0.9,5009
123,329.2,6295,5663,0.9,5000
124,329.45,6295,5665,0.9,4994
125,328.48,6295,5658,0.9,5007
126,330.07,6295,5673,0.9,5012
127,330.37,6295,5682,0.9,4994
128,329.15,6295,5672,0.9,4997
129,329.46,6295,5675,0.9,4993
130,331.17,6295,5673,0.9,4986
131,330.61,6295,5677,0.9,4978
132,330.97,6295,5680,0.9,4982
133,329.25,6295,5680,0.9,4996
134,328.68,6295,5674,0.9,4983
135,329.63,6295,5674,0.9,5000
136,331.43,6295,5661,0.9,4982
137,330.54,6295,5665,0.9,4986
138,330.79,6295,5675,0.9,4967
139,327.34,6295,5679,0.9,4989
140,330.47,6295,5668,0.9,4992
141,333.07,6295,5671,0.9,5002
142,329.78,6295,5669,0.9,4981
143,331.56,6295,5665,0.9,4999
144,330.76,6295,5675,0.9,4994
145,327.91,6295,5682,0.9,4994
146,329.28,6295,5676,0.9,4998
147,328.77,6295,5663,0.9,4992
148,328.63,6295,5676,0.9,4993
149,329.77,6295,5678,0.9,4990
150,328.05,6295,5674,0.9,4999
151,329.39,6295,5673,0.9,4984
152,329.1,6295,5674,0.9,4988
153,328.45,6295,5679,0.9,4998
154,331.41,6295,5677,0.9,4994
155,329.86,6295,5661,0.9,4998
156,331.74,6295,5667,0.9,4983
157,329.41,6295,5682,0.9,4987
158,329.77,6295,5676,0.9,4976
159,329.68,6295,5674,0.9,4994
160,329.42,6295,5667,0.9,4983
161,328.42,6295,5673,0.9,4973
162,329.88,6295,5679,0.9,4990
163,330.08,6295,5677,0.9,4991
164,329.18,6295,5677,0.9,5000
165,329.19,6295,5678,0.9,5012
166,327.55,6295,5679,0.9,4987
167,330.55,6295,5670,0.9,5001
168,328.87,6295,5674,0.9,5004
169,329.15,6295,5680,0.9,5013
170,330.96,6295,5674,0.9,5006
171,329.57,6295,5671,0.9,4995
172,329.43,6295,5675,0.9,4989
173,329.54,6295,5674,0.9,4981
174,331.49,6295,5671,0.9,4986
175,329.58,6295,5685,0.9,4995
176,328.19,6295,5664,0.9,5014
177,330.11,6295,5676,0.9,4984
178,329.18,6295,5678,0.9,4997
179,330.2,6295,5673,0.9,5003
180,331.22,6295,5675,0.9,5001
181,330.59,6295,5681,0.9,5011
182,330.59,6295,5680,0.9,5023
183,332.45,6295,5670,0.9,5014
184,327.55,6295,5677,0.9,4995
185,327.38,6295,5685,0.9,4994
186,328.62,6295,5686,0.9,4988
187,328.69,6295,5666,0.9,5019
188,328.85,6295,5667,0.9,4995
189,327.76,6295,5687,0.9,4991
190,331.73,6295,5678,0.9,4993
191,329.46,6295,5668,0.9,4990
192,331.3,6295,5672,0.9,5024
193,328.85,6295,5672,0.9,4999
194,329.48,6295,5676,0.9,5007
195,329.77,6295,5687,0.9,5026
196,329.53,6295,5672,0.9,5016
197,328.56,6295,5677,0.9,5010
198,329.52,6295,5688,0.9,4993
199,329.71,6295,5670,0.9,5010
200,328.25,6295,5677,0.9,5003
