episode,avg_travel_time,total,complete,ratio,stops
1,553.56,2884,2463,0.85,2214
2,551.95,2914,2450,0.84,2238
3,533.98,2886,2501,0.87,2201
4,468.63,2983,2583,0.87,2306
5,408.51,2983,2688,0.9,2290
6,387.88,2983,2684,0.9,2272
7,382.42,2983,2680,0.9,2237
8,372.47,2983,2693,0.9,2226
9,375.08,2983,2687,0.9,2190
10,375.78,2983,2694,0.9,2207
11,372.42,2983,2690,0.9,2215
12,369.21,2983,2690,0.9,2201
13,365.58,2983,2691,0.9,2158
14,364.69,2983,2701,0.91,2164
15,363.86,2983,2698,0.9,2184
16,366.5,2983,2696,0.9,2183
17,363.23,2983,2698,0.9,2169
18,365.58,2983,2694,0.9,2182
19,364.14,2983,2711,0.91,2148
20,363.17,2983,2695,0.9,2153
21,362.19,2983,2701,0.91,2165
22,363.26,2983,2698,0.9,2165
23,361.87,2983,2708,0.91,2178
24,361.63,2983,2694,0.9,2136
25,361.61,2983,2698,0.9,2164
26,361.31,2983,2699,0.9,2170
27,360.86,2983,2709,0.91,2134
28,361.03,2983,2700,0.91,2144
29,361.47,2983,2704,0.91,2154
30,363.21,2983,2697,0.9,2167
31,361.46,2983,2697,0.9,2153
32,360.99,2983,2711,0.91,2152
33,358.65,2983,2701,0.91,2161
34,361.91,2983,2696,0.9,2150
35,358.89,2983,2696,0.9,2158
36,357.82,2983,2708,0.91,2168
37,360.72,2983,2695,0.9,2176
38,358.86,2983,2704,0.91,2156
39,360.92,2983,2702,0.91,2167
40,359.31,2983,2699,0.9,2161
41,359.87,2983,2704,0.91,2154
42,359.14,2983,2702,0.91,2161
43,360.25,2983,2707,0.91,2151
44,359.39,2983,2704,0.91,2146
45,360.49,2983,2701,0.91,2148
46,358.48,2983,2702,0.91,2155
47,359.49,2983,2700,0.91,2166
48,360.7,2983,2699,0.9,2168
49,359.3,2983,2707,0.91,2162
50,361.13,2983,2697,0.9,2163
51,359.27,2983,2700,0.91,2149
52,359.87,2983,2696,0.9,2170
53,359.31,2983,2705,0.91,2149
54,359.73,2983,2703,0.91,2171
55,359.53,2983,2703,0.91,2162
56,360.01,2983,2700,0.91,2170
57,359.53,2983,2707,0.91,2149
58,359.31,2983,2707,0.91,2157
59,359.75,2983,2708,0.91,2156
60,358.89,2983,2701,0.91,2151
61,359.32,2983,2708,0.91,2184
62,358.92,2983,2702,0.91,2162
63,360.55,2983,2707,0.91,2157
64,360.05,2983,2694,0.9,2171
65,360.04,2983,2699,0.9,2165
66,357.37,2983,2702,0.91,2166
