episode,avg_travel_time,total,complete,ratio,stops
1,975.86,5721,3394,0.59,5455
2,986.93,5732,3437,0.6,5478
3,891.05,5821,3912,0.67,5548
4,868.35,5920,4043,0.68,5644
5,881.75,5884,3637,0.62,5609
6,874.6,5858,4030,0.69,5580
7,831.51,5898,4035,0.68,5622
8,801.18,5878,4249,0.72,5604
9,858.15,5869,4048,0.69,5602
10,801.99,5883,4455,0.76,5595
11,850.3,5852,3871,0.66,5575
12,788.42,5877,4352,0.74,5585
13,818.7,5865,4348,0.74,5575
14,772.56,5859,4506,0.77,5573
15,794.6,5887,4564,0.78,5601
16,798.82,5896,4218,0.72,5614
17,800.36,5867,4135,0.7,5582
18,770.72,5933,4410,0.74,5648
19,780.23,5885,4394,0.75,5602
20,788.82,5864,4330,0.74,5584
21,776.47,5905,4310,0.73,5616
22,821.61,5901,4181,0.71,5618
23,756.33,5911,4552,0.77,5626
24,769.5,5887,4482,0.76,5604
25,765.19,5868,4510,0.77,5589
26,786.85,5915,4311,0.73,5632
27,750.49,5902,4660,0.79,5621
28,785.55,5845,4304,0.74,5570
29,769.57,5877,4495,0.76,5592
30,761.71,5858,4490,0.77,5560
31,757.26,5876,4486,0.76,5603
32,764.94,5881,4438,0.75,5596
33,806.09,5802,4200,0.72,5514
34,781.84,5867,4106,0.7,5598
35,745.93,5837,4507,0.77,5548
36,759.04,5849,4439,0.76,5570
37,776.29,5786,4322,0.75,5492
38,752.34,5857,4481,0.77,5568
39,747.93,5895,4516,0.77,5618
40,748.25,5896,4546,0.77,5609
41,745.34,5853,4506,0.77,5567
42,739.7,5906,4608,0.78,5617
43,736.19,5921,4583,0.77,5639
44,733.55,5875,4667,0.79,5586
45,738.96,5858,4589,0.78,5557
46,766.27,5894,4412,0.75,5615
47,722.25,5900,4662,0.79,5615
48,747.17,5938,4372,0.74,5664
49,748.04,5890,4519,0.77,5588
50,768.97,5823,4444,0.76,5544
51,747.27,5847,4415,0.76,5556
52,742.94,5859,4450,0.76,5580
53,748.22,5872,4243,0.72,5595
54,735.67,5892,4489,0.76,5606
55,719.15,5896,4688,0.8,5593
56,712.29,5911,4739,0.8,5617
57,710.44,5874,4712,0.8,5583
58,728.08,5890,4551,0.77,5594
59,711.1,5927,4729,0.8,5629
60,729.65,5863,4576,0.78,5570
61,756.12,5876,4285,0.73,5596
62,744.34,5865,4346,0.74,5569
63,722.31,5882,4599,0.78,5584
64,716.42,5877,4661,0.79,5579
65,744.17,5887,4349,0.74,5586
