episode,avg_travel_time,total,complete,ratio,stops
1,593.59,5897,4403,0.75,5561
2,550.06,5960,4482,0.75,5613
3,472.17,5979,4824,0.81,5596
4,455.37,5988,4931,0.82,5609
5,431.74,5997,4969,0.83,5631
6,411.48,5996,5021,0.84,5593
7,403.54,5992,5067,0.85,5613
8,404.31,5980,5062,0.85,5593
9,399.87,5997,5096,0.85,5624
10,398.6,5973,5046,0.84,5580
11,396.83,5977,5041,0.84,5584
12,382.34,5990,5105,0.85,5582
13,375.89,5997,5152,0.86,5604
14,383.48,5992,5104,0.85,5582
15,379.98,5993,5085,0.85,5602
16,382.32,5989,5101,0.85,5585
17,373.97,5994,5142,0.86,5594
18,378.57,5994,5130,0.86,5611
19,378.62,5983,5116,0.86,5581
20,370.91,5994,5144,0.86,5578
21,380.06,5992,5109,0.85,5618
22,375.61,5997,5136,0.86,5586
23,370.44,5997,5140,0.86,5604
24,370.65,5995,5153,0.86,5594
25,368.04,5997,5186,0.86,5600
26,374.1,5986,5115,0.85,5587
27,370.07,5992,5131,0.86,5604
28,371.53,5989,5132,0.86,5579
29,367.13,5989,5137,0.86,5610
30,364.84,5994,5144,0.86,5600
31,376.8,5981,5088,0.85,5584
32,367.39,5997,5176,0.86,5601
33,370.75,5992,5118,0.85,5600
34,371.86,5997,5162,0.86,5592
35,364.63,5996,5147,0.86,5595
36,361.97,5997,5175,0.86,5590
37,367.27,5997,5193,0.87,5586
38,359.3,5995,5177,0.86,5605
39,364.39,5995,5156,0.86,5586
40,365.37,5992,5151,0.86,5587
41,368.85,5997,5174,0.86,5600
42,365.33,5992,5151,0.86,5594
43,362.72,5997,5194,0.87,5598
44,367.09,5990,5152,0.86,5581
45,365.88,5996,5170,0.86,5596
46,363.52,5992,5164,0.86,5601
47,362.68,5993,5138,0.86,5578
48,370.73,5989,5108,0.85,5571
49,368.07,5997,5165,0.86,5594
50,361.08,5997,5170,0.86,5586
51,374.46,5975,5083,0.85,5571
52,361.57,5997,5179,0.86,5594
53,365.67,5992,5145,0.86,5597
54,370.95,5983,5114,0.85,5584
55,361.77,5992,5152,0.86,5591
56,364.12,5997,5185,0.86,5599
57,368.69,5990,5141,0.86,5574
58,361.59,5992,5136,0.86,5598
59,362.76,5990,5139,0.86,5584
60,363.54,5997,5183,0.86,5604
61,367.76,5993,5124,0.85,5596
62,360.64,5995,5155,0.86,5587
63,366.43,5992,5128,0.86,5588
64,359.93,5997,5201,0.87,5602
65,364.77,5990,5127,0.86,5591
66,363.41,5996,5142,0.86,5592
67,366.56,5993,5115,0.85,5595
68,366.57,5989,5111,0.85,5581
69,366.8,5986,5141,0.86,5570
70,364.28,5988,5126,0.86,5576
71,362.7,5990,5161,0.86,5577
72,363.63,5989,5147,0.86,5581
73,370.79,5979,5105,0.85,5578
74,369.66,5992,5108,0.85,5585
75,363.35,5990,5139,0.86,5578
76,362.26,5994,5136,0.86,5581
77,370.08,5997,5171,0.86,5579
78,371.07,5977,5104,0.85,5564
79,366.03,5988,5147,0.86,5584
80,361.78,5987,5152,0.86,5593
81,365.9,5987,5154,0.86,5574
82,366.1,5992,5133,0.86,5594
83,367.12,5992,5116,0.85,5586
84,360.28,5986,5152,0.86,5566
85,363.49,5997,5142,0.86,5589
86,365.54,5997,5144,0.86,5602
87,363.38,5991,5140,0.86,5577
88,368.51,5978,5097,0.85,5573
89,378.24,5972,5086,0.85,5562
90,366.59,5984,5130,0.86,5568
91,369.06,5983,5106,0.85,5564
92,362.3,5997,5171,0.86,5598
93,361.12,5993,5152,0.86,5579
94,372.21,5978,5110,0.85,5576
95,363.1,5996,5155,0.86,5578
96,370.71,5992,5123,0.85,5577
97,369.62,5992,5113,0.85,5571
98,368.34,5985,5129,0.86,5584
99,371.86,5981,5104,0.85,5575
100,372.11,5983,5098,0.85,5576
101,372.14,5978,5100,0.85,5578
102,363.83,5997,5185,0.86,5587
103,367.5,5991,5139,0.86,5579
104,362.25,5992,5157,0.86,5587
105,367.38,5987,5132,0.86,5581
106,362.18,5993,5153,0.86,5583
107,371.58,5976,5099,0.85,5567
108,365.38,5997,5168,0.86,5589
109,368.19,5991,5126,0.86,5592
110,370.86,5980,5101,0.85,5570
111,375.69,5978,4999,0.84,5570
112,361.54,5989,5140,0.86,5585
113,371.4,5981,5047,0.84,5569
114,367.63,5988,5135,0.86,5592
115,374.88,5975,5095,0.85,5563
116,363.65,5990,5138,0.86,5572
117,373.5,5975,5094,0.85,5575
118,361.81,5997,5162,0.86,5591
119,364.41,5997,5151,0.86,5593
120,367.56,5986,5121,0.86,5571
121,373.59,5997,5095,0.85,5591
122,368.96,5997,5116,0.85,5587
123,363.6,5997,5161,0.86,5579
124,364.78,5978,5119,0.86,5572
125,374.02,5979,5082,0.85,5587
126,370.82,5979,5099,0.85,5562
127,361.55,5997,5155,0.86,5589
128,358.88,5994,5156,0.86,5598
129,359.72,5992,5159,0.86,5585
130,373.39,5983,5018,0.84,5585
131,371.1,5984,5032,0.84,5582
132,367.63,5987,5118,0.85,5573
133,363.5,5995,5163,0.86,5582
134,366.01,5992,5138,0.86,5574
135,367.94,5980,5107,0.85,5559
136,362.64,5997,5198,0.87,5588
137,371.69,5983,5113,0.85,5560
138,362.07,5995,5147,0.86,5570
139,364.69,5987,5138,0.86,5573
140,371.22,5979,5094,0.85,5580
141,360.38,5995,5161,0.86,5588
142,358.85,5992,5164,0.86,5585
143,367.67,5982,5109,0.85,5576
144,363.83,5991,5140,0.86,5590
145,359.92,5994,5146,0.86,5584
146,371.55,5974,5087,0.85,5560
147,360.2,5997,5165,0.86,5589
148,367.07,5992,5124,0.86,5585
149,365.79,5991,5136,0.86,5584
150,369.57,5984,5025,0.84,5568
151,366.7,5990,5139,0.86,5588
152,364.72,5985,5129,0.86,5571
153,362.42,5994,5157,0.86,5595
154,366.56,5997,5151,0.86,5600
155,359.72,5997,5150,0.86,5585
156,368.53,5992,5093,0.85,5575
157,370.0,5983,5135,0.86,5560
158,368.92,5984,5115,0.85,5566
159,365.86,5985,5138,0.86,5576
160,363.13,5997,5160,0.86,5591
161,364.09,5991,5161,0.86,5578
162,369.69,5997,5070,0.85,5595
163,366.09,5983,5101,0.85,5580
164,373.91,5972,5082,0.85,5555
165,367.07,5986,5070,0.85,5576
166,362.33,5992,5126,0.86,5579
167,366.25,5985,5135,0.86,5577
168,363.74,5997,5163,0.86,5605
169,366.67,5988,5113,0.85,5574
170,372.76,5975,5091,0.85,5569
171,364.24,5988,5153,0.86,5583
172,367.5,5987,5131,0.86,5582
173,375.01,5972,5062,0.85,5559
174,363.32,5993,5141,0.86,5594
175,379.43,5975,4974,0.83,5574
