episode,avg_travel_time,total,complete,ratio,stops
1,532.35,2997,2795,0.93,2835
2,503.86,2997,2824,0.94,2836
3,467.03,2997,2917,0.97,2828
4,431.39,2997,2921,0.97,2831
5,416.2,2997,2924,0.98,2825
6,417.62,2997,2934,0.98,2823
7,427.62,2997,2864,0.96,2821
8,427.44,2997,2844,0.95,2822
9,397.4,2997,2928,0.98,2828
10,392.19,2997,2931,0.98,2820
11,398.14,2997,2924,0.98,2812
12,388.64,2997,2932,0.98,2830
13,384.64,2997,2926,0.98,2826
14,386.33,2997,2931,0.98,2816
15,384.17,2997,2930,0.98,2828
16,378.99,2997,2937,0.98,2821
17,379.09,2997,2926,0.98,2813
18,378.65,2997,2932,0.98,2814
19,378.42,2997,2925,0.98,2826
20,377.66,2997,2936,0.98,2826
21,373.73,2997,2935,0.98,2822
22,374.04,2997,2930,0.98,2822
23,369.05,2997,2932,0.98,2828
24,371.79,2997,2936,0.98,2808
25,369.44,2997,2931,0.98,2819
26,366.69,2997,2922,0.97,2816
27,366.33,2997,2936,0.98,2819
28,365.71,2997,2938,0.98,2817
29,365.51,2997,2934,0.98,2825
30,361.93,2997,2940,0.98,2818
31,360.51,2997,2940,0.98,2807
32,367.6,2997,2939,0.98,2824
33,358.53,2997,2934,0.98,2816
34,362.85,2997,2927,0.98,2814
35,365.39,2997,2928,0.98,2822
36,363.0,2997,2934,0.98,2816
37,363.02,2997,2936,0.98,2816
38,364.66,2997,2932,0.98,2816
39,364.94,2997,2926,0.98,2812
40,364.76,2997,2926,0.98,2803
41,362.53,2997,2936,0.98,2812
42,361.61,2997,2931,0.98,2817
43,363.42,2997,2932,0.98,2823
44,361.07,2997,2932,0.98,2809
45,359.63,2997,2932,0.98,2809
46,364.7,2997,2938,0.98,2807
47,362.52,2997,2942,0.98,2819
48,361.49,2997,2940,0.98,2806
49,356.99,2997,2938,0.98,2803
50,364.78,2997,2942,0.98,2806
51,366.5,2997,2927,0.98,2803
52,365.74,2997,2923,0.98,2812
53,358.41,2997,2933,0.98,2805
54,361.76,2997,2930,0.98,2812
55,363.0,2997,2946,0.98,2813
56,361.33,2997,2931,0.98,2813
57,359.32,2997,2938,0.98,2804
58,357.51,2997,2947,0.98,2803
59,362.57,2997,2938,0.98,2801
60,364.88,2997,2930,0.98,2803
61,362.02,2997,2942,0.98,2805
62,358.16,2997,2947,0.98,2812
63,359.35,2997,2934,0.98,2805
64,363.68,2997,2927,0.98,2810
65,363.32,2997,2932,0.98,2804
66,363.02,2997,2929,0.98,2809
67,361.11,2997,2928,0.98,2812
68,362.96,2997,2931,0.98,2807
69,364.45,2997,2938,0.98,2806
70,360.44,2997,2933,0.98,2811
71,360.95,2997,2936,0.98,2806
72,367.62,2997,2929,0.98,2806
73,363.67,2997,2929,0.98,2809
74,362.59,2997,2928,0.98,2802
75,359.91,2997,2933,0.98,2809
76,355.21,2997,2932,0.98,2808
77,362.93,2997,2930,0.98,2806
78,354.74,2997,2939,0.98,2804
79,356.93,2997,2933,0.98,2796
80,358.87,2997,2943,0.98,2804
81,362.0,2997,2927,0.98,2802
82,353.9,2997,2935,0.98,2806
83,361.43,2997,2931,0.98,2793
84,359.73,2997,2937,0.98,2806
85,358.18,2997,2940,0.98,2809
86,354.7,2997,2937,0.98,2803
87,354.72,2997,2934,0.98,2811
88,355.02,2997,2939,0.98,2799
89,357.76,2997,2940,0.98,2803
90,355.32,2997,2937,0.98,2802
91,359.88,2997,2926,0.98,2805
92,354.92,2997,2936,0.98,2808
93,360.16,2997,2929,0.98,2809
94,357.5,2997,2935,0.98,2812
95,355.55,2997,2940,0.98,2811
96,359.82,2997,2930,0.98,2815
97,355.46,2997,2931,0.98,2808
98,358.55,2997,2936,0.98,2789
99,357.3,2997,2930,0.98,2805
100,357.47,2997,2933,0.98,2801
101,354.04,2997,2938,0.98,2812
102,356.51,2997,2944,0.98,2809
103,354.78,2997,2935,0.98,2802
104,357.87,2997,2940,0.98,2808
105,358.87,2997,2931,0.98,2808
106,360.46,2997,2929,0.98,2801
107,354.86,2997,2930,0.98,2806
108,356.83,2997,2935,0.98,2794
109,356.88,2997,2940,0.98,2812
110,356.44,2997,2932,0.98,2798
111,357.94,2997,2930,0.98,2811
112,358.64,2997,2937,0.98,2799
113,358.64,2997,2933,0.98,2803
114,355.34,2997,2947,0.98,2795
115,356.82,2997,2936,0.98,2795
116,359.34,2997,2933,0.98,2803
117,355.22,2997,2939,0.98,2801
118,362.46,2997,2924,0.98,2802
119,360.88,2997,2937,0.98,2797
120,358.08,2997,2939,0.98,2803
121,362.1,2997,2931,0.98,2793
122,359.53,2997,2937,0.98,2800
123,355.95,2997,2931,0.98,2796
124,354.17,2997,2940,0.98,2803
125,361.14,2997,2938,0.98,2804
126,353.3,2997,2936,0.98,2808
127,359.09,2997,2938,0.98,2810
128,357.41,2997,2942,0.98,2809
129,358.62,2997,2934,0.98,2810
130,356.73,2997,2942,0.98,2792
131,356.31,2997,2933,0.98,2805
132,355.35,2997,2941,0.98,2803
133,355.86,2997,2942,0.98,2805
134,362.06,2997,2928,0.98,2796
135,354.82,2997,2941,0.98,2802
136,355.22,2997,2934,0.98,2800
137,358.41,2997,2942,0.98,2799
138,355.16,2997,2932,0.98,2809
139,359.77,2997,2938,0.98,2811
140,357.28,2997,2928,0.98,2804
141,358.14,2997,2937,0.98,2804
142,356.24,2997,2933,0.98,2804
143,356.28,2997,2947,0.98,2806
144,356.72,2997,2935,0.98,2810
145,355.6,2997,2942,0.98,2812
146,355.64,2997,2938,0.98,2810
147,353.99,2997,2946,0.98,2787
148,354.13,2997,2931,0.98,2797
149,353.58,2997,2935,0.98,2809
150,356.88,2997,2932,0.98,2809
151,356.86,2997,2932,0.98,2810
152,356.12,2997,2935,0.98,2804
153,357.19,2997,2926,0.98,2795
154,357.06,2997,2940,0.98,2807
155,356.47,2997,2943,0.98,2808
156,351.94,2997,2942,0.98,2813
157,354.33,2997,2945,0.98,2808
158,357.37,2997,2941,0.98,2803
159,356.57,2997,2939,0.98,2802
160,353.92,2997,2940,0.98,2802
161,355.6,2997,2933,0.98,2794
162,354.59,2997,2937,0.98,2811
163,356.11,2997,2936,0.98,2803
164,352.22,2997,2936,0.98,2811
165,355.5,2997,2929,0.98,2801
166,355.13,2997,2938,0.98,2801
167,356.42,2997,2928,0.98,2794
168,355.58,2997,2939,0.98,2816
169,352.65,2997,2939,0.98,2797
170,353.5,2997,2935,0.98,2811
171,354.1,2997,2944,0.98,2806
172,353.47,2997,2937,0.98,2798
173,352.82,2997,2936,0.98,2793
174,351.43,2997,2950,0.98,2805
175,351.05,2997,2945,0.98,2796
176,356.57,2997,2947,0.98,2806
177,352.4,2997,2945,0.98,2806
178,354.38,2997,2938,0.98,2805
179,356.98,2997,2932,0.98,2804
180,353.95,2997,2929,0.98,2803
181,378.2,2997,2849,0.95,2792
182,352.59,2997,2939,0.98,2812
183,356.2,2997,2941,0.98,2811
184,356.36,2997,2935,0.98,2811
185,355.83,2997,2927,0.98,2814
186,358.59,2997,2935,0.98,2805
187,355.85,2997,2932,0.98,2799
188,356.21,2997,2931,0.98,2799
189,360.13,2997,2942,0.98,2801
190,353.13,2997,2930,0.98,2790
191,357.23,2997,2942,0.98,2810
192,353.09,2997,2942,0.98,2794
193,355.28,2997,2936,0.98,2798
194,356.46,2997,2930,0.98,2793
195,355.03,2997,2933,0.98,2799
196,354.71,2997,2944,0.98,2801
197,362.16,2997,2935,0.98,2806
198,356.79,2997,2944,0.98,2793
199,353.97,2997,2940,0.98,2800
