episode,avg_travel_time,total,complete,ratio,stops
1,357.63,2999,2677,0.89,2776
2,345.75,2999,2694,0.9,2787
3,332.72,2999,2704,0.9,2783
4,327.23,2999,2719,0.91,2780
5,317.17,2999,2722,0.91,2763
6,311.29,2999,2733,0.91,2765
7,308.47,2999,2732,0.91,2765
8,306.36,2999,2729,0.91,2768
9,303.99,2999,2727,0.91,2763
10,302.82,2999,2726,0.91,2750
11,298.8,2999,2740,0.91,2759
12,297.55,2999,2741,0.91,2767
13,296.3,2999,2744,0.91,2754
14,294.53,2999,2737,0.91,2751
15,294.35,2999,2737,0.91,2764
16,294.27,2999,2734,0.91,2760
17,294.16,2999,2734,0.91,2758
18,293.7,2999,2739,0.91,2768
19,290.59,2999,2738,0.91,2760
20,292.15,2999,2739,0.91,2769
21,292.17,2999,2740,0.91,2748
22,292.41,2999,2747,0.92,2742
23,289.81,2999,2746,0.92,2754
24,288.68,2999,2745,0.92,2749
25,288.41,2999,2738,0.91,2740
26,288.47,2999,2754,0.92,2741
27,289.11,2999,2747,0.92,2741
28,289.54,2999,2743,0.91,2753
29,288.72,2999,2743,0.91,2754
30,288.68,2999,2744,0.91,2744
31,289.02,2999,2742,0.91,2752
32,287.85,2999,2754,0.92,2748
33,289.64,2999,2742,0.91,2755
34,287.65,2999,2736,0.91,2746
35,287.37,2999,2737,0.91,2753
36,288.01,2999,2741,0.91,2740
37,288.82,2999,2744,0.91,2757
38,288.04,2999,2741,0.91,2756
39,287.45,2999,2741,0.91,2747
40,287.39,2999,2741,0.91,2754
41,287.95,2999,2740,0.91,2747
42,287.44,2999,2750,0.92,2750
43,287.38,2999,2748,0.92,2763
44,288.5,2999,2733,0.91,2761
45,286.99,2999,2742,0.91,2735
46,286.53,2999,2743,0.91,2746
47,288.24,2999,2750,0.92,2747
48,285.71,2999,2746,0.92,2747
49,288.03,2999,2748,0.92,2737
50,288.18,2999,2744,0.91,2766
51,287.22,2999,2744,0.91,2747
52,287.54,2999,2739,0.91,2748
53,287.31,2999,2750,0.92,2749
54,286.48,2999,2738,0.91,2743
55,287.93,2999,2743,0.91,2736
56,287.3,2999,2744,0.91,2744
57,287.22,2999,2744,0.91,2752
58,287.75,2999,2753,0.92,2739
59,287.06,2999,2742,0.91,2750
60,287.17,2999,2741,0.91,2744
61,285.36,2999,2747,0.92,2735
62,285.83,2999,2739,0.91,2749
63,287.95,2999,2748,0.92,2750
64,287.42,2999,2742,0.91,2753
65,286.4,2999,2748,0.92,2749
66,287.14,2999,2746,0.92,2729
67,287.66,2999,2751,0.92,2746
68,286.44,2999,2752,0.92,2743
69,288.24,2999,2746,0.92,2740
70,286.3,2999,2747,0.92,2747
71,286.51,2999,2748,0.92,2748
72,286.06,2999,2749,0.92,2748
73,286.31,2999,2749,0.92,2737
74,286.22,2999,2743,0.91,2746
75,286.12,2999,2745,0.92,2749
76,285.67,2999,2750,0.92,2739
77,287.01,2999,2746,0.92,2753
78,287.79,2999,2750,0.92,2735
79,286.12,2999,2742,0.91,2749
80,286.65,2999,2745,0.92,2737
81,286.17,2999,2745,0.92,2740
82,287.17,2999,2746,0.92,2747
83,287.91,2999,2745,0.92,2739
84,287.22,2999,2739,0.91,2737
85,285.67,2999,2748,0.92,2745
86,286.34,2999,2745,0.92,2751
87,286.96,2999,2749,0.92,2749
88,288.78,2999,2744,0.91,2740
89,288.19,2999,2741,0.91,2743
90,287.01,2999,2744,0.91,2743
91,287.45,2999,2745,0.92,2744
92,286.34,2999,2740,0.91,2736
93,286.67,2999,2744,0.91,2734
94,287.41,2999,2738,0.91,2738
95,285.67,2999,2748,0.92,2752
96,287.82,2999,2748,0.92,2745
97,285.63,2999,2747,0.92,2731
98,287.27,2999,2743,0.91,2741
99,288.77,2999,2752,0.92,2746
100,286.82,2999,2734,0.91,2740
101,285.69,2999,2749,0.92,2750
102,287.62,2999,2749,0.92,2734
103,287.1,2999,2749,0.92,2745
104,286.58,2999,2752,0.92,2735
105,287.59,2999,2737,0.91,2741
106,286.66,2999,2746,0.92,2743
107,285.28,2999,2745,0.92,2743
108,285.97,2999,2751,0.92,2752
109,285.79,2999,2747,0.92,2752
110,285.72,2999,2749,0.92,2747
111,286.07,2999,2746,0.92,2731
112,286.71,2999,2748,0.92,2746
113,287.47,2999,2742,0.91,2747
114,286.0,2999,2739,0.91,2744
115,287.47,2999,2742,0.91,2739
116,287.14,2999,2737,0.91,2745
117,287.25,2999,2740,0.91,2742
118,287.55,2999,2744,0.91,2752
119,287.54,2999,2742,0.91,2749
120,285.99,2999,2740,0.91,2752
121,286.48,2999,2744,0.91,2734
122,285.93,2999,2747,0.92,2753
123,286.21,2999,2741,0.91,2745
124,285.91,2999,2740,0.91,2743
125,286.45,2999,2738,0.91,2747
126,286.89,2999,2748,0.92,2735
127,287.02,2999,2744,0.91,2762
128,286.76,2999,2746,0.92,2747
129,285.84,2999,2746,0.92,2741
130,286.47,2999,2737,0.91,2758
131,286.84,2999,2747,0.92,2748
132,285.81,2999,2741,0.91,2740
133,287.11,2999,2743,0.91,2737
134,285.66,2999,2744,0.91,2747
135,285.53,2999,2747,0.92,2752
136,287.64,2999,2748,0.92,2728
137,285.68,2999,2754,0.92,2758
138,286.93,2999,2750,0.92,2735
139,285.87,2999,2745,0.92,2740
140,287.01,2999,2741,0.91,2750
141,287.32,2999,2741,0.91,2745
142,287.28,2999,2748,0.92,2744
143,286.74,2999,2747,0.92,2749
144,285.27,2999,2752,0.92,2737
145,287.0,2999,2757,0.92,2740
146,285.97,2999,2748,0.92,2734
147,286.02,2999,2740,0.91,2741
148,285.77,2999,2739,0.91,2740
149,285.14,2999,2743,0.91,2740
150,286.17,2999,2742,0.91,2733
151,287.08,2999,2742,0.91,2753
152,288.21,2999,2736,0.91,2752
153,285.66,2999,2742,0.91,2736
154,286.02,2999,2746,0.92,2730
155,285.15,2999,2744,0.91,2756
156,287.09,2999,2746,0.92,2749
157,286.45,2999,2743,0.91,2750
158,285.95,2999,2745,0.92,2729
159,285.96,2999,2752,0.92,2739
160,287.96,2999,2741,0.91,2731
161,286.31,2999,2739,0.91,2733
162,286.71,2999,2743,0.91,2744
163,286.66,2999,2742,0.91,2735
164,287.05,2999,2740,0.91,2731
165,285.92,2999,2749,0.92,2728
166,286.28,2999,2747,0.92,2742
167,285.97,2999,2737,0.91,2747
168,285.08,2999,2744,0.91,2757
169,286.64,2999,2744,0.91,2726
170,284.73,2999,2748,0.92,2749
171,286.21,2999,2747,0.92,2740
172,285.32,2999,2742,0.91,2740
173,286.12,2999,2750,0.92,2735
174,286.71,2999,2744,0.91,2745
175,286.21,2999,2743,0.91,2737
176,287.66,2999,2741,0.91,2734
177,284.99,2999,2750,0.92,2728
178,286.86,2999,2745,0.92,2728
179,284.84,2999,2739,0.91,2740
