episode,avg_travel_time,total,complete,ratio,stops
1,1277.44,2309,726,0.31,2244
2,1248.04,2319,770,0.33,2249
3,1197.55,2351,800,0.34,2279
4,1127.97,2367,922,0.39,2294
5,1123.95,2369,918,0.39,2290
6,1045.0,2400,1032,0.43,2312
7,938.89,2416,1200,0.5,2334
8,915.85,2431,1199,0.49,2344
9,807.71,2482,1471,0.59,2376
10,732.37,2502,1563,0.62,2391
11,646.98,2542,1705,0.67,2424
12,611.63,2556,1798,0.7,2425
13,591.41,2588,1801,0.7,2451
14,572.27,2605,1824,0.7,2480
15,399.29,2686,2237,0.83,2526
16,354.77,2691,2439,0.91,2531
17,338.07,2694,2466,0.92,2510
18,298.44,2727,2535,0.93,2524
19,288.65,2750,2562,0.93,2553
20,310.89,2695,2506,0.93,2487
21,261.97,2774,2585,0.93,2573
22,244.59,2803,2626,0.94,2590
23,223.16,2824,2657,0.94,2612
24,223.37,2824,2663,0.94,2607
25,214.68,2824,2664,0.94,2595
26,211.84,2824,2659,0.94,2577
27,209.29,2824,2666,0.94,2581
28,207.46,2824,2675,0.95,2570
29,207.18,2824,2668,0.94,2580
30,203.33,2824,2674,0.95,2558
31,202.49,2824,2672,0.95,2562
32,203.1,2824,2677,0.95,2568
33,200.81,2824,2676,0.95,2577
34,200.02,2824,2676,0.95,2557
35,201.22,2824,2674,0.95,2574
36,198.6,2824,2678,0.95,2553
37,199.2,2824,2674,0.95,2568
38,198.57,2824,2682,0.95,2535
39,211.02,2824,2587,0.92,2569
40,198.8,2824,2678,0.95,2571
41,197.13,2824,2680,0.95,2559
42,197.76,2824,2678,0.95,2578
43,196.72,2824,2685,0.95,2565
44,196.83,2824,2675,0.95,2554
45,196.66,2824,2680,0.95,2532
46,200.43,2824,2680,0.95,2554
47,197.58,2824,2680,0.95,2574
48,199.02,2824,2682,0.95,2554
49,200.76,2824,2680,0.95,2570
50,197.25,2824,2685,0.95,2538
51,197.18,2824,2680,0.95,2544
52,196.89,2824,2677,0.95,2541
53,196.16,2824,2683,0.95,2547
54,203.59,2824,2678,0.95,2549
55,195.99,2824,2679,0.95,2537
56,197.81,2824,2682,0.95,2551
57,195.23,2824,2681,0.95,2551
58,194.37,2824,2679,0.95,2545
59,195.33,2824,2673,0.95,2534
60,195.19,2824,2676,0.95,2540
61,208.38,2824,2684,0.95,2550
62,194.97,2824,2678,0.95,2542
63,195.1,2824,2684,0.95,2556
64,195.07,2824,2682,0.95,2558
65,194.17,2824,2681,0.95,2542
66,195.22,2824,2683,0.95,2564
67,195.2,2824,2682,0.95,2550
68,195.38,2824,2679,0.95,2545
69,194.86,2824,2682,0.95,2549
70,195.16,2824,2679,0.95,2548
71,195.08,2824,2679,0.95,2558
72,194.67,2824,2681,0.95,2548
73,194.68,2824,2683,0.95,2548
74,194.67,2824,2688,0.95,2554
75,193.64,2824,2684,0.95,2515
76,194.68,2824,2687,0.95,2540
77,194.02,2824,2682,0.95,2536
78,193.86,2824,2675,0.95,2537
79,194.7,2824,2681,0.95,2541
80,194.94,2824,2685,0.95,2544
81,194.47,2824,2683,0.95,2552
82,195.25,2824,2680,0.95,2543
83,195.6,2824,2679,0.95,2552
84,195.22,2824,2683,0.95,2551
85,194.25,2824,2678,0.95,2550
86,193.66,2824,2681,0.95,2545
87,194.86,2824,2684,0.95,2545
88,195.14,2824,2673,0.95,2526
89,194.31,2824,2681,0.95,2551
90,194.84,2824,2679,0.95,2563
91,194.44,2824,2681,0.95,2541
92,194.32,2824,2683,0.95,2556
