episode,avg_travel_time,total,complete,ratio,stops
1,781.46,5814,3704,0.64,4621
2,701.26,5801,4036,0.7,4600
3,693.97,5872,4110,0.7,4668
4,670.0,6006,4168,0.69,4778
5,657.19,5994,4363,0.73,4742
6,543.92,6098,4722,0.77,4838
7,516.74,6116,4858,0.79,4821
8,511.86,6138,4959,0.81,4882
9,496.32,6169,5105,0.83,4892
10,469.41,6210,5117,0.82,4893
11,440.64,6253,5230,0.84,4954
12,426.11,6272,5337,0.85,5011
13,421.33,6252,5384,0.86,5012
14,404.03,6291,5399,0.86,5053
15,418.13,6289,5393,0.86,5021
16,392.82,6290,5467,0.87,5020
17,385.73,6295,5495,0.87,5030
18,386.58,6295,5521,0.88,5028
19,371.77,6292,5551,0.88,5012
20,375.46,6295,5534,0.88,5026
21,366.22,6295,5562,0.88,5020
22,364.14,6295,5572,0.89,5015
23,359.44,6295,5572,0.89,4999
24,353.23,6295,5620,0.89,5014
25,355.79,6295,5579,0.89,5022
26,352.36,6295,5618,0.89,5031
27,354.36,6295,5566,0.88,5007
28,348.93,6295,5613,0.89,5010
29,347.36,6295,5627,0.89,4989
30,345.03,6295,5582,0.89,5019
31,340.21,6295,5619,0.89,4988
32,341.9,6295,5594,0.89,4980
33,343.17,6295,5622,0.89,5018
34,343.61,6295,5591,0.89,4982
35,339.98,6295,5618,0.89,4989
36,340.22,6295,5643,0.9,5009
37,336.59,6295,5635,0.9,4990
38,341.13,6295,5622,0.89,4990
39,338.2,6295,5639,0.9,4999
40,336.58,6295,5636,0.9,4981
41,335.22,6295,5654,0.9,5012
42,336.67,6295,5643,0.9,4990
43,335.58,6295,5632,0.89,5006
44,333.66,6295,5629,0.89,5033
45,335.15,6295,5643,0.9,5020
46,337.47,6295,5607,0.89,5025
47,335.72,6295,5606,0.89,5000
48,330.42,6295,5650,0.9,4994
49,331.23,6295,5639,0.9,4996
50,329.91,6295,5634,0.89,4999
51,326.73,6295,5641,0.9,5009
52,330.38,6295,5653,0.9,5016
53,326.12,6295,5670,0.9,4993
54,325.85,6295,5635,0.9,5018
55,328.55,6295,5652,0.9,5005
56,325.84,6295,5657,0.9,5000
57,329.04,6295,5653,0.9,4982
58,326.07,6295,5667,0.9,5018
59,323.42,6295,5661,0.9,4990
60,323.27,6295,5691,0.9,4998
61,326.2,6295,5648,0.9,5005
62,324.42,6295,5662,0.9,4981
63,329.15,6295,5658,0.9,5022
64,326.25,6295,5656,0.9,4987
65,325.82,6295,5656,0.9,4988
66,324.84,6295,5657,0.9,5032
67,323.35,6295,5661,0.9,5011
68,323.77,6295,5677,0.9,5004
69,326.33,6295,5656,0.9,5009
70,322.43,6295,5673,0.9,5009
71,323.38,6295,5674,0.9,5024
72,320.55,6295,5660,0.9,5004
73,324.09,6295,5657,0.9,4998
74,320.72,6295,5681,0.9,5004
75,321.57,6295,5666,0.9,5012
76,322.36,6295,5666,0.9,5002
77,321.13,6295,5670,0.9,5009
78,322.82,6295,5656,0.9,5026
79,322.39,6295,5693,0.9,5013
80,321.79,6295,5671,0.9,5010
