episode,avg_travel_time,total,complete,ratio,stops
1,649.18,2803,2299,0.82,2190
2,584.45,2881,2404,0.83,2254
3,545.08,2894,2472,0.85,2247
4,520.86,2909,2539,0.87,2250
5,445.83,2983,2637,0.88,2321
6,417.25,2983,2655,0.89,2298
7,420.04,2983,2688,0.9,2291
8,382.39,2983,2703,0.91,2262
9,387.46,2983,2698,0.9,2237
10,373.73,2983,2712,0.91,2223
11,365.55,2983,2723,0.91,2221
12,358.47,2983,2720,0.91,2223
13,355.77,2983,2722,0.91,2237
14,351.2,2983,2723,0.91,2208
15,343.02,2983,2733,0.92,2219
16,342.73,2983,2729,0.91,2223
17,340.83,2983,2723,0.91,2223
18,339.05,2983,2728,0.91,2223
19,332.94,2983,2738,0.92,2238
20,331.77,2983,2732,0.92,2214
21,333.72,2983,2730,0.92,2245
22,332.28,2983,2733,0.92,2228
23,329.49,2983,2739,0.92,2179
24,328.58,2983,2734,0.92,2191
25,328.82,2983,2742,0.92,2170
26,328.87,2983,2737,0.92,2171
27,326.29,2983,2735,0.92,2174
28,325.71,2983,2733,0.92,2193
29,324.27,2983,2744,0.92,2195
30,325.92,2983,2740,0.92,2200
31,324.88,2983,2741,0.92,2205
32,323.74,2983,2740,0.92,2182
33,323.67,2983,2742,0.92,2196
34,322.94,2983,2737,0.92,2178
35,322.59,2983,2741,0.92,2189
36,323.06,2983,2741,0.92,2207
37,322.26,2983,2744,0.92,2188
38,323.13,2983,2745,0.92,2169
39,321.34,2983,2743,0.92,2207
40,321.28,2983,2746,0.92,2178
41,321.13,2983,2742,0.92,2189
42,321.69,2983,2740,0.92,2197
43,321.7,2983,2739,0.92,2189
44,321.14,2983,2743,0.92,2188
45,321.97,2983,2741,0.92,2200
46,320.42,2983,2745,0.92,2175
47,320.25,2983,2747,0.92,2200
48,320.96,2983,2743,0.92,2185
49,321.07,2983,2746,0.92,2207
50,320.81,2983,2743,0.92,2212
51,320.18,2983,2744,0.92,2195
52,320.11,2983,2743,0.92,2201
53,320.75,2983,2745,0.92,2197
54,320.18,2983,2742,0.92,2210
55,320.03,2983,2743,0.92,2198
56,320.9,2983,2744,0.92,2182
57,320.77,2983,2744,0.92,2205
58,320.58,2983,2744,0.92,2195
59,321.12,2983,2744,0.92,2212
60,320.06,2983,2742,0.92,2203
61,320.45,2983,2741,0.92,2195
62,319.95,2983,2746,0.92,2199
63,320.84,2983,2748,0.92,2207
64,321.44,2983,2745,0.92,2201
65,319.67,2983,2746,0.92,2189
66,320.9,2983,2744,0.92,2210
67,320.63,2983,2742,0.92,2213
68,320.85,2983,2744,0.92,2221
69,319.57,2983,2746,0.92,2173
70,319.87,2983,2744,0.92,2166
71,319.95,2983,2745,0.92,2191
72,319.75,2983,2746,0.92,2199
73,319.42,2983,2747,0.92,2190
74,319.66,2983,2740,0.92,2194
75,320.17,2983,2742,0.92,2193
76,320.01,2983,2745,0.92,2184
77,320.25,2983,2743,0.92,2189
78,319.66,2983,2747,0.92,2195
79,320.34,2983,2745,0.92,2194
80,319.72,2983,2742,0.92,2174
81,320.06,2983,2744,0.92,2191
82,320.09,2983,2747,0.92,2201
83,320.16,2983,2746,0.92,2176
84,320.43,2983,2747,0.92,2196
85,319.54,2983,2744,0.92,2198
86,320.17,2983,2749,0.92,2197
87,319.66,2983,2741,0.92,2197
88,319.33,2983,2740,0.92,2185
89,319.31,2983,2748,0.92,2190
90,320.39,2983,2743,0.92,2212
91,319.96,2983,2746,0.92,2191
92,320.45,2983,2745,0.92,2208
93,320.29,2983,2745,0.92,2198
94,320.36,2983,2745,0.92,2197
95,319.15,2983,2743,0.92,2202
96,320.05,2983,2745,0.92,2202
97,319.18,2983,2747,0.92,2193
98,319.97,2983,2745,0.92,2188
99,319.91,2983,2743,0.92,2201
100,319.86,2983,2746,0.92,2165
101,319.58,2983,2745,0.92,2168
102,320.34,2983,2749,0.92,2177
103,319.91,2983,2744,0.92,2188
104,319.83,2983,2745,0.92,2172
105,319.23,2983,2743,0.92,2206
106,319.03,2983,2744,0.92,2170
107,319.57,2983,2748,0.92,2171
108,320.27,2983,2746,0.92,2165
109,319.6,2983,2743,0.92,2187
110,319.89,2983,2748,0.92,2190
111,319.51,2983,2746,0.92,2177
112,320.31,2983,2745,0.92,2183
113,319.88,2983,2744,0.92,2162
114,319.52,2983,2747,0.92,2171
115,319.87,2983,2744,0.92,2179
116,319.85,2983,2745,0.92,2161
117,319.59,2983,2745,0.92,2161
118,319.66,2983,2744,0.92,2168
119,319.97,2983,2746,0.92,2161
120,319.83,2983,2746,0.92,2159
121,318.96,2983,2744,0.92,2192
122,319.23,2983,2743,0.92,2166
123,319.48,2983,2745,0.92,2176
124,319.86,2983,2744,0.92,2183
125,319.47,2983,2746,0.92,2168
126,319.33,2983,2741,0.92,2169
127,319.69,2983,2747,0.92,2178
128,319.16,2983,2747,0.92,2167
129,320.34,2983,2744,0.92,2181
130,319.45,2983,2742,0.92,2189
131,319.48,2983,2744,0.92,2155
132,319.29,2983,2745,0.92,2172
133,319.75,2983,2742,0.92,2174
134,319.23,2983,2747,0.92,2172
135,319.66,2983,2747,0.92,2185
136,318.48,2983,2747,0.92,2172
137,319.57,2983,2743,0.92,2187
138,319.55,2983,2746,0.92,2180
139,319.54,2983,2744,0.92,2184
140,319.17,2983,2746,0.92,2172
141,319.79,2983,2745,0.92,2193
142,319.73,2983,2742,0.92,2195
143,319.93,2983,2744,0.92,2190
144,319.84,2983,2745,0.92,2209
145,319.0,2983,2744,0.92,2176
146,318.83,2983,2746,0.92,2161
147,318.68,2983,2746,0.92,2167
148,318.51,2983,2744,0.92,2167
149,319.12,2983,2747,0.92,2161
150,319.21,2983,2744,0.92,2174
151,318.73,2983,2744,0.92,2149
152,318.96,2983,2747,0.92,2188
153,319.74,2983,2748,0.92,2162
154,319.36,2983,2744,0.92,2153
155,319.6,2983,2745,0.92,2152
156,319.11,2983,2744,0.92,2184
157,319.04,2983,2746,0.92,2155
158,319.02,2983,2743,0.92,2158
159,319.19,2983,2745,0.92,2168
160,318.58,2983,2748,0.92,2172
161,319.08,2983,2745,0.92,2180
162,318.89,2983,2746,0.92,2161
163,318.97,2983,2745,0.92,2174
164,318.94,2983,2746,0.92,2157
165,319.34,2983,2742,0.92,2175
166,319.29,2983,2745,0.92,2201
167,318.86,2983,2742,0.92,2181
168,319.65,2983,2744,0.92,2169
169,319.18,2983,2744,0.92,2186
