episode,avg_travel_time,total,complete,ratio,stops
1,1036.97,5585,3112,0.56,5340
2,998.1,5631,3495,0.62,5387
3,912.25,5761,4075,0.71,5545
4,865.68,5882,4326,0.74,5638
5,884.66,5838,3866,0.66,5579
6,842.2,5859,4343,0.74,5608
7,807.21,5883,4361,0.74,5613
8,811.85,5902,4414,0.75,5652
9,889.66,5882,4008,0.68,5612
10,787.35,5921,4483,0.76,5634
11,794.67,5952,4473,0.75,5682
12,837.75,5889,4033,0.68,5624
13,902.37,5852,3576,0.61,5586
14,869.16,5809,3716,0.64,5542
15,735.93,5990,4629,0.77,5706
16,864.47,5875,4022,0.68,5617
17,894.96,5767,3661,0.63,5514
18,766.12,5966,4587,0.77,5676
19,752.1,5976,4756,0.8,5695
20,766.26,5959,4551,0.76,5682
21,729.42,5954,4739,0.8,5675
22,735.73,5946,4727,0.79,5662
23,732.51,5966,4818,0.81,5675
24,696.87,5990,4995,0.83,5711
25,802.77,5948,4383,0.74,5679
26,773.52,5935,4570,0.77,5664
27,742.47,5946,4629,0.78,5679
28,729.98,5974,4994,0.84,5706
29,753.58,5990,4688,0.78,5716
30,802.91,5945,3934,0.66,5678
31,716.05,5990,4888,0.82,5726
32,745.79,5974,4765,0.8,5706
33,827.01,5957,4035,0.68,5686
34,689.12,5990,5010,0.84,5700
35,748.63,5949,4552,0.77,5676
36,691.22,5978,5140,0.86,5713
37,726.47,5986,4800,0.8,5723
38,791.84,5915,4090,0.69,5650
39,718.23,5919,4516,0.76,5625
40,709.34,5948,4766,0.8,5666
41,702.96,5975,4868,0.81,5698
42,732.04,5949,4357,0.73,5673
43,679.86,5921,4986,0.84,5635
44,680.14,5986,4782,0.8,5692
45,638.55,5990,5356,0.89,5708
46,674.5,5988,4991,0.83,5697
47,654.98,5990,5317,0.89,5708
48,670.9,5946,4973,0.84,5660
49,649.31,5957,5253,0.88,5667
50,697.99,5947,4976,0.84,5637
51,662.61,5963,5094,0.85,5669
52,663.87,5969,5084,0.85,5659
53,646.85,5967,5095,0.85,5673
54,651.82,5964,5222,0.88,5671
55,663.83,5985,4935,0.82,5680
56,678.3,5975,4685,0.78,5686
57,644.94,5977,4944,0.83,5684
58,635.94,5990,5180,0.86,5689
59,663.15,5987,4935,0.82,5694
60,659.55,5972,4885,0.82,5673
61,660.71,5990,5149,0.86,5702
62,647.28,5990,5228,0.87,5696
63,664.84,5971,4942,0.83,5694
64,669.46,5961,4862,0.82,5663
65,657.21,5980,4791,0.8,5693
66,655.23,5990,5274,0.88,5694
67,652.11,5976,5096,0.85,5688
68,696.04,5923,4594,0.78,5619
69,638.37,5990,5134,0.86,5679
70,628.7,5990,5189,0.87,5689
71,653.92,5984,4838,0.81,5703
72,694.91,5923,4448,0.75,5630
73,650.48,5969,4885,0.82,5669
74,689.13,5946,4579,0.77,5662
75,639.0,5961,4949,0.83,5658
76,658.76,5969,4870,0.82,5680
77,632.22,5986,5156,0.86,5691
78,702.53,5920,4553,0.77,5621
79,614.56,5990,5338,0.89,5685
80,620.42,5990,5454,0.91,5685
81,642.61,5972,4970,0.83,5674
82,621.25,5990,5340,0.89,5702
83,668.99,5939,4709,0.79,5653
84,653.98,5976,5149,0.86,5700
85,608.56,5990,5383,0.9,5702
86,630.68,5990,5236,0.87,5690
87,607.59,5990,5448,0.91,5697
88,650.37,5982,4814,0.8,5684
89,607.83,5990,5303,0.89,5693
90,630.37,5989,5082,0.85,5702
91,636.65,5989,5084,0.85,5695
92,589.68,5990,5267,0.88,5692
93,627.62,5990,5166,0.86,5693
94,639.48,5990,4815,0.8,5697
95,634.87,5990,4925,0.82,5708
96,688.63,5972,4569,0.77,5696
97,646.87,5990,4972,0.83,5694
98,721.67,5981,4134,0.69,5696
99,634.98,5990,4931,0.82,5688
100,681.07,5966,4619,0.77,5693
101,634.7,5989,4994,0.83,5699
102,590.25,5990,5415,0.9,5686
103,603.83,5985,5187,0.87,5690
104,594.07,5990,5295,0.88,5689
105,609.14,5990,5205,0.87,5693
106,612.99,5990,5109,0.85,5691
107,572.8,5990,5586,0.93,5694
108,605.24,5984,5194,0.87,5697
109,610.36,5990,5251,0.88,5695
110,605.83,5990,5302,0.89,5689
111,609.09,5990,5271,0.88,5695
112,586.64,5990,5292,0.88,5693
113,608.65,5976,5153,0.86,5678
114,559.42,5990,5646,0.94,5685
115,541.85,5990,5683,0.95,5689
116,571.2,5990,5465,0.91,5694
117,568.4,5986,5455,0.91,5673
118,573.09,5990,5566,0.93,5705
119,583.82,5990,5347,0.89,5685
120,559.99,5990,5693,0.95,5690
121,538.99,5990,5743,0.96,5680
122,560.22,5990,5636,0.94,5693
123,554.13,5990,5616,0.94,5694
124,563.6,5990,5469,0.91,5696
125,549.93,5990,5624,0.94,5692
126,566.55,5990,5522,0.92,5699
127,562.87,5990,5607,0.94,5687
128,569.36,5990,5481,0.92,5697
129,551.24,5990,5670,0.95,5713
130,554.94,5990,5590,0.93,5681
131,560.42,5990,5524,0.92,5686
