episode,avg_travel_time,total,complete,ratio,stops
1,617.26,5903,4280,0.73,5560
2,522.62,5993,4754,0.79,5637
3,452.98,5997,5045,0.84,5630
4,414.61,5997,5138,0.86,5623
5,380.62,5997,5285,0.88,5618
6,373.78,5997,5317,0.89,5603
7,369.89,5945,5227,0.88,5552
8,344.3,5997,5377,0.9,5598
9,332.97,5997,5389,0.9,5598
10,321.01,5997,5386,0.9,5615
11,318.86,5997,5416,0.9,5578
12,310.22,5997,5429,0.91,5584
13,309.33,5997,5447,0.91,5603
14,301.8,5997,5439,0.91,5591
15,301.88,5997,5452,0.91,5586
16,299.46,5997,5468,0.91,5589
17,293.45,5997,5472,0.91,5602
18,290.0,5997,5471,0.91,5594
19,289.89,5997,5484,0.91,5589
20,288.03,5997,5493,0.92,5590
21,285.06,5997,5476,0.91,5590
22,285.26,5997,5497,0.92,5599
23,282.37,5997,5490,0.92,5595
24,281.69,5997,5498,0.92,5586
25,280.81,5997,5492,0.92,5571
26,280.25,5997,5501,0.92,5576
27,278.85,5997,5507,0.92,5585
28,278.23,5997,5505,0.92,5576
29,277.52,5997,5500,0.92,5594
30,277.28,5997,5504,0.92,5585
31,275.48,5997,5512,0.92,5586
32,275.03,5997,5510,0.92,5577
33,275.71,5997,5512,0.92,5582
34,274.74,5997,5503,0.92,5580
35,275.0,5997,5506,0.92,5597
36,274.49,5997,5505,0.92,5574
37,273.7,5997,5514,0.92,5585
38,273.74,5997,5513,0.92,5576
39,272.78,5997,5523,0.92,5562
40,271.72,5997,5504,0.92,5590
41,271.65,5997,5520,0.92,5567
42,271.4,5997,5511,0.92,5570
43,270.65,5997,5526,0.92,5597
44,270.12,5997,5526,0.92,5573
45,270.31,5997,5525,0.92,5584
46,269.93,5997,5523,0.92,5589
47,268.88,5997,5513,0.92,5580
48,269.67,5997,5509,0.92,5589
49,268.52,5997,5527,0.92,5582
50,269.98,5997,5514,0.92,5588
51,270.19,5997,5512,0.92,5596
52,268.88,5997,5517,0.92,5585
53,269.41,5997,5524,0.92,5600
54,267.98,5997,5519,0.92,5585
55,268.87,5997,5521,0.92,5580
56,268.56,5997,5529,0.92,5579
57,266.64,5997,5522,0.92,5583
58,267.49,5997,5531,0.92,5579
59,268.88,5997,5512,0.92,5586
60,266.85,5997,5526,0.92,5585
61,268.45,5997,5513,0.92,5586
62,268.04,5997,5519,0.92,5579
63,267.87,5997,5520,0.92,5587
64,267.98,5997,5520,0.92,5589
65,268.27,5997,5519,0.92,5574
66,268.14,5997,5516,0.92,5596
67,267.35,5997,5516,0.92,5593
68,266.44,5997,5526,0.92,5576
69,267.04,5997,5522,0.92,5593
70,265.97,5997,5528,0.92,5603
71,265.07,5997,5532,0.92,5587
72,267.05,5997,5523,0.92,5584
73,266.7,5997,5523,0.92,5581
74,267.46,5997,5531,0.92,5593
75,265.57,5997,5535,0.92,5594
76,266.71,5997,5515,0.92,5580
77,267.15,5997,5531,0.92,5584
78,265.24,5997,5525,0.92,5589
79,266.48,5997,5519,0.92,5583
