episode,avg_travel_time,total,complete,ratio,stops
1,611.28,2997,2705,0.9,2857
2,527.1,2997,2873,0.96,2845
3,449.82,2997,2971,0.99,2840
4,501.75,2996,2747,0.92,2840
5,442.22,2997,2939,0.98,2838
6,465.28,2997,2805,0.94,2841
7,494.15,2969,2682,0.9,2804
8,460.24,2986,2714,0.91,2823
9,376.82,2997,2977,0.99,2821
10,468.27,2997,2660,0.89,2838
11,400.63,2997,2837,0.95,2830
12,357.34,2997,2978,0.99,2838
13,403.8,2997,2829,0.94,2824
14,378.33,2997,2837,0.95,2825
15,355.13,2997,2976,0.99,2836
16,357.67,2997,2886,0.96,2832
17,336.74,2997,2979,0.99,2819
18,324.64,2997,2980,0.99,2829
19,321.26,2997,2979,0.99,2819
20,322.3,2997,2980,0.99,2831
21,316.36,2997,2979,0.99,2840
22,393.32,2989,2742,0.92,2806
23,317.71,2997,2927,0.98,2830
24,305.54,2997,2979,0.99,2821
25,305.42,2997,2981,0.99,2814
26,301.99,2997,2981,0.99,2809
27,304.51,2997,2980,0.99,2833
28,299.41,2997,2981,0.99,2820
29,298.07,2997,2981,0.99,2821
30,296.5,2997,2980,0.99,2807
31,297.21,2997,2981,0.99,2809
32,295.79,2997,2982,0.99,2824
33,291.94,2997,2981,0.99,2813
34,291.05,2997,2980,0.99,2803
35,289.98,2997,2981,0.99,2818
36,291.61,2997,2981,0.99,2818
37,289.8,2997,2984,1.0,2821
38,288.21,2997,2983,1.0,2822
39,286.9,2997,2981,0.99,2806
40,288.32,2997,2982,0.99,2816
41,284.88,2997,2983,1.0,2800
42,286.29,2997,2983,1.0,2826
43,286.22,2997,2981,0.99,2812
44,286.13,2997,2983,1.0,2813
45,283.67,2997,2982,0.99,2815
46,287.63,2997,2982,0.99,2820
47,284.45,2997,2983,1.0,2821
48,284.66,2997,2983,1.0,2820
49,281.97,2997,2984,1.0,2821
50,280.5,2997,2984,1.0,2802
51,281.72,2997,2984,1.0,2816
52,283.58,2997,2983,1.0,2821
53,281.68,2997,2982,0.99,2817
54,283.31,2997,2982,0.99,2812
55,373.03,2997,2686,0.9,2801
56,370.44,2997,2687,0.9,2826
57,281.89,2997,2981,0.99,2813
58,282.9,2997,2983,1.0,2804
59,367.01,2997,2699,0.9,2805
60,283.02,2997,2984,1.0,2811
61,276.5,2997,2982,0.99,2810
62,363.89,2997,2702,0.9,2802
63,279.38,2997,2985,1.0,2812
64,279.55,2997,2984,1.0,2798
65,280.49,2997,2984,1.0,2815
66,279.11,2997,2983,1.0,2816
67,277.72,2997,2982,0.99,2810
68,277.82,2997,2983,1.0,2814
69,276.16,2997,2983,1.0,2817
70,277.87,2997,2984,1.0,2814
71,277.94,2997,2984,1.0,2816
72,276.7,2997,2984,1.0,2817
73,277.2,2997,2985,1.0,2803
74,279.53,2997,2985,1.0,2815
75,278.99,2997,2985,1.0,2804
76,277.01,2997,2985,1.0,2808
77,276.88,2997,2984,1.0,2813
78,278.97,2997,2983,1.0,2798
79,276.6,2997,2983,1.0,2808
80,277.12,2997,2983,1.0,2808
81,277.62,2997,2983,1.0,2810
82,276.25,2997,2983,1.0,2810
83,276.73,2997,2983,1.0,2800
84,277.57,2997,2984,1.0,2807
85,276.93,2997,2983,1.0,2813
86,275.31,2997,2983,1.0,2801
87,275.91,2997,2984,1.0,2811
88,275.28,2997,2985,1.0,2782
89,275.5,2997,2985,1.0,2812
90,276.65,2997,2985,1.0,2822
91,277.19,2997,2984,1.0,2812
92,277.14,2997,2983,1.0,2824
93,276.36,2997,2981,0.99,2820
94,277.97,2997,2985,1.0,2813
95,275.86,2997,2984,1.0,2800
96,275.29,2997,2983,1.0,2805
97,276.48,2997,2984,1.0,2811
98,341.5,2997,2775,0.93,2807
99,276.27,2997,2982,0.99,2816
100,275.05,2997,2985,1.0,2809
101,274.11,2997,2984,1.0,2796
102,275.39,2997,2985,1.0,2813
103,274.14,2997,2984,1.0,2817
104,275.08,2997,2986,1.0,2812
105,275.23,2997,2984,1.0,2812
106,274.38,2997,2984,1.0,2803
107,272.67,2997,2986,1.0,2791
108,273.85,2997,2985,1.0,2808
109,274.26,2997,2985,1.0,2801
110,275.23,2997,2985,1.0,2804
111,274.22,2997,2984,1.0,2803
112,276.39,2997,2986,1.0,2812
113,273.08,2997,2985,1.0,2812
114,273.82,2997,2985,1.0,2811
115,276.56,2997,2984,1.0,2811
116,274.87,2997,2986,1.0,2784
117,275.77,2997,2983,1.0,2811
