episode,avg_travel_time,total,complete,ratio,stops
1,362.92,2999,2681,0.89,2796
2,329.99,2999,2711,0.9,2805
3,314.62,2999,2730,0.91,2788
4,299.51,2999,2742,0.91,2793
5,289.21,2999,2746,0.92,2773
6,279.09,2999,2754,0.92,2775
7,273.11,2999,2762,0.92,2767
8,266.95,2999,2758,0.92,2768
9,260.79,2999,2770,0.92,2751
10,255.23,2999,2770,0.92,2754
11,252.18,2999,2784,0.93,2750
12,249.1,2999,2779,0.93,2763
13,245.41,2999,2784,0.93,2740
14,243.92,2999,2780,0.93,2757
15,242.57,2999,2780,0.93,2752
16,241.9,2999,2787,0.93,2754
17,239.98,2999,2784,0.93,2766
18,239.06,2999,2786,0.93,2753
19,238.64,2999,2786,0.93,2750
20,236.96,2999,2787,0.93,2744
21,236.13,2999,2787,0.93,2736
22,235.73,2999,2787,0.93,2745
23,235.16,2999,2788,0.93,2747
24,233.7,2999,2791,0.93,2750
25,234.44,2999,2787,0.93,2735
26,234.57,2999,2786,0.93,2748
27,233.13,2999,2787,0.93,2739
28,233.8,2999,2790,0.93,2741
29,233.13,2999,2788,0.93,2736
30,233.34,2999,2790,0.93,2749
31,231.87,2999,2788,0.93,2738
32,231.95,2999,2789,0.93,2737
33,231.78,2999,2790,0.93,2744
34,232.52,2999,2791,0.93,2744
35,232.1,2999,2788,0.93,2750
36,231.77,2999,2788,0.93,2743
37,231.79,2999,2787,0.93,2750
38,231.77,2999,2795,0.93,2746
39,231.04,2999,2790,0.93,2739
40,231.79,2999,2791,0.93,2753
41,231.11,2999,2792,0.93,2738
42,231.14,2999,2793,0.93,2722
43,231.56,2999,2793,0.93,2746
44,230.33,2999,2790,0.93,2744
45,230.55,2999,2791,0.93,2735
46,230.64,2999,2787,0.93,2739
47,231.09,2999,2791,0.93,2727
48,230.93,2999,2793,0.93,2745
49,230.36,2999,2789,0.93,2738
50,230.62,2999,2796,0.93,2746
51,231.34,2999,2796,0.93,2737
52,230.22,2999,2789,0.93,2748
53,230.24,2999,2791,0.93,2738
54,229.95,2999,2789,0.93,2737
55,230.26,2999,2790,0.93,2733
56,230.02,2999,2786,0.93,2729
57,230.84,2999,2788,0.93,2747
58,230.37,2999,2789,0.93,2730
59,230.43,2999,2794,0.93,2741
60,230.14,2999,2790,0.93,2746
61,229.98,2999,2788,0.93,2727
62,230.16,2999,2792,0.93,2744
63,229.89,2999,2796,0.93,2723
64,229.89,2999,2792,0.93,2743
65,229.76,2999,2789,0.93,2750
66,230.09,2999,2792,0.93,2750
67,230.35,2999,2793,0.93,2758
68,230.35,2999,2793,0.93,2742
69,229.19,2999,2789,0.93,2736
70,229.7,2999,2791,0.93,2744
71,229.19,2999,2795,0.93,2730
72,230.07,2999,2796,0.93,2731
73,229.6,2999,2800,0.93,2720
74,229.39,2999,2791,0.93,2735
75,229.63,2999,2792,0.93,2734
76,228.81,2999,2795,0.93,2735
77,229.34,2999,2791,0.93,2733
78,229.63,2999,2790,0.93,2741
79,229.77,2999,2791,0.93,2720
80,229.44,2999,2792,0.93,2737
81,229.22,2999,2794,0.93,2726
82,229.81,2999,2796,0.93,2737
83,229.12,2999,2791,0.93,2734
84,229.5,2999,2789,0.93,2734
85,229.55,2999,2790,0.93,2737
86,228.93,2999,2796,0.93,2719
87,228.98,2999,2791,0.93,2740
88,228.98,2999,2794,0.93,2756
89,228.66,2999,2792,0.93,2732
90,228.83,2999,2796,0.93,2731
91,229.3,2999,2797,0.93,2726
92,229.43,2999,2792,0.93,2739
93,229.18,2999,2793,0.93,2740
94,229.13,2999,2792,0.93,2726
95,229.14,2999,2790,0.93,2727
96,229.28,2999,2797,0.93,2738
97,228.8,2999,2792,0.93,2741
98,229.15,2999,2796,0.93,2750
99,228.57,2999,2796,0.93,2744
100,229.05,2999,2792,0.93,2721
101,229.21,2999,2792,0.93,2731
102,228.6,2999,2792,0.93,2731
103,229.13,2999,2797,0.93,2736
104,228.75,2999,2790,0.93,2728
105,228.92,2999,2791,0.93,2722
106,228.58,2999,2792,0.93,2733
107,228.71,2999,2792,0.93,2747
108,229.09,2999,2792,0.93,2731
109,228.88,2999,2789,0.93,2739
110,228.68,2999,2791,0.93,2734
111,228.95,2999,2796,0.93,2740
112,228.93,2999,2792,0.93,2727
113,228.76,2999,2795,0.93,2725
114,229.25,2999,2796,0.93,2743
115,228.6,2999,2790,0.93,2721
116,228.55,2999,2791,0.93,2729
117,229.31,2999,2792,0.93,2722
118,228.46,2999,2795,0.93,2738
119,228.51,2999,2799,0.93,2738
120,228.73,2999,2789,0.93,2731
121,228.44,2999,2793,0.93,2735
122,228.49,2999,2793,0.93,2729
123,229.36,2999,2788,0.93,2741
124,228.66,2999,2790,0.93,2754
125,229.04,2999,2789,0.93,2728
126,228.53,2999,2788,0.93,2732
127,229.08,2999,2790,0.93,2738
128,228.71,2999,2793,0.93,2732
129,229.3,2999,2787,0.93,2740
130,229.02,2999,2792,0.93,2742
131,229.12,2999,2790,0.93,2744
132,229.42,2999,2796,0.93,2738
133,228.68,2999,2793,0.93,2742
134,228.38,2999,2798,0.93,2721
135,228.93,2999,2791,0.93,2739
136,228.98,2999,2790,0.93,2730
137,228.97,2999,2790,0.93,2736
138,229.07,2999,2797,0.93,2726
