episode,avg_travel_time,total,complete,ratio,stops
1,753.97,5601,3815,0.68,4398
2,765.31,5715,3885,0.68,4517
3,693.84,5809,3996,0.69,4598
4,654.32,5834,4181,0.72,4653
5,694.32,5699,3747,0.66,4534
6,639.94,5779,4120,0.71,4592
7,730.67,5575,3707,0.66,4397
8,631.93,5808,4259,0.73,4619
9,676.66,5729,3955,0.69,4511
10,698.49,5684,3932,0.69,4493
11,675.45,5705,4175,0.73,4522
12,661.71,5670,4252,0.75,4476
13,699.88,5680,4143,0.73,4506
14,661.92,5694,4217,0.74,4497
15,751.94,5630,3725,0.66,4461
16,704.72,5706,3994,0.7,4528
17,644.71,5710,4312,0.76,4503
18,649.87,5738,4361,0.76,4529
19,657.98,5679,4308,0.76,4452
20,643.97,5708,4370,0.77,4541
21,640.1,5736,4360,0.76,4544
22,627.47,5803,4347,0.75,4605
23,611.64,5826,4474,0.77,4645
24,620.3,5819,4382,0.75,4606
25,648.63,5802,4151,0.72,4595
26,615.62,5843,4324,0.74,4640
27,593.8,5860,4503,0.77,4646
28,620.7,5862,4276,0.73,4638
29,599.97,5863,4465,0.76,4626
30,646.27,5848,4206,0.72,4632
31,634.29,5827,4304,0.74,4584
32,589.63,5808,4513,0.78,4596
33,680.48,5777,3818,0.66,4603
34,590.18,5867,4554,0.78,4651
35,629.64,5842,4227,0.72,4625
36,581.92,5859,4554,0.78,4629
37,578.65,5880,4572,0.78,4681
38,596.79,5819,4600,0.79,4590
39,585.56,5861,4616,0.79,4663
40,643.16,5779,4170,0.72,4567
41,578.65,5829,4601,0.79,4635
42,622.92,5819,4213,0.72,4591
43,609.64,5836,4324,0.74,4604
44,560.58,5876,4628,0.79,4681
45,568.99,5897,4579,0.78,4673
46,563.03,5922,4647,0.78,4725
47,660.06,5820,4056,0.7,4597
48,634.25,5828,4242,0.73,4609
49,658.0,5836,4102,0.7,4626
50,609.74,5842,4344,0.74,4623
51,548.89,5962,4754,0.8,4756
52,545.68,5946,4759,0.8,4741
53,545.59,5947,4732,0.8,4733
54,541.74,5960,4745,0.8,4765
55,626.28,5840,4324,0.74,4585
56,720.7,5696,3601,0.63,4474
57,739.94,5677,3743,0.66,4484
58,723.87,5698,3709,0.65,4457
59,730.46,5676,3784,0.67,4435
60,736.38,5693,3882,0.68,4472
61,738.56,5717,3837,0.67,4490
62,755.52,5692,3822,0.67,4482
63,730.96,5725,3880,0.68,4483
64,786.88,5736,3589,0.63,4485
65,711.94,5891,3942,0.67,4686
66,725.4,5756,3902,0.68,4540
67,677.8,5930,4222,0.71,4731
68,743.35,5767,3740,0.65,4560
69,739.92,5705,3901,0.68,4487
70,728.97,5835,3676,0.63,4629
71,711.72,5837,3854,0.66,4650
72,673.53,5936,4137,0.7,4710
73,732.89,5828,3731,0.64,4624
74,743.73,5842,3651,0.62,4641
75,585.98,5967,4599,0.77,4741
76,754.44,5844,3638,0.62,4671
77,679.77,5851,4053,0.69,4680
78,747.82,5831,3702,0.63,4647
79,671.26,5923,4067,0.69,4706
80,679.94,5925,4165,0.7,4718
81,668.16,5909,4155,0.7,4691
82,660.79,5901,4240,0.72,4709
83,672.07,5929,4071,0.69,4728
84,753.5,5757,3605,0.63,4593
85,648.23,5902,4132,0.7,4698
86,727.55,5773,4038,0.7,4553
87,710.88,5794,4089,0.71,4567
88,677.48,5931,4083,0.69,4751
89,743.05,5808,3878,0.67,4608
90,656.14,5931,4280,0.72,4733
91,668.26,5914,4268,0.72,4705
92,689.01,5848,4188,0.72,4646
93,688.28,5898,4107,0.7,4647
94,657.21,5930,4317,0.73,4716
95,746.4,5813,3809,0.66,4608
96,722.74,5840,3784,0.65,4633
97,681.23,5940,4031,0.68,4699
98,649.84,5931,4310,0.73,4711
99,652.38,5938,4309,0.73,4726
100,741.63,5830,3654,0.63,4647
