episode,avg_travel_time,total,complete,ratio,stops
1,604.65,5878,4555,0.77,4677
2,612.71,5956,4494,0.75,4753
3,528.73,6141,4963,0.81,4921
4,528.25,6162,4919,0.8,4909
5,483.54,6145,5080,0.83,4900
6,452.03,6247,5138,0.82,4996
7,422.56,6252,5322,0.85,4982
8,410.24,6273,5393,0.86,5015
9,395.1,6295,5498,0.87,5009
10,383.64,6295,5476,0.87,5022
11,378.15,6295,5469,0.87,5000
12,367.48,6295,5563,0.88,4999
13,358.15,6295,5574,0.89,5008
14,356.21,6295,5585,0.89,5002
15,350.69,6295,5596,0.89,5002
16,347.52,6295,5587,0.89,4993
17,345.02,6295,5600,0.89,5003
18,343.94,6295,5606,0.89,5011
19,337.16,6295,5611,0.89,4979
20,335.99,6295,5633,0.89,4987
21,335.63,6295,5638,0.9,4995
22,328.78,6295,5637,0.9,4986
23,326.08,6295,5654,0.9,5005
24,328.06,6295,5661,0.9,4991
25,324.97,6295,5663,0.9,5021
26,325.25,6295,5659,0.9,4976
27,322.76,6295,5678,0.9,5003
28,323.01,6295,5681,0.9,4988
29,319.59,6295,5688,0.9,5012
30,315.89,6295,5701,0.91,4995
31,317.18,6295,5696,0.9,5003
32,314.88,6295,5715,0.91,5003
33,318.09,6295,5694,0.9,4999
34,312.99,6295,5705,0.91,5011
35,315.17,6295,5693,0.9,4965
36,313.27,6295,5708,0.91,5001
37,312.29,6295,5720,0.91,5007
38,313.55,6295,5703,0.91,5000
39,313.06,6295,5688,0.9,4998
40,314.35,6295,5707,0.91,4997
41,312.69,6295,5716,0.91,4990
42,310.02,6295,5698,0.91,4993
43,309.61,6295,5714,0.91,5007
44,310.8,6295,5719,0.91,4992
45,310.27,6295,5722,0.91,5002
46,310.38,6295,5716,0.91,4985
47,308.98,6295,5720,0.91,5014
48,310.21,6295,5702,0.91,4998
49,308.98,6295,5719,0.91,5002
50,310.77,6295,5713,0.91,5025
51,308.4,6295,5722,0.91,5020
52,308.23,6295,5714,0.91,4990
53,308.26,6295,5725,0.91,4988
54,309.37,6295,5707,0.91,4992
55,307.51,6295,5721,0.91,5017
56,308.03,6295,5718,0.91,4977
57,307.15,6295,5721,0.91,4983
58,307.23,6295,5721,0.91,4990
59,307.55,6295,5719,0.91,5020
60,307.73,6295,5724,0.91,4994
61,305.77,6295,5743,0.91,5017
62,307.56,6295,5731,0.91,4981
63,307.7,6295,5720,0.91,5013
64,306.69,6295,5732,0.91,5002
65,306.39,6295,5731,0.91,4985
66,307.56,6295,5728,0.91,5009
67,307.08,6295,5732,0.91,5016
68,306.58,6295,5730,0.91,4997
69,307.25,6295,5732,0.91,4999
70,306.93,6295,5724,0.91,5022
71,307.53,6295,5728,0.91,5016
72,307.72,6295,5722,0.91,4990
73,306.08,6295,5726,0.91,5005
74,306.37,6295,5735,0.91,4995
75,304.61,6295,5731,0.91,4997
76,305.09,6295,5720,0.91,4996
77,306.97,6295,5733,0.91,5012
78,305.64,6295,5724,0.91,4996
79,306.46,6295,5728,0.91,4983
80,304.85,6295,5722,0.91,5002
81,304.6,6295,5737,0.91,5006
82,303.78,6295,5736,0.91,4994
83,305.07,6295,5735,0.91,5013
84,304.73,6295,5738,0.91,5014
85,304.92,6295,5724,0.91,5024
86,305.58,6295,5734,0.91,5002
87,305.2,6295,5728,0.91,4986
88,305.82,6295,5729,0.91,5026
89,305.47,6295,5731,0.91,5013
90,304.56,6295,5717,0.91,5022
91,305.94,6295,5732,0.91,4997
92,304.33,6295,5719,0.91,5017
93,304.74,6295,5731,0.91,5009
94,305.42,6295,5735,0.91,5008
95,303.6,6295,5740,0.91,5011
96,303.04,6295,5726,0.91,5007
97,305.74,6295,5728,0.91,5013
98,304.24,6295,5731,0.91,5010
99,305.32,6295,5733,0.91,5012
100,305.1,6295,5727,0.91,5006
