episode,avg_travel_time,total,complete,ratio,stops
1,730.18,2667,2067,0.78,2051
2,715.46,2730,2113,0.77,2124
3,681.9,2734,2126,0.78,2122
4,658.35,2802,2185,0.78,2199
5,592.36,2983,2421,0.81,2373
6,653.38,2972,2294,0.77,2377
7,593.78,2983,2394,0.8,2379
8,557.7,2983,2431,0.81,2359
9,471.44,2983,2607,0.87,2336
10,437.15,2983,2631,0.88,2325
11,426.05,2983,2644,0.89,2324
12,441.63,2983,2652,0.89,2332
13,412.17,2983,2692,0.9,2294
14,410.2,2983,2667,0.89,2276
15,395.51,2983,2694,0.9,2302
16,391.95,2983,2698,0.9,2292
17,412.02,2983,2672,0.9,2287
18,380.94,2983,2697,0.9,2272
19,381.06,2983,2704,0.91,2265
20,377.32,2983,2695,0.9,2266
21,371.59,2983,2701,0.91,2264
22,399.64,2983,2669,0.89,2258
23,367.79,2983,2707,0.91,2270
24,370.48,2983,2704,0.91,2240
25,366.18,2983,2705,0.91,2261
26,361.12,2983,2705,0.91,2225
27,359.74,2983,2704,0.91,2241
28,356.73,2983,2712,0.91,2234
29,362.22,2983,2713,0.91,2241
30,352.31,2983,2715,0.91,2251
31,354.02,2983,2713,0.91,2240
32,351.12,2983,2717,0.91,2241
33,348.75,2983,2717,0.91,2235
34,350.4,2983,2715,0.91,2247
35,347.67,2983,2724,0.91,2241
36,346.66,2983,2720,0.91,2242
37,346.56,2983,2722,0.91,2233
38,346.5,2983,2711,0.91,2246
39,341.94,2983,2729,0.91,2255
40,343.37,2983,2725,0.91,2257
41,342.44,2983,2725,0.91,2231
42,344.03,2983,2724,0.91,2249
43,340.91,2983,2723,0.91,2233
44,340.47,2983,2727,0.91,2247
45,341.04,2983,2729,0.91,2245
46,337.65,2983,2730,0.92,2259
47,338.85,2983,2730,0.92,2268
48,338.37,2983,2736,0.92,2233
49,336.95,2983,2722,0.91,2238
50,336.31,2983,2729,0.91,2232
51,335.51,2983,2729,0.91,2247
52,335.56,2983,2728,0.91,2243
53,334.21,2983,2728,0.91,2241
54,333.45,2983,2730,0.92,2250
55,333.75,2983,2728,0.91,2244
56,334.19,2983,2730,0.92,2242
57,334.31,2983,2733,0.92,2228
58,332.97,2983,2726,0.91,2239
59,334.27,2983,2729,0.91,2251
60,332.57,2983,2732,0.92,2256
61,332.04,2983,2731,0.92,2238
62,332.38,2983,2729,0.91,2229
63,332.11,2983,2730,0.92,2220
64,332.75,2983,2734,0.92,2220
65,329.97,2983,2727,0.91,2219
66,330.8,2983,2731,0.92,2242
67,330.69,2983,2738,0.92,2229
68,329.6,2983,2733,0.92,2240
69,329.11,2983,2738,0.92,2243
70,329.54,2983,2737,0.92,2222
71,329.61,2983,2738,0.92,2235
72,328.85,2983,2733,0.92,2237
73,328.96,2983,2738,0.92,2220
74,328.06,2983,2739,0.92,2234
75,327.81,2983,2738,0.92,2237
76,329.14,2983,2738,0.92,2233
77,328.93,2983,2740,0.92,2250
78,328.59,2983,2739,0.92,2224
79,327.4,2983,2740,0.92,2224
80,327.48,2983,2734,0.92,2234
81,328.8,2983,2740,0.92,2235
82,327.52,2983,2739,0.92,2211
83,326.7,2983,2733,0.92,2234
84,326.8,2983,2735,0.92,2210
85,326.81,2983,2737,0.92,2201
86,326.9,2983,2741,0.92,2230
87,326.52,2983,2740,0.92,2206
88,328.16,2983,2740,0.92,2202
89,326.79,2983,2738,0.92,2219
90,327.46,2983,2742,0.92,2218
91,327.14,2983,2740,0.92,2203
92,326.48,2983,2738,0.92,2221
93,327.74,2983,2735,0.92,2235
94,327.67,2983,2733,0.92,2216
95,327.42,2983,2739,0.92,2230
96,326.17,2983,2735,0.92,2220
97,326.56,2983,2739,0.92,2214
98,325.97,2983,2740,0.92,2228
99,326.06,2983,2735,0.92,2236
100,325.4,2983,2736,0.92,2213
