episode,avg_travel_time,total,complete,ratio,stops
1,613.1,2853,2397,0.84,2230
2,515.71,2930,2528,0.86,2302
3,451.86,2983,2623,0.88,2332
4,421.39,2983,2678,0.9,2315
5,377.83,2983,2705,0.91,2300
6,361.87,2983,2717,0.91,2293
7,355.1,2983,2714,0.91,2276
8,353.31,2983,2727,0.91,2269
9,340.18,2983,2722,0.91,2235
10,337.95,2983,2730,0.92,2238
11,342.94,2983,2725,0.91,2218
12,336.67,2983,2734,0.92,2231
13,332.76,2983,2736,0.92,2235
14,329.75,2983,2733,0.92,2223
15,331.13,2983,2736,0.92,2226
16,328.7,2983,2733,0.92,2198
17,326.33,2983,2736,0.92,2206
18,325.8,2983,2738,0.92,2205
19,325.68,2983,2734,0.92,2217
20,326.23,2983,2741,0.92,2223
21,324.53,2983,2738,0.92,2196
22,323.7,2983,2740,0.92,2177
23,323.31,2983,2738,0.92,2183
24,323.0,2983,2745,0.92,2188
25,322.28,2983,2742,0.92,2192
26,321.49,2983,2739,0.92,2209
27,321.99,2983,2740,0.92,2195
28,322.45,2983,2740,0.92,2183
29,321.69,2983,2740,0.92,2198
30,321.34,2983,2746,0.92,2192
31,320.13,2983,2740,0.92,2171
32,319.83,2983,2742,0.92,2201
33,319.7,2983,2745,0.92,2171
34,319.53,2983,2741,0.92,2158
35,318.69,2983,2742,0.92,2148
36,319.42,2983,2745,0.92,2188
37,318.66,2983,2740,0.92,2158
38,319.08,2983,2749,0.92,2158
39,319.48,2983,2745,0.92,2170
40,319.23,2983,2744,0.92,2155
41,318.48,2983,2742,0.92,2179
42,318.6,2983,2743,0.92,2194
43,318.29,2983,2743,0.92,2192
44,319.4,2983,2739,0.92,2199
45,319.37,2983,2743,0.92,2183
46,319.4,2983,2746,0.92,2169
47,318.06,2983,2748,0.92,2169
48,319.61,2983,2747,0.92,2188
49,318.99,2983,2746,0.92,2179
50,318.19,2983,2743,0.92,2166
51,318.54,2983,2747,0.92,2174
52,318.39,2983,2744,0.92,2163
53,317.8,2983,2742,0.92,2188
54,317.62,2983,2746,0.92,2163
55,318.17,2983,2747,0.92,2177
56,318.4,2983,2742,0.92,2183
57,317.91,2983,2745,0.92,2185
58,318.1,2983,2746,0.92,2188
59,318.28,2983,2742,0.92,2197
60,318.3,2983,2741,0.92,2167
61,318.39,2983,2742,0.92,2192
62,318.16,2983,2745,0.92,2184
63,317.66,2983,2745,0.92,2177
64,318.49,2983,2746,0.92,2173
65,318.48,2983,2746,0.92,2187
66,318.34,2983,2741,0.92,2197
67,318.14,2983,2747,0.92,2176
68,318.14,2983,2745,0.92,2171
69,317.92,2983,2744,0.92,2176
70,318.13,2983,2746,0.92,2167
71,318.39,2983,2744,0.92,2162
72,318.51,2983,2746,0.92,2188
73,318.35,2983,2746,0.92,2176
74,317.68,2983,2744,0.92,2174
75,318.0,2983,2744,0.92,2184
76,317.27,2983,2747,0.92,2177
77,318.04,2983,2746,0.92,2167
78,319.53,2983,2746,0.92,2179
79,317.68,2983,2743,0.92,2181
80,318.78,2983,2744,0.92,2179
81,318.51,2983,2746,0.92,2163
82,318.25,2983,2748,0.92,2187
83,317.64,2983,2744,0.92,2163
84,317.55,2983,2746,0.92,2178
85,317.51,2983,2746,0.92,2167
86,318.6,2983,2744,0.92,2187
87,318.87,2983,2742,0.92,2172
88,318.47,2983,2744,0.92,2170
89,318.86,2983,2744,0.92,2176
90,317.64,2983,2745,0.92,2182
91,317.59,2983,2747,0.92,2164
92,317.87,2983,2742,0.92,2184
93,317.99,2983,2745,0.92,2188
94,318.2,2983,2746,0.92,2166
95,317.82,2983,2741,0.92,2166
96,317.74,2983,2741,0.92,2181
97,317.75,2983,2742,0.92,2155
98,318.12,2983,2742,0.92,2197
99,317.97,2983,2744,0.92,2179
100,317.51,2983,2746,0.92,2173
