episode,avg_travel_time,total,complete,ratio,stops
1,1007.56,2921,1489,0.51,2659
2,1005.49,2921,1490,0.51,2664
3,1007.75,2921,1478,0.51,2653
4,1001.83,2921,1497,0.51,2667
5,1005.72,2921,1471,0.5,2660
6,1003.31,2921,1490,0.51,2659
7,1000.22,2921,1492,0.51,2650
8,999.55,2921,1500,0.51,2658
9,1000.04,2921,1494,0.51,2655
10,996.13,2921,1487,0.51,2646
11,997.1,2921,1494,0.51,2638
12,997.32,2921,1495,0.51,2641
13,997.77,2921,1480,0.51,2660
14,993.42,2921,1496,0.51,2656
15,994.66,2921,1494,0.51,2645
16,995.96,2921,1497,0.51,2646
17,994.55,2921,1486,0.51,2635
18,996.36,2921,1480,0.51,2640
19,995.7,2921,1489,0.51,2645
20,995.44,2921,1492,0.51,2640
21,994.67,2921,1495,0.51,2640
22,998.16,2921,1478,0.51,2656
23,997.63,2921,1484,0.51,2645
24,997.87,2921,1475,0.5,2638
25,998.78,2921,1486,0.51,2636
26,995.78,2921,1485,0.51,2649
27,993.23,2921,1497,0.51,2655
28,994.28,2921,1488,0.51,2651
29,994.74,2921,1493,0.51,2656
30,991.9,2921,1499,0.51,2647
31,994.61,2921,1498,0.51,2648
32,994.39,2921,1503,0.51,2646
33,995.13,2921,1499,0.51,2645
34,995.2,2921,1495,0.51,2642
35,993.35,2921,1497,0.51,2648
36,994.1,2921,1496,0.51,2643
37,995.76,2921,1500,0.51,2642
38,993.2,2921,1499,0.51,2652
39,992.79,2921,1489,0.51,2635
40,993.91,2921,1491,0.51,2654
41,995.79,2921,1500,0.51,2648
42,991.1,2921,1494,0.51,2639
43,994.84,2921,1490,0.51,2646
44,993.71,2921,1499,0.51,2640
45,993.3,2921,1498,0.51,2652
46,989.35,2921,1501,0.51,2638
47,991.37,2921,1509,0.52,2645
48,991.51,2921,1501,0.51,2635
49,992.24,2921,1494,0.51,2641
50,993.63,2921,1489,0.51,2638
51,992.69,2921,1491,0.51,2642
52,992.25,2921,1494,0.51,2629
53,993.22,2921,1496,0.51,2635
54,989.96,2921,1490,0.51,2630
55,989.35,2921,1491,0.51,2628
56,990.71,2921,1507,0.52,2629
57,992.59,2921,1491,0.51,2624
58,991.64,2921,1506,0.52,2638
59,993.82,2921,1501,0.51,2623
60,992.26,2921,1495,0.51,2636
61,990.67,2921,1498,0.51,2633
62,992.7,2921,1491,0.51,2632
63,990.93,2921,1506,0.52,2652
64,991.85,2921,1502,0.51,2628
65,993.11,2921,1500,0.51,2625
66,990.17,2921,1496,0.51,2630
67,989.81,2921,1498,0.51,2620
68,990.21,2921,1502,0.51,2636
69,989.46,2921,1505,0.52,2635
70,991.19,2921,1506,0.52,2643
71,991.29,2921,1496,0.51,2623
72,989.8,2921,1501,0.51,2631
73,992.56,2921,1497,0.51,2646
74,990.66,2921,1502,0.51,2633
75,989.99,2921,1503,0.51,2645
76,992.52,2921,1506,0.52,2632
77,992.32,2921,1485,0.51,2632
78,990.25,2921,1513,0.52,2625
79,995.39,2921,1488,0.51,2631
80,990.99,2921,1500,0.51,2629
81,988.26,2921,1504,0.51,2624
82,989.98,2921,1505,0.52,2639
83,990.73,2921,1497,0.51,2628
84,988.54,2921,1507,0.52,2636
85,991.47,2921,1497,0.51,2629
86,989.64,2921,1510,0.52,2627
87,988.82,2921,1507,0.52,2619
88,988.2,2921,1499,0.51,2632
89,987.14,2921,1504,0.51,2633
90,990.34,2921,1493,0.51,2623
91,989.75,2921,1503,0.51,2632
92,992.58,2921,1498,0.51,2639
93,992.98,2921,1496,0.51,2637
94,992.59,2921,1496,0.51,2638
95,989.48,2921,1501,0.51,2628
96,990.75,2921,1497,0.51,2641
97,990.25,2921,1502,0.51,2623
98,989.22,2921,1506,0.52,2629
99,989.45,2921,1504,0.51,2637
100,990.45,2921,1499,0.51,2628
