episode,avg_travel_time,total,complete,ratio,stops
1,979.75,2921,1537,0.53,2613
2,970.69,2921,1561,0.53,2592
3,974.14,2921,1530,0.52,2595
4,974.75,2921,1545,0.53,2594
5,973.16,2921,1544,0.53,2595
6,968.94,2921,1561,0.53,2592
7,969.14,2921,1543,0.53,2590
8,966.87,2921,1549,0.53,2607
9,964.61,2921,1556,0.53,2600
10,965.76,2921,1545,0.53,2597
11,960.99,2921,1553,0.53,2603
12,960.47,2921,1546,0.53,2586
13,965.77,2921,1549,0.53,2587
14,960.37,2921,1567,0.54,2587
15,955.66,2921,1565,0.54,2607
16,953.8,2921,1569,0.54,2588
17,952.04,2921,1569,0.54,2562
18,953.16,2921,1567,0.54,2579
19,951.95,2921,1570,0.54,2581
20,950.19,2921,1570,0.54,2561
21,950.68,2921,1571,0.54,2577
22,949.98,2921,1568,0.54,2571
23,949.98,2921,1570,0.54,2574
24,949.25,2921,1571,0.54,2570
25,950.59,2921,1565,0.54,2555
26,950.68,2921,1564,0.54,2568
27,949.45,2921,1567,0.54,2571
28,950.11,2921,1567,0.54,2540
29,949.35,2921,1565,0.54,2564
30,949.42,2921,1560,0.53,2569
31,952.68,2921,1549,0.53,2560
32,950.94,2921,1553,0.53,2572
33,953.5,2921,1551,0.53,2551
34,946.46,2921,1566,0.54,2538
35,947.97,2921,1562,0.53,2551
36,947.72,2921,1573,0.54,2567
37,947.25,2921,1564,0.54,2539
38,944.07,2921,1576,0.54,2533
39,945.23,2921,1572,0.54,2539
40,945.63,2921,1567,0.54,2522
41,945.27,2921,1578,0.54,2517
42,944.42,2921,1570,0.54,2517
43,944.82,2921,1572,0.54,2526
44,944.24,2921,1562,0.53,2539
45,944.29,2921,1569,0.54,2526
46,949.37,2921,1553,0.53,2543
47,945.55,2921,1539,0.53,2517
48,945.59,2921,1560,0.53,2520
49,943.55,2921,1574,0.54,2514
50,945.17,2921,1566,0.54,2524
51,942.37,2921,1581,0.54,2516
52,942.74,2921,1573,0.54,2508
53,996.2,2921,1421,0.49,2530
54,942.22,2921,1584,0.54,2521
55,941.88,2921,1578,0.54,2508
56,942.54,2921,1575,0.54,2535
57,941.0,2921,1573,0.54,2527
58,942.11,2921,1572,0.54,2534
59,941.39,2921,1574,0.54,2535
60,940.93,2921,1578,0.54,2528
61,940.26,2921,1577,0.54,2518
62,1036.9,2921,1362,0.47,2518
63,1037.3,2921,1359,0.47,2514
64,940.68,2921,1582,0.54,2515
65,940.32,2921,1581,0.54,2529
66,947.13,2921,1580,0.54,2502
67,940.0,2921,1583,0.54,2526
68,940.32,2921,1579,0.54,2523
69,939.84,2921,1580,0.54,2513
70,940.09,2921,1581,0.54,2499
71,940.09,2921,1574,0.54,2500
72,939.86,2921,1581,0.54,2502
73,939.79,2921,1582,0.54,2496
74,940.64,2921,1580,0.54,2510
75,939.67,2921,1579,0.54,2504
76,940.51,2921,1581,0.54,2499
77,939.94,2921,1578,0.54,2493
78,939.58,2921,1580,0.54,2506
79,940.24,2921,1579,0.54,2503
80,940.4,2921,1582,0.54,2506
81,940.36,2921,1572,0.54,2506
82,939.69,2921,1584,0.54,2504
83,939.96,2921,1579,0.54,2517
84,940.58,2921,1581,0.54,2507
85,940.36,2921,1578,0.54,2494
86,940.73,2921,1583,0.54,2501
87,940.76,2921,1578,0.54,2511
88,940.33,2921,1575,0.54,2518
89,939.86,2921,1580,0.54,2499
90,941.29,2921,1576,0.54,2512
91,939.79,2921,1580,0.54,2487
92,940.22,2921,1575,0.54,2497
93,940.1,2921,1576,0.54,2499
94,940.54,2921,1575,0.54,2504
95,940.28,2921,1579,0.54,2491
96,941.03,2921,1573,0.54,2508
97,939.53,2921,1581,0.54,2492
98,939.74,2921,1578,0.54,2510
99,939.49,2921,1579,0.54,2493
100,939.61,2921,1580,0.54,2499
