episode,avg_travel_time,total,complete,ratio,stops
1,1339.85,2283,618,0.27,2224
2,1229.73,2328,795,0.34,2259
3,1222.47,2308,794,0.34,2241
4,1176.15,2314,880,0.38,2245
5,1109.16,2391,940,0.39,2325
6,1030.56,2415,1006,0.42,2336
7,897.23,2456,1224,0.5,2372
8,842.84,2490,1314,0.53,2408
9,656.49,2639,1662,0.63,2541
10,546.69,2679,1873,0.7,2566
11,572.52,2711,1811,0.67,2582
12,448.96,2732,2086,0.76,2602
13,413.4,2770,2105,0.76,2633
14,409.65,2770,2178,0.79,2623
15,358.59,2803,2311,0.82,2638
16,263.33,2816,2619,0.93,2637
17,251.39,2824,2645,0.94,2620
18,224.44,2824,2660,0.94,2617
19,217.65,2824,2668,0.94,2609
20,211.92,2824,2676,0.95,2577
21,208.6,2824,2672,0.95,2592
22,206.15,2824,2671,0.95,2577
23,202.19,2824,2677,0.95,2558
24,201.8,2824,2676,0.95,2579
25,199.27,2824,2678,0.95,2550
26,198.92,2824,2677,0.95,2562
27,197.02,2824,2675,0.95,2567
28,197.82,2824,2676,0.95,2552
29,195.61,2824,2677,0.95,2540
30,195.85,2824,2678,0.95,2545
31,194.84,2824,2680,0.95,2541
32,195.07,2824,2681,0.95,2530
33,194.35,2824,2683,0.95,2550
34,194.8,2824,2682,0.95,2541
35,194.88,2824,2685,0.95,2549
36,194.54,2824,2681,0.95,2536
37,194.14,2824,2679,0.95,2505
38,194.32,2824,2681,0.95,2541
39,195.0,2824,2677,0.95,2555
40,194.33,2824,2679,0.95,2540
41,193.75,2824,2684,0.95,2555
42,194.82,2824,2681,0.95,2533
43,193.51,2824,2682,0.95,2534
44,194.17,2824,2681,0.95,2530
45,193.68,2824,2683,0.95,2543
46,192.73,2824,2683,0.95,2555
47,193.62,2824,2682,0.95,2530
48,194.35,2824,2683,0.95,2540
49,194.53,2824,2682,0.95,2543
50,193.06,2824,2678,0.95,2534
51,194.43,2824,2685,0.95,2536
52,192.39,2824,2684,0.95,2526
53,193.3,2824,2685,0.95,2555
54,193.16,2824,2682,0.95,2527
55,192.6,2824,2683,0.95,2549
56,193.69,2824,2680,0.95,2536
57,194.06,2824,2675,0.95,2526
58,193.34,2824,2680,0.95,2525
59,193.53,2824,2680,0.95,2529
60,193.19,2824,2681,0.95,2537
61,193.23,2824,2686,0.95,2527
62,192.81,2824,2678,0.95,2542
63,193.67,2824,2676,0.95,2568
64,193.17,2824,2685,0.95,2545
65,193.36,2824,2687,0.95,2553
66,192.71,2824,2683,0.95,2548
67,193.48,2824,2683,0.95,2539
68,193.3,2824,2685,0.95,2537
69,193.12,2824,2679,0.95,2539
70,194.06,2824,2684,0.95,2541
71,192.77,2824,2684,0.95,2543
72,194.08,2824,2683,0.95,2541
73,193.42,2824,2680,0.95,2528
74,192.54,2824,2684,0.95,2528
75,192.87,2824,2683,0.95,2524
76,192.95,2824,2685,0.95,2538
77,191.56,2824,2679,0.95,2513
78,192.7,2824,2679,0.95,2539
79,192.24,2824,2681,0.95,2536
80,192.01,2824,2680,0.95,2538
81,192.56,2824,2675,0.95,2529
82,192.13,2824,2684,0.95,2545
83,191.89,2824,2684,0.95,2502
84,192.38,2824,2689,0.95,2544
85,191.92,2824,2681,0.95,2534
86,192.21,2824,2681,0.95,2527
87,192.18,2824,2682,0.95,2513
88,192.45,2824,2682,0.95,2534
89,192.6,2824,2680,0.95,2523
90,192.84,2824,2679,0.95,2534
91,192.55,2824,2681,0.95,2534
92,192.78,2824,2680,0.95,2542
93,191.07,2824,2686,0.95,2532
94,192.35,2824,2685,0.95,2526
95,192.37,2824,2683,0.95,2534
96,192.1,2824,2683,0.95,2531
97,192.15,2824,2687,0.95,2545
98,192.38,2824,2685,0.95,2515
99,192.56,2824,2685,0.95,2536
100,192.27,2824,2675,0.95,2536
