episode,avg_travel_time,total,complete,ratio,stops
1,1304.9,2284,667,0.29,2222
2,1243.35,2348,769,0.33,2275
3,1231.73,2332,751,0.32,2264
4,1140.56,2362,874,0.37,2296
5,1144.91,2394,876,0.37,2325
6,1045.42,2391,1036,0.43,2315
7,932.67,2450,1174,0.48,2371
8,807.68,2532,1421,0.56,2437
9,618.65,2585,1824,0.71,2477
10,551.26,2706,1921,0.71,2589
11,394.35,2752,2421,0.88,2611
12,360.77,2753,2481,0.9,2599
13,317.63,2785,2548,0.91,2640
14,281.47,2810,2592,0.92,2654
15,263.96,2824,2610,0.92,2654
16,247.53,2824,2625,0.93,2646
17,240.75,2824,2642,0.94,2632
18,232.05,2824,2642,0.94,2632
19,223.95,2824,2652,0.94,2616
20,219.0,2824,2652,0.94,2610
21,216.15,2824,2660,0.94,2608
22,212.71,2824,2665,0.94,2604
23,210.6,2824,2667,0.94,2602
24,207.88,2824,2669,0.95,2608
25,204.87,2824,2672,0.95,2585
26,204.86,2824,2674,0.95,2590
27,203.69,2824,2670,0.95,2574
28,202.47,2824,2677,0.95,2585
29,201.97,2824,2672,0.95,2593
30,200.66,2824,2675,0.95,2559
31,200.65,2824,2674,0.95,2553
32,199.91,2824,2676,0.95,2575
33,199.67,2824,2672,0.95,2566
34,198.9,2824,2677,0.95,2568
35,198.66,2824,2677,0.95,2564
36,197.74,2824,2681,0.95,2574
37,196.46,2824,2677,0.95,2549
38,197.31,2824,2676,0.95,2567
39,197.14,2824,2669,0.95,2565
40,196.9,2824,2675,0.95,2571
41,196.56,2824,2684,0.95,2552
42,196.68,2824,2679,0.95,2564
43,196.94,2824,2681,0.95,2566
44,195.03,2824,2683,0.95,2565
45,196.7,2824,2677,0.95,2567
46,195.67,2824,2679,0.95,2556
47,196.32,2824,2683,0.95,2554
48,195.9,2824,2684,0.95,2560
49,196.41,2824,2682,0.95,2561
50,194.51,2824,2683,0.95,2571
51,195.76,2824,2684,0.95,2531
52,195.63,2824,2682,0.95,2566
53,193.97,2824,2684,0.95,2555
54,195.6,2824,2675,0.95,2557
55,194.7,2824,2676,0.95,2571
56,194.98,2824,2687,0.95,2548
57,194.91,2824,2682,0.95,2523
58,194.9,2824,2680,0.95,2551
59,195.12,2824,2683,0.95,2554
60,194.33,2824,2684,0.95,2542
61,193.82,2824,2684,0.95,2536
62,194.77,2824,2679,0.95,2547
63,193.62,2824,2685,0.95,2542
64,193.83,2824,2683,0.95,2540
65,194.82,2824,2681,0.95,2547
66,194.49,2824,2678,0.95,2524
67,194.61,2824,2688,0.95,2558
68,193.62,2824,2684,0.95,2538
69,193.99,2824,2678,0.95,2531
70,193.27,2824,2683,0.95,2526
71,193.75,2824,2678,0.95,2554
72,193.62,2824,2681,0.95,2546
73,194.02,2824,2683,0.95,2554
74,194.32,2824,2683,0.95,2532
75,193.47,2824,2682,0.95,2521
76,193.4,2824,2683,0.95,2521
77,194.37,2824,2684,0.95,2531
78,194.01,2824,2685,0.95,2558
79,193.52,2824,2679,0.95,2525
80,192.21,2824,2680,0.95,2532
81,194.12,2824,2680,0.95,2529
82,193.74,2824,2681,0.95,2537
83,193.07,2824,2681,0.95,2554
84,193.65,2824,2682,0.95,2550
85,193.98,2824,2674,0.95,2540
86,193.87,2824,2680,0.95,2552
87,194.05,2824,2687,0.95,2528
88,194.02,2824,2684,0.95,2550
89,193.35,2824,2682,0.95,2541
90,194.12,2824,2681,0.95,2556
91,192.92,2824,2674,0.95,2549
92,193.98,2824,2682,0.95,2537
93,192.32,2824,2681,0.95,2543
94,192.74,2824,2686,0.95,2533
95,192.56,2824,2684,0.95,2531
96,192.68,2824,2682,0.95,2543
97,192.69,2824,2682,0.95,2521
98,193.11,2824,2685,0.95,2532
99,193.63,2824,2685,0.95,2523
100,193.79,2824,2683,0.95,2538
