episode,avg_travel_time,total,complete,ratio,stops
1,664.63,5859,4339,0.74,4661
2,666.05,5890,4358,0.74,4676
3,569.18,5929,4760,0.8,4717
4,562.48,6009,4737,0.79,4783
5,513.43,6031,5000,0.83,4781
6,502.62,6043,4942,0.82,4781
7,475.46,6113,5105,0.84,4847
8,447.89,6189,5262,0.85,4953
9,453.99,6181,5213,0.84,4901
10,419.3,6261,5408,0.86,5021
11,397.6,6260,5449,0.87,4991
12,400.96,6295,5421,0.86,5033
13,401.12,6282,5336,0.85,5002
14,402.82,6287,5392,0.86,4991
15,418.89,6263,5241,0.84,4962
16,389.57,6289,5396,0.86,5017
17,366.37,6295,5540,0.88,5017
18,378.3,6295,5506,0.87,5007
19,359.67,6295,5599,0.89,5017
20,360.42,6295,5538,0.88,5002
21,349.87,6295,5585,0.89,4989
22,348.91,6295,5609,0.89,5001
23,345.01,6295,5605,0.89,5024
24,341.29,6295,5621,0.89,4995
25,336.17,6295,5627,0.89,5000
26,336.04,6295,5650,0.9,4988
27,333.52,6295,5657,0.9,4999
28,332.93,6295,5648,0.9,4991
29,330.06,6295,5668,0.9,5003
30,331.08,6295,5654,0.9,4987
31,327.0,6295,5663,0.9,5012
32,335.23,6231,5495,0.88,4949
33,353.62,6188,5293,0.86,4883
34,323.66,6295,5672,0.9,4987
35,324.15,6295,5656,0.9,4989
36,326.2,6295,5664,0.9,5014
37,321.99,6295,5660,0.9,5007
38,321.03,6295,5690,0.9,4994
39,320.81,6295,5706,0.91,5020
40,321.39,6295,5679,0.9,5004
41,322.85,6295,5685,0.9,5009
42,321.19,6295,5680,0.9,5015
43,317.44,6295,5706,0.91,5002
44,316.21,6295,5701,0.91,4991
45,316.72,6295,5698,0.91,5017
46,316.82,6295,5698,0.91,5006
47,317.4,6295,5705,0.91,4983
48,319.37,6295,5702,0.91,4998
49,312.57,6295,5708,0.91,4976
50,312.91,6295,5691,0.9,5005
51,315.64,6295,5701,0.91,5017
52,315.25,6295,5710,0.91,4999
53,316.21,6295,5703,0.91,5025
54,316.92,6295,5688,0.9,4998
55,322.44,6251,5604,0.9,4979
56,314.17,6295,5716,0.91,5007
57,316.18,6295,5709,0.91,5002
58,315.62,6295,5691,0.9,5003
59,315.57,6295,5691,0.9,5006
60,314.27,6295,5692,0.9,4990
61,312.42,6295,5716,0.91,5033
62,312.35,6295,5716,0.91,4978
63,313.69,6295,5698,0.91,5003
64,311.38,6295,5716,0.91,4997
65,311.23,6295,5711,0.91,5013
66,310.18,6295,5704,0.91,5005
67,311.01,6295,5718,0.91,4978
68,311.4,6295,5727,0.91,4969
69,310.64,6295,5719,0.91,5004
70,314.03,6295,5719,0.91,5003
71,308.58,6295,5721,0.91,4990
72,311.98,6295,5711,0.91,4993
73,311.99,6295,5717,0.91,4996
74,308.97,6295,5730,0.91,5005
75,309.87,6295,5720,0.91,5025
76,308.7,6295,5709,0.91,4985
77,308.48,6295,5727,0.91,4996
78,310.57,6295,5729,0.91,4966
79,309.69,6295,5726,0.91,4998
80,307.93,6295,5717,0.91,5003
81,309.94,6295,5723,0.91,4996
82,308.19,6295,5732,0.91,5018
83,309.1,6295,5716,0.91,4989
84,308.12,6295,5717,0.91,5005
85,308.9,6295,5720,0.91,4978
86,306.93,6295,5731,0.91,5018
87,306.79,6295,5733,0.91,4992
88,309.45,6295,5709,0.91,5014
89,310.49,6295,5721,0.91,4991
90,304.93,6295,5728,0.91,5003
91,307.78,6295,5741,0.91,4977
92,305.73,6295,5731,0.91,4994
93,307.73,6295,5724,0.91,4975
94,306.78,6295,5726,0.91,4994
95,307.97,6295,5730,0.91,4988
96,306.26,6295,5730,0.91,4995
97,306.38,6295,5718,0.91,4993
98,305.99,6295,5723,0.91,4989
99,306.58,6295,5728,0.91,4987
100,306.1,6295,5724,0.91,4975
