episode,avg_travel_time,total,complete,ratio,stops
1,617.68,2873,2370,0.82,2268
2,536.09,2908,2504,0.86,2277
3,487.5,2956,2583,0.87,2299
4,447.72,2983,2652,0.89,2311
5,420.92,2983,2662,0.89,2278
6,397.8,2983,2681,0.9,2255
7,385.93,2983,2719,0.91,2248
8,364.25,2983,2721,0.91,2251
9,363.63,2983,2724,0.91,2216
10,356.98,2983,2715,0.91,2239
11,344.4,2983,2732,0.92,2215
12,342.2,2983,2732,0.92,2230
13,338.83,2983,2727,0.91,2252
14,334.5,2983,2736,0.92,2236
15,332.86,2983,2736,0.92,2194
16,332.27,2983,2729,0.91,2208
17,331.11,2983,2732,0.92,2195
18,328.96,2983,2740,0.92,2218
19,326.67,2983,2742,0.92,2195
20,326.19,2983,2739,0.92,2199
21,324.85,2983,2739,0.92,2214
22,323.84,2983,2741,0.92,2218
23,323.48,2983,2742,0.92,2194
24,324.12,2983,2739,0.92,2191
25,322.65,2983,2747,0.92,2185
26,322.39,2983,2744,0.92,2195
27,320.89,2983,2741,0.92,2185
28,320.77,2983,2745,0.92,2193
29,321.52,2983,2741,0.92,2191
30,321.09,2983,2744,0.92,2186
31,322.38,2983,2740,0.92,2182
32,321.14,2983,2745,0.92,2189
33,320.12,2983,2740,0.92,2192
34,320.62,2983,2740,0.92,2173
35,319.53,2983,2742,0.92,2192
36,320.93,2983,2742,0.92,2204
37,318.49,2983,2744,0.92,2185
38,319.53,2983,2742,0.92,2183
39,318.82,2983,2743,0.92,2168
40,319.65,2983,2743,0.92,2195
41,319.75,2983,2742,0.92,2189
42,319.42,2983,2743,0.92,2178
43,319.01,2983,2742,0.92,2201
44,318.58,2983,2740,0.92,2190
45,318.81,2983,2747,0.92,2170
46,318.64,2983,2744,0.92,2201
47,319.6,2983,2745,0.92,2185
48,318.59,2983,2746,0.92,2194
49,319.16,2983,2747,0.92,2178
50,318.13,2983,2745,0.92,2182
51,318.4,2983,2747,0.92,2182
52,318.84,2983,2747,0.92,2171
53,318.63,2983,2743,0.92,2162
54,318.76,2983,2744,0.92,2199
55,317.8,2983,2745,0.92,2168
56,318.11,2983,2748,0.92,2165
57,318.15,2983,2747,0.92,2178
58,318.23,2983,2748,0.92,2174
59,318.19,2983,2747,0.92,2181
60,318.32,2983,2747,0.92,2193
61,318.17,2983,2744,0.92,2199
62,318.52,2983,2742,0.92,2160
63,317.4,2983,2742,0.92,2157
64,317.9,2983,2742,0.92,2172
65,318.54,2983,2742,0.92,2170
66,318.51,2983,2743,0.92,2188
67,319.26,2983,2747,0.92,2184
68,318.95,2983,2744,0.92,2191
69,319.47,2983,2745,0.92,2170
70,318.01,2983,2744,0.92,2171
71,318.19,2983,2744,0.92,2195
72,318.6,2983,2748,0.92,2169
73,319.92,2983,2743,0.92,2185
74,322.38,2983,2743,0.92,2204
75,319.55,2983,2741,0.92,2210
76,318.4,2983,2744,0.92,2181
77,318.81,2983,2741,0.92,2191
78,318.33,2983,2744,0.92,2190
79,317.76,2983,2745,0.92,2191
80,317.84,2983,2745,0.92,2193
81,318.17,2983,2745,0.92,2188
82,317.9,2983,2747,0.92,2183
83,318.58,2983,2744,0.92,2185
84,319.26,2983,2745,0.92,2178
85,318.89,2983,2743,0.92,2172
86,318.6,2983,2747,0.92,2186
87,316.93,2983,2746,0.92,2178
88,318.71,2983,2742,0.92,2198
89,318.61,2983,2748,0.92,2194
90,318.42,2983,2747,0.92,2179
91,318.83,2983,2745,0.92,2189
92,318.92,2983,2749,0.92,2190
93,317.71,2983,2747,0.92,2163
94,318.56,2983,2746,0.92,2205
95,317.58,2983,2747,0.92,2190
96,318.12,2983,2747,0.92,2207
97,317.29,2983,2744,0.92,2185
98,317.4,2983,2746,0.92,2174
99,317.5,2983,2745,0.92,2183
100,318.54,2983,2745,0.92,2174
101,318.31,2983,2740,0.92,2180
102,318.43,2983,2746,0.92,2190
103,317.93,2983,2743,0.92,2194
104,317.74,2983,2749,0.92,2168
105,318.61,2983,2749,0.92,2187
106,317.75,2983,2743,0.92,2169
107,318.17,2983,2747,0.92,2185
108,317.61,2983,2745,0.92,2175
109,317.95,2983,2743,0.92,2184
110,318.27,2983,2746,0.92,2186
111,318.57,2983,2748,0.92,2178
112,318.83,2983,2743,0.92,2159
113,318.07,2983,2746,0.92,2185
114,318.79,2983,2745,0.92,2182
115,317.24,2983,2744,0.92,2177
116,317.55,2983,2746,0.92,2172
117,317.72,2983,2746,0.92,2171
118,318.18,2983,2750,0.92,2184
119,317.59,2983,2748,0.92,2175
120,316.92,2983,2748,0.92,2178
121,318.0,2983,2742,0.92,2198
122,318.02,2983,2747,0.92,2193
123,318.29,2983,2746,0.92,2204
124,318.08,2983,2743,0.92,2200
125,318.15,2983,2746,0.92,2180
126,318.01,2983,2745,0.92,2184
127,317.49,2983,2747,0.92,2197
128,316.68,2983,2746,0.92,2169
129,317.17,2983,2747,0.92,2193
130,317.94,2983,2744,0.92,2195
131,318.14,2983,2746,0.92,2177
132,317.78,2983,2744,0.92,2194
133,317.65,2983,2746,0.92,2182
134,317.69,2983,2744,0.92,2191
135,317.15,2983,2747,0.92,2188
136,318.15,2983,2744,0.92,2184
137,318.21,2983,2744,0.92,2193
138,317.65,2983,2745,0.92,2190
139,318.19,2983,2745,0.92,2188
140,317.5,2983,2744,0.92,2186
141,317.97,2983,2744,0.92,2195
142,318.27,2983,2741,0.92,2194
143,317.81,2983,2744,0.92,2172
144,317.97,2983,2746,0.92,2180
145,317.97,2983,2742,0.92,2203
146,318.14,2983,2744,0.92,2190
147,317.63,2983,2745,0.92,2183
148,317.47,2983,2745,0.92,2185
149,317.53,2983,2743,0.92,2195
150,317.44,2983,2747,0.92,2162
151,317.52,2983,2746,0.92,2167
152,317.41,2983,2744,0.92,2188
153,317.33,2983,2746,0.92,2173
154,317.6,2983,2742,0.92,2176
155,317.88,2983,2745,0.92,2199
156,318.08,2983,2746,0.92,2183
157,317.03,2983,2744,0.92,2178
158,318.34,2983,2743,0.92,2188
159,317.83,2983,2742,0.92,2192
160,317.81,2983,2747,0.92,2183
161,316.81,2983,2746,0.92,2182
162,317.81,2983,2742,0.92,2173
163,317.19,2983,2745,0.92,2164
164,317.53,2983,2743,0.92,2186
165,317.68,2983,2745,0.92,2183
166,317.12,2983,2744,0.92,2168
167,317.59,2983,2743,0.92,2184
168,317.0,2983,2743,0.92,2162
169,317.46,2983,2744,0.92,2178
170,317.75,2983,2744,0.92,2159
171,317.5,2983,2746,0.92,2178
172,317.57,2983,2741,0.92,2180
173,317.05,2983,2744,0.92,2174
174,317.77,2983,2751,0.92,2192
175,317.83,2983,2746,0.92,2192
176,317.49,2983,2744,0.92,2197
177,317.4,2983,2748,0.92,2177
178,317.34,2983,2746,0.92,2202
179,317.45,2983,2748,0.92,2181
180,318.36,2983,2749,0.92,2190
181,318.18,2983,2745,0.92,2196
182,317.01,2983,2745,0.92,2172
183,316.9,2983,2744,0.92,2167
184,318.0,2983,2748,0.92,2189
185,318.23,2983,2742,0.92,2199
186,317.36,2983,2745,0.92,2185
187,317.67,2983,2746,0.92,2184
188,317.13,2983,2745,0.92,2168
189,317.13,2983,2747,0.92,2181
190,318.03,2983,2746,0.92,2183
191,317.48,2983,2743,0.92,2192
192,317.38,2983,2746,0.92,2178
193,317.01,2983,2747,0.92,2177
194,317.23,2983,2745,0.92,2190
195,316.99,2983,2745,0.92,2196
196,317.0,2983,2746,0.92,2178
197,316.99,2983,2746,0.92,2201
198,316.83,2983,2747,0.92,2172
199,317.55,2983,2746,0.92,2191
200,317.56,2983,2748,0.92,2182
