episode,avg_travel_time,total,complete,ratio,stops
1,637.23,2822,2350,0.83,2207
2,580.17,2896,2455,0.85,2257
3,528.28,2936,2539,0.86,2280
4,484.98,2983,2597,0.87,2318
5,450.01,2983,2645,0.89,2291
6,415.0,2983,2679,0.9,2297
7,376.19,2983,2706,0.91,2275
8,381.08,2983,2705,0.91,2270
9,369.43,2983,2714,0.91,2260
10,357.26,2983,2706,0.91,2230
11,354.98,2983,2710,0.91,2227
12,354.86,2983,2709,0.91,2213
13,347.96,2983,2725,0.91,2228
14,340.58,2983,2723,0.91,2213
15,339.26,2983,2733,0.92,2192
16,336.18,2983,2727,0.91,2216
17,334.05,2983,2731,0.92,2220
18,335.4,2983,2733,0.92,2217
19,335.13,2983,2728,0.91,2239
20,331.77,2983,2730,0.92,2186
21,330.17,2983,2732,0.92,2212
22,330.29,2983,2734,0.92,2217
23,328.37,2983,2737,0.92,2207
24,329.46,2983,2739,0.92,2211
25,327.23,2983,2730,0.92,2175
26,326.78,2983,2735,0.92,2209
27,325.22,2983,2740,0.92,2200
28,325.61,2983,2742,0.92,2199
29,324.22,2983,2745,0.92,2190
30,324.31,2983,2736,0.92,2194
31,323.69,2983,2740,0.92,2214
32,324.1,2983,2740,0.92,2193
33,323.56,2983,2740,0.92,2208
34,323.41,2983,2740,0.92,2204
35,323.95,2983,2745,0.92,2189
36,322.89,2983,2736,0.92,2221
37,323.81,2983,2740,0.92,2199
38,322.05,2983,2747,0.92,2213
39,322.08,2983,2740,0.92,2210
40,321.27,2983,2744,0.92,2201
41,321.51,2983,2746,0.92,2190
42,321.46,2983,2745,0.92,2209
43,320.41,2983,2745,0.92,2191
44,320.73,2983,2749,0.92,2173
45,321.69,2983,2745,0.92,2207
46,321.98,2983,2744,0.92,2199
47,320.76,2983,2740,0.92,2186
48,320.86,2983,2745,0.92,2191
49,320.24,2983,2742,0.92,2205
50,321.55,2983,2744,0.92,2196
51,320.13,2983,2742,0.92,2182
52,320.25,2983,2743,0.92,2205
53,319.65,2983,2747,0.92,2215
54,320.37,2983,2744,0.92,2207
55,319.64,2983,2743,0.92,2180
56,320.03,2983,2745,0.92,2192
57,320.08,2983,2741,0.92,2191
58,319.88,2983,2743,0.92,2201
59,319.82,2983,2747,0.92,2196
60,319.81,2983,2743,0.92,2165
61,319.96,2983,2747,0.92,2191
62,320.48,2983,2739,0.92,2181
63,320.32,2983,2744,0.92,2191
64,320.28,2983,2746,0.92,2190
65,319.52,2983,2743,0.92,2190
66,319.45,2983,2743,0.92,2190
67,319.92,2983,2747,0.92,2189
68,319.13,2983,2743,0.92,2186
69,319.59,2983,2742,0.92,2189
70,319.6,2983,2744,0.92,2183
71,319.61,2983,2741,0.92,2170
72,319.42,2983,2743,0.92,2188
73,319.66,2983,2744,0.92,2166
74,318.99,2983,2746,0.92,2162
75,319.91,2983,2747,0.92,2187
76,319.38,2983,2743,0.92,2159
77,319.63,2983,2741,0.92,2176
78,319.08,2983,2741,0.92,2192
79,319.48,2983,2746,0.92,2181
80,318.87,2983,2743,0.92,2168
81,319.26,2983,2743,0.92,2204
82,318.94,2983,2743,0.92,2179
83,318.66,2983,2741,0.92,2183
84,319.15,2983,2744,0.92,2201
85,319.38,2983,2744,0.92,2170
86,319.44,2983,2744,0.92,2205
87,319.87,2983,2745,0.92,2187
88,319.95,2983,2743,0.92,2196
89,319.18,2983,2744,0.92,2178
90,318.77,2983,2744,0.92,2189
91,318.99,2983,2743,0.92,2201
92,319.35,2983,2745,0.92,2154
93,319.52,2983,2747,0.92,2193
94,319.64,2983,2745,0.92,2198
95,319.38,2983,2746,0.92,2178
96,319.34,2983,2749,0.92,2197
97,319.05,2983,2746,0.92,2176
98,318.92,2983,2745,0.92,2169
99,319.53,2983,2745,0.92,2190
100,319.02,2983,2747,0.92,2170
