episode,avg_travel_time,total,complete,ratio,stops
1,1081.68,5300,2875,0.54,5069
2,1061.6,5447,3015,0.55,5216
3,1052.72,5498,3133,0.57,5268
4,1011.12,5600,3337,0.6,5368
5,972.24,5707,3597,0.63,5468
6,899.69,5794,3900,0.67,5548
7,893.61,5810,4004,0.69,5547
8,850.97,5864,4211,0.72,5590
9,784.86,5884,4683,0.8,5614
10,781.54,5903,4474,0.76,5614
11,758.29,5919,4676,0.79,5617
12,793.8,5919,4304,0.73,5634
13,800.86,5943,4260,0.72,5662
14,795.61,5918,4356,0.74,5625
15,831.99,5843,4070,0.7,5559
16,785.89,5889,4416,0.75,5608
17,817.86,5915,4031,0.68,5636
18,823.57,5920,4048,0.68,5643
19,855.44,5923,3755,0.63,5649
20,784.99,5936,4283,0.72,5659
21,794.96,5882,4294,0.73,5590
22,842.52,5920,3736,0.63,5628
23,787.57,5944,4342,0.73,5664
24,741.94,5979,4629,0.77,5701
25,768.36,5954,4421,0.74,5677
26,736.24,5962,4750,0.8,5678
27,715.95,5978,4992,0.84,5711
28,696.25,5954,5071,0.85,5662
29,698.65,5949,4974,0.84,5655
30,705.38,5990,5004,0.84,5698
31,661.96,5962,5282,0.89,5667
32,698.04,5946,4992,0.84,5667
33,680.89,5971,5178,0.87,5683
34,694.72,5969,5031,0.84,5679
35,702.07,5943,4810,0.81,5637
36,712.5,5919,4864,0.82,5638
37,670.94,5976,5164,0.86,5701
38,660.73,5966,5222,0.88,5681
39,689.21,5964,5036,0.84,5659
40,694.36,5919,4897,0.83,5626
41,669.29,5912,5096,0.86,5632
42,719.67,5903,4770,0.81,5594
43,661.97,5944,5230,0.88,5659
44,640.31,5990,5362,0.9,5697
45,646.87,5979,5225,0.87,5698
46,636.44,5971,5419,0.91,5670
47,650.69,5957,5257,0.88,5674
48,645.32,5959,5226,0.88,5666
49,649.38,5956,5390,0.9,5679
50,659.66,5956,5056,0.85,5676
51,648.57,5976,5291,0.89,5693
52,655.3,5957,5172,0.87,5651
53,655.59,5945,5180,0.87,5661
54,640.16,5952,5312,0.89,5660
55,650.49,5972,5301,0.89,5674
56,667.66,5957,5167,0.87,5669
57,643.19,5968,5232,0.88,5686
58,647.88,5987,5248,0.88,5720
59,650.36,5988,5263,0.88,5695
60,676.63,5953,4946,0.83,5662
61,634.5,5989,5388,0.9,5697
62,634.38,5961,5201,0.87,5674
63,677.18,5987,4812,0.8,5698
64,648.37,5971,5110,0.86,5699
65,623.09,5986,5331,0.89,5699
66,589.3,5990,5482,0.92,5706
67,635.93,5984,5284,0.88,5702
68,631.78,5975,5058,0.85,5682
69,599.63,5986,5410,0.9,5699
70,646.19,5987,5132,0.86,5690
71,613.16,5987,5370,0.9,5679
72,700.09,5989,4754,0.79,5707
73,676.78,5899,4713,0.8,5596
74,642.42,5990,5150,0.86,5696
75,642.99,5972,4975,0.83,5677
76,618.66,5984,5345,0.89,5678
77,629.26,5980,5162,0.86,5684
78,621.86,5972,5320,0.89,5680
79,592.09,5990,5351,0.89,5686
80,645.86,5921,5179,0.87,5620
81,600.39,5986,5597,0.94,5688
82,620.78,5920,5193,0.88,5629
83,590.57,5990,5515,0.92,5695
84,637.81,5901,5081,0.86,5591
85,616.52,5979,5396,0.9,5686
86,590.77,5990,5549,0.93,5690
87,587.21,5990,5527,0.92,5693
88,594.88,5971,5359,0.9,5666
89,615.79,5983,5152,0.86,5696
90,625.86,5990,5106,0.85,5698
91,617.65,5958,5344,0.9,5665
92,642.94,5968,5000,0.84,5679
93,597.32,5982,5335,0.89,5688
94,587.46,5990,5328,0.89,5698
95,592.31,5990,5388,0.9,5698
96,594.52,5990,5275,0.88,5690
97,562.99,5990,5566,0.93,5683
98,577.74,5990,5503,0.92,5692
99,560.95,5990,5645,0.94,5699
100,555.89,5990,5647,0.94,5679
