episode,avg_travel_time,total,complete,ratio,stops
1,589.21,5965,4493,0.75,5643
2,477.13,5997,4988,0.83,5644
3,426.35,5997,5158,0.86,5630
4,401.43,5997,5232,0.87,5608
5,369.45,5997,5264,0.88,5629
6,368.91,5992,5266,0.88,5594
7,366.02,5962,5197,0.87,5571
8,324.79,5997,5391,0.9,5598
9,318.47,5997,5424,0.9,5570
10,304.5,5997,5463,0.91,5604
11,299.05,5997,5471,0.91,5583
12,295.51,5997,5472,0.91,5586
13,290.46,5997,5484,0.91,5601
14,285.24,5997,5490,0.92,5591
15,281.81,5997,5493,0.92,5583
16,280.92,5997,5493,0.92,5598
17,278.41,5997,5503,0.92,5590
18,276.83,5997,5495,0.92,5584
19,275.54,5997,5512,0.92,5587
20,274.07,5997,5502,0.92,5571
21,271.79,5997,5510,0.92,5582
22,272.27,5997,5508,0.92,5599
23,271.02,5997,5518,0.92,5596
24,270.52,5997,5516,0.92,5591
25,269.21,5997,5508,0.92,5588
26,269.97,5997,5520,0.92,5592
27,268.21,5997,5525,0.92,5577
28,268.04,5997,5522,0.92,5579
29,267.48,5997,5524,0.92,5599
30,269.19,5997,5522,0.92,5604
31,267.4,5997,5522,0.92,5591
32,266.19,5997,5519,0.92,5596
33,265.53,5997,5532,0.92,5588
34,265.33,5997,5530,0.92,5585
35,266.59,5997,5528,0.92,5598
36,265.72,5997,5529,0.92,5584
37,265.87,5997,5537,0.92,5597
38,265.33,5997,5529,0.92,5600
39,265.91,5997,5521,0.92,5588
40,264.28,5997,5535,0.92,5591
41,264.17,5997,5532,0.92,5589
42,265.21,5997,5527,0.92,5577
43,264.18,5997,5529,0.92,5612
44,264.02,5997,5533,0.92,5584
45,263.79,5997,5524,0.92,5582
46,263.94,5997,5538,0.92,5587
47,264.74,5997,5533,0.92,5584
48,264.21,5997,5529,0.92,5597
49,263.5,5997,5539,0.92,5594
50,264.3,5997,5538,0.92,5594
51,263.53,5997,5530,0.92,5588
52,263.76,5997,5525,0.92,5586
53,262.83,5997,5529,0.92,5592
54,263.04,5997,5534,0.92,5590
55,263.96,5997,5526,0.92,5582
56,263.07,5997,5537,0.92,5594
57,263.25,5997,5533,0.92,5601
58,263.07,5997,5531,0.92,5578
59,263.07,5997,5534,0.92,5589
60,263.17,5997,5531,0.92,5593
61,263.02,5997,5538,0.92,5587
62,263.45,5997,5533,0.92,5593
63,262.25,5997,5529,0.92,5586
64,263.15,5997,5537,0.92,5595
65,263.13,5997,5534,0.92,5600
66,262.83,5997,5531,0.92,5585
67,263.13,5997,5540,0.92,5579
68,262.24,5997,5539,0.92,5594
69,263.16,5997,5517,0.92,5593
70,261.46,5997,5538,0.92,5584
71,262.44,5997,5539,0.92,5581
72,261.86,5997,5527,0.92,5598
73,262.18,5997,5537,0.92,5589
74,262.76,5997,5530,0.92,5597
75,262.72,5997,5540,0.92,5588
76,261.72,5997,5533,0.92,5596
77,262.1,5997,5532,0.92,5601
78,262.35,5997,5536,0.92,5603
79,261.85,5997,5539,0.92,5588
80,261.8,5997,5536,0.92,5595
81,262.47,5997,5536,0.92,5587
82,262.25,5997,5538,0.92,5582
83,262.39,5997,5533,0.92,5596
84,262.12,5997,5536,0.92,5606
85,262.17,5997,5537,0.92,5612
86,261.12,5997,5533,0.92,5596
87,259.89,5997,5528,0.92,5584
88,261.24,5997,5533,0.92,5579
89,262.22,5997,5542,0.92,5584
90,261.95,5997,5530,0.92,5591
91,261.79,5997,5540,0.92,5592
92,261.64,5997,5532,0.92,5594
93,262.11,5997,5544,0.92,5599
94,260.81,5997,5537,0.92,5592
95,261.33,5997,5540,0.92,5601
96,260.29,5997,5540,0.92,5597
97,261.18,5997,5532,0.92,5600
98,262.12,5997,5531,0.92,5599
99,261.51,5997,5538,0.92,5591
100,261.64,5997,5537,0.92,5616
