episode,avg_travel_time,total,complete,ratio,stops
1,583.97,2882,2440,0.85,2265
2,493.14,2983,2588,0.87,2352
3,457.61,2983,2640,0.89,2324
4,438.79,2983,2647,0.89,2297
5,403.18,2983,2689,0.9,2292
6,382.8,2983,2700,0.91,2264
7,374.0,2983,2712,0.91,2245
8,394.95,2983,2659,0.89,2220
9,369.69,2983,2701,0.91,2239
10,357.38,2983,2722,0.91,2255
11,361.24,2983,2721,0.91,2251
12,353.06,2983,2725,0.91,2248
13,349.24,2983,2721,0.91,2241
14,341.91,2983,2725,0.91,2238
15,338.99,2983,2732,0.92,2216
16,338.06,2983,2729,0.91,2226
17,339.09,2983,2733,0.92,2218
18,336.39,2983,2730,0.92,2238
19,334.39,2983,2732,0.92,2248
20,331.83,2983,2731,0.92,2236
21,331.75,2983,2737,0.92,2202
22,329.5,2983,2733,0.92,2217
23,330.86,2983,2731,0.92,2220
24,327.18,2983,2734,0.92,2204
25,327.1,2983,2737,0.92,2232
26,327.93,2983,2737,0.92,2232
27,327.54,2983,2734,0.92,2218
28,331.31,2983,2739,0.92,2217
29,326.7,2983,2739,0.92,2207
30,324.62,2983,2743,0.92,2210
31,326.96,2983,2740,0.92,2213
32,326.03,2983,2740,0.92,2232
33,326.98,2983,2737,0.92,2212
34,324.09,2983,2740,0.92,2217
35,324.08,2983,2743,0.92,2197
36,323.66,2983,2739,0.92,2220
37,322.65,2983,2739,0.92,2214
38,322.5,2983,2740,0.92,2196
39,322.5,2983,2736,0.92,2206
40,322.56,2983,2746,0.92,2209
41,322.25,2983,2747,0.92,2213
42,322.79,2983,2746,0.92,2215
43,321.57,2983,2743,0.92,2211
44,320.46,2983,2742,0.92,2175
45,320.97,2983,2746,0.92,2201
46,322.05,2983,2744,0.92,2199
47,321.22,2983,2743,0.92,2194
48,320.81,2983,2745,0.92,2181
49,321.1,2983,2740,0.92,2185
50,321.11,2983,2743,0.92,2186
51,320.81,2983,2742,0.92,2179
52,321.69,2983,2742,0.92,2207
53,321.41,2983,2745,0.92,2180
54,321.35,2983,2743,0.92,2183
55,321.15,2983,2745,0.92,2203
56,320.92,2983,2745,0.92,2197
57,320.75,2983,2746,0.92,2178
58,321.4,2983,2747,0.92,2183
59,321.38,2983,2742,0.92,2189
60,320.91,2983,2745,0.92,2184
61,321.2,2983,2743,0.92,2189
62,320.07,2983,2742,0.92,2180
63,320.1,2983,2743,0.92,2192
64,320.81,2983,2743,0.92,2175
65,320.27,2983,2744,0.92,2179
66,320.99,2983,2744,0.92,2185
67,320.44,2983,2743,0.92,2189
68,319.47,2983,2746,0.92,2168
69,319.97,2983,2740,0.92,2160
70,320.29,2983,2743,0.92,2172
71,320.74,2983,2747,0.92,2190
72,319.56,2983,2746,0.92,2162
73,319.16,2983,2741,0.92,2187
74,319.66,2983,2746,0.92,2178
75,320.21,2983,2745,0.92,2185
76,319.75,2983,2745,0.92,2177
77,319.66,2983,2743,0.92,2149
78,319.64,2983,2742,0.92,2173
79,319.83,2983,2739,0.92,2175
80,320.84,2983,2742,0.92,2207
81,319.28,2983,2743,0.92,2160
82,319.65,2983,2745,0.92,2164
83,319.74,2983,2745,0.92,2175
84,319.14,2983,2744,0.92,2173
85,320.4,2983,2745,0.92,2195
86,318.65,2983,2746,0.92,2191
87,320.32,2983,2742,0.92,2179
88,319.97,2983,2745,0.92,2191
89,320.17,2983,2741,0.92,2192
90,319.78,2983,2745,0.92,2201
91,319.3,2983,2745,0.92,2183
92,320.19,2983,2743,0.92,2189
93,319.51,2983,2740,0.92,2180
94,319.56,2983,2741,0.92,2179
95,318.8,2983,2744,0.92,2186
96,318.19,2983,2743,0.92,2184
97,318.47,2983,2743,0.92,2188
98,319.92,2983,2745,0.92,2179
99,318.78,2983,2745,0.92,2191
100,318.88,2983,2744,0.92,2184
