episode,avg_travel_time,total,complete,ratio,stops
1,1320.25,2323,657,0.28,2241
2,1277.84,2356,689,0.29,2284
3,1265.75,2367,713,0.3,2294
4,1240.74,2372,744,0.31,2299
5,1157.64,2406,850,0.35,2309
6,1225.46,2360,755,0.32,2280
7,1242.6,2352,724,0.31,2280
8,1147.28,2390,880,0.37,2302
9,1228.77,2308,761,0.33,2234
10,1219.47,2360,752,0.32,2287
11,1125.17,2429,916,0.38,2339
12,1123.34,2400,955,0.4,2310
13,1174.9,2386,814,0.34,2301
14,1126.84,2413,868,0.36,2320
15,1184.79,2399,806,0.34,2313
16,1124.08,2429,915,0.38,2330
17,1113.65,2437,890,0.37,2344
18,1100.79,2423,961,0.4,2327
19,1112.28,2438,897,0.37,2336
20,1108.09,2422,944,0.39,2335
21,1104.69,2431,987,0.41,2327
22,1041.96,2471,1075,0.44,2370
23,1041.43,2465,1056,0.43,2355
24,1071.73,2471,1024,0.41,2360
25,1079.74,2440,972,0.4,2333
26,1043.96,2469,1066,0.43,2369
27,1094.63,2437,958,0.39,2329
28,1016.52,2509,1116,0.44,2390
29,1032.04,2497,1062,0.43,2393
30,1063.37,2478,1021,0.41,2373
31,1003.31,2484,1124,0.45,2365
32,1029.69,2490,1070,0.43,2380
33,1082.18,2472,991,0.4,2369
34,1053.69,2482,1024,0.41,2380
35,1106.58,2470,888,0.36,2373
36,1132.52,2434,857,0.35,2336
37,996.73,2527,1145,0.45,2419
38,1069.17,2456,990,0.4,2347
39,1032.65,2476,1066,0.43,2368
40,1059.89,2460,995,0.4,2359
41,1102.91,2441,952,0.39,2338
42,1143.3,2413,847,0.35,2320
43,1043.65,2465,1019,0.41,2366
44,1076.95,2459,974,0.4,2350
45,1059.1,2456,1011,0.41,2348
46,1094.52,2465,896,0.36,2356
47,1105.59,2428,862,0.36,2316
48,1082.17,2459,934,0.38,2354
49,1125.98,2419,847,0.35,2311
50,1100.89,2453,925,0.38,2350
51,1108.28,2463,909,0.37,2368
52,1101.47,2444,900,0.37,2346
53,1155.27,2430,816,0.34,2333
54,1066.31,2464,951,0.39,2358
55,1109.32,2460,903,0.37,2355
56,1039.3,2492,1047,0.42,2381
57,1093.62,2466,926,0.38,2359
58,1080.67,2473,941,0.38,2371
59,1141.07,2431,833,0.34,2343
60,1039.57,2490,1021,0.41,2380
61,1040.36,2475,1019,0.41,2365
62,1108.23,2463,881,0.36,2362
63,1087.36,2471,905,0.37,2364
64,1071.97,2454,952,0.39,2336
65,1093.91,2486,903,0.36,2375
66,1057.73,2475,975,0.39,2366
67,1060.27,2480,1035,0.42,2378
68,1110.14,2454,882,0.36,2354
69,1053.91,2473,981,0.4,2369
70,1063.58,2485,1004,0.4,2385
71,1052.47,2489,1001,0.4,2379
72,1237.52,2440,715,0.29,2336
73,1049.66,2484,1002,0.4,2381
74,1041.55,2484,1036,0.42,2370
75,1094.44,2443,942,0.39,2343
76,1075.38,2445,995,0.41,2336
77,1068.37,2464,941,0.38,2360
78,1082.08,2458,976,0.4,2355
79,1043.16,2490,1060,0.43,2377
80,1010.75,2501,1097,0.44,2389
81,1046.18,2490,1045,0.42,2385
82,1034.43,2488,1057,0.42,2376
83,1038.24,2477,1032,0.42,2364
84,1023.51,2475,1034,0.42,2373
85,1101.83,2426,945,0.39,2314
86,1013.81,2504,1118,0.45,2387
87,1031.73,2483,1069,0.43,2372
88,1031.07,2483,1042,0.42,2372
89,1036.6,2495,1052,0.42,2389
90,1068.61,2457,996,0.41,2348
91,1037.83,2470,1064,0.43,2367
92,1013.54,2480,1073,0.43,2363
93,1037.7,2496,1050,0.42,2383
94,1018.7,2495,1084,0.43,2385
95,1047.24,2463,1043,0.42,2362
96,1025.22,2487,1075,0.43,2374
97,1054.53,2466,1050,0.43,2353
98,1038.1,2479,1040,0.42,2368
99,1041.58,2488,1041,0.42,2378
100,1028.3,2483,1058,0.43,2375
