episode,avg_travel_time,total,complete,ratio,stops
1,1284.93,2316,709,0.31,2249
2,1213.88,2351,780,0.33,2280
3,1168.66,2373,868,0.37,2307
4,1128.01,2406,906,0.38,2330
5,1054.12,2436,990,0.41,2355
6,1009.15,2440,1055,0.43,2356
7,889.57,2491,1212,0.49,2408
8,809.91,2584,1306,0.51,2479
9,586.52,2719,1755,0.65,2607
10,410.18,2796,2364,0.85,2644
11,333.23,2824,2559,0.91,2658
12,287.8,2824,2602,0.92,2667
13,260.35,2824,2617,0.93,2641
14,242.49,2824,2643,0.94,2632
15,229.4,2824,2657,0.94,2622
16,221.42,2824,2656,0.94,2594
17,214.87,2824,2659,0.94,2620
18,210.6,2824,2665,0.94,2606
19,208.21,2824,2667,0.94,2600
20,204.66,2824,2675,0.95,2589
21,201.93,2824,2676,0.95,2573
22,201.2,2824,2673,0.95,2567
23,198.39,2824,2679,0.95,2570
24,199.03,2824,2673,0.95,2563
25,198.08,2824,2678,0.95,2574
26,196.99,2824,2681,0.95,2546
27,196.22,2824,2677,0.95,2575
28,196.35,2824,2684,0.95,2547
29,195.27,2824,2678,0.95,2560
30,194.91,2824,2682,0.95,2533
31,195.18,2824,2680,0.95,2550
32,194.45,2824,2682,0.95,2554
33,195.05,2824,2677,0.95,2534
34,194.37,2824,2680,0.95,2538
35,195.02,2824,2678,0.95,2546
36,194.71,2824,2682,0.95,2535
37,194.54,2824,2683,0.95,2542
38,194.56,2824,2681,0.95,2530
39,194.27,2824,2679,0.95,2561
40,193.55,2824,2680,0.95,2561
41,193.35,2824,2680,0.95,2526
42,194.57,2824,2682,0.95,2536
43,193.89,2824,2685,0.95,2542
44,193.16,2824,2683,0.95,2518
45,193.34,2824,2681,0.95,2550
46,192.86,2824,2682,0.95,2530
47,192.9,2824,2684,0.95,2543
48,193.06,2824,2681,0.95,2521
49,193.06,2824,2686,0.95,2532
50,193.07,2824,2683,0.95,2547
51,193.39,2824,2683,0.95,2531
52,193.03,2824,2683,0.95,2542
53,193.25,2824,2678,0.95,2520
54,193.85,2824,2679,0.95,2546
55,192.93,2824,2685,0.95,2515
56,193.48,2824,2687,0.95,2549
57,192.92,2824,2686,0.95,2554
58,194.26,2824,2685,0.95,2531
59,193.89,2824,2682,0.95,2536
60,193.24,2824,2684,0.95,2536
61,193.34,2824,2680,0.95,2538
62,191.35,2824,2686,0.95,2525
63,193.07,2824,2682,0.95,2544
64,192.43,2824,2686,0.95,2529
65,192.6,2824,2681,0.95,2525
66,193.31,2824,2685,0.95,2537
67,192.2,2824,2686,0.95,2545
68,193.16,2824,2682,0.95,2535
69,193.39,2824,2683,0.95,2547
70,192.72,2824,2683,0.95,2510
71,192.34,2824,2683,0.95,2520
72,192.0,2824,2683,0.95,2531
73,193.44,2824,2685,0.95,2542
74,192.76,2824,2679,0.95,2536
75,192.31,2824,2688,0.95,2536
76,192.6,2824,2686,0.95,2525
77,192.11,2824,2684,0.95,2543
78,192.78,2824,2684,0.95,2541
79,192.58,2824,2685,0.95,2540
80,193.03,2824,2682,0.95,2541
81,193.12,2824,2683,0.95,2524
82,191.63,2824,2680,0.95,2515
83,191.73,2824,2687,0.95,2527
84,192.69,2824,2684,0.95,2556
85,192.11,2824,2686,0.95,2538
86,191.43,2824,2678,0.95,2533
87,193.25,2824,2678,0.95,2545
88,191.92,2824,2682,0.95,2542
89,192.86,2824,2683,0.95,2531
90,192.96,2824,2683,0.95,2541
91,192.57,2824,2684,0.95,2545
92,192.18,2824,2687,0.95,2523
93,192.38,2824,2684,0.95,2529
94,192.91,2824,2683,0.95,2538
95,191.96,2824,2684,0.95,2526
96,192.15,2824,2683,0.95,2529
97,192.54,2824,2681,0.95,2544
98,192.38,2824,2684,0.95,2552
99,191.89,2824,2681,0.95,2534
100,192.58,2824,2683,0.95,2546
