episode,avg_travel_time,total,complete,ratio,stops
1,597.96,5989,4526,0.76,4781
2,524.34,6167,4902,0.79,4970
3,485.07,6188,4988,0.81,4951
4,457.67,6238,5151,0.83,4982
5,446.33,6274,5228,0.83,4997
6,398.56,6295,5417,0.86,5034
7,396.89,6295,5448,0.87,5019
8,385.44,6295,5462,0.87,5034
9,380.36,6295,5509,0.88,5037
10,370.86,6295,5543,0.88,5026
11,367.83,6295,5514,0.88,5018
12,374.29,6295,5526,0.88,5022
13,369.4,6295,5499,0.87,5013
14,365.87,6295,5584,0.89,5015
15,362.25,6295,5574,0.89,5018
16,351.85,6295,5584,0.89,5009
17,356.17,6295,5581,0.89,5028
18,351.7,6295,5605,0.89,4993
19,347.52,6295,5613,0.89,5003
20,342.61,6295,5617,0.89,5008
21,345.15,6295,5632,0.89,4976
22,342.05,6295,5637,0.9,4997
23,344.28,6295,5643,0.9,4997
24,345.0,6295,5636,0.9,4988
25,340.61,6295,5640,0.9,4998
26,339.9,6295,5627,0.89,5007
27,341.33,6295,5639,0.9,5003
28,336.22,6295,5644,0.9,4967
29,337.06,6295,5659,0.9,5016
30,336.57,6295,5644,0.9,5013
31,337.74,6295,5654,0.9,5011
32,335.07,6295,5661,0.9,4991
33,331.99,6295,5655,0.9,4979
34,333.49,6295,5664,0.9,5001
35,334.47,6295,5654,0.9,5005
36,337.61,6295,5654,0.9,5010
37,333.53,6295,5663,0.9,4986
38,333.31,6295,5660,0.9,4993
39,331.74,6295,5672,0.9,4985
40,334.46,6295,5667,0.9,5021
41,332.37,6295,5669,0.9,4998
42,329.68,6295,5667,0.9,5001
43,329.06,6295,5676,0.9,4997
44,327.76,6295,5688,0.9,4965
45,329.08,6295,5672,0.9,4996
46,332.05,6295,5659,0.9,4995
47,330.6,6295,5654,0.9,4995
48,331.18,6295,5664,0.9,4972
49,331.58,6295,5670,0.9,4982
50,329.04,6295,5682,0.9,5005
51,328.91,6295,5667,0.9,4992
52,331.14,6295,5669,0.9,5004
53,329.06,6295,5665,0.9,4996
54,327.92,6295,5673,0.9,4995
55,330.44,6295,5680,0.9,4987
56,330.14,6295,5682,0.9,5005
57,329.0,6295,5683,0.9,4982
58,329.82,6295,5677,0.9,4973
59,330.1,6295,5671,0.9,4976
60,329.41,6295,5671,0.9,4991
61,331.52,6295,5669,0.9,5018
62,328.43,6295,5674,0.9,4993
63,328.48,6295,5677,0.9,4992
64,329.83,6295,5676,0.9,5005
65,327.1,6295,5680,0.9,4994
66,329.16,6295,5685,0.9,4974
67,328.48,6295,5681,0.9,4973
68,329.41,6295,5669,0.9,5004
69,329.88,6295,5676,0.9,4999
70,328.13,6295,5669,0.9,4995
71,328.12,6295,5663,0.9,4992
72,328.91,6295,5667,0.9,4974
73,328.93,6295,5680,0.9,4971
74,329.3,6295,5679,0.9,4992
75,326.53,6295,5687,0.9,4976
76,329.07,6295,5669,0.9,5005
77,327.25,6295,5682,0.9,4993
78,327.79,6295,5664,0.9,4989
79,328.97,6295,5664,0.9,5009
80,327.19,6295,5681,0.9,4988
81,325.83,6295,5688,0.9,4990
82,326.37,6295,5672,0.9,4994
83,325.65,6295,5672,0.9,4990
84,328.37,6295,5678,0.9,4986
85,325.28,6295,5676,0.9,4981
86,328.25,6295,5682,0.9,4983
87,325.35,6295,5685,0.9,4979
88,326.33,6295,5688,0.9,4982
89,326.87,6295,5671,0.9,4988
90,325.56,6295,5676,0.9,4983
91,326.83,6295,5675,0.9,4967
92,326.35,6295,5681,0.9,4994
93,326.52,6295,5685,0.9,4999
94,325.3,6295,5684,0.9,4989
95,329.05,6295,5672,0.9,4997
96,326.93,6295,5694,0.9,5011
97,326.53,6295,5674,0.9,4977
98,325.22,6295,5686,0.9,4973
99,327.55,6295,5688,0.9,5009
100,327.12,6295,5675,0.9,4990
