episode,avg_travel_time,total,complete,ratio,stops
1,643.77,6076,4467,0.74,4881
2,566.6,6017,4737,0.79,4817
3,531.21,6163,4945,0.8,4917
4,497.45,6223,5045,0.81,4968
5,479.49,6200,5123,0.83,4964
6,458.58,6230,5226,0.84,4959
7,426.17,6292,5352,0.85,5037
8,417.84,6267,5356,0.85,5021
9,400.8,6288,5456,0.87,5012
10,391.46,6295,5457,0.87,5018
11,380.13,6295,5521,0.88,5015
12,382.17,6295,5468,0.87,5024
13,370.43,6295,5538,0.88,5017
14,372.07,6295,5482,0.87,5016
15,364.08,6295,5508,0.87,4981
16,352.93,6295,5598,0.89,5006
17,358.84,6295,5587,0.89,4983
18,353.01,6295,5606,0.89,5007
19,347.75,6295,5620,0.89,4982
20,347.38,6295,5620,0.89,5035
21,336.9,6295,5625,0.89,5006
22,340.19,6295,5616,0.89,5001
23,339.75,6295,5635,0.9,5009
24,335.06,6295,5635,0.9,4999
25,333.64,6295,5652,0.9,4995
26,331.45,6295,5628,0.89,4996
27,325.23,6295,5652,0.9,5003
28,326.74,6295,5694,0.9,4985
29,326.64,6295,5665,0.9,4970
30,324.07,6295,5669,0.9,5004
31,321.04,6295,5687,0.9,4991
32,318.79,6295,5698,0.91,5018
33,320.0,6295,5681,0.9,5005
34,318.12,6295,5715,0.91,5012
35,318.39,6295,5699,0.91,4989
36,317.21,6295,5688,0.9,5008
37,315.29,6295,5692,0.9,4999
38,316.05,6295,5688,0.9,4970
39,313.26,6295,5707,0.91,4999
40,315.38,6295,5712,0.91,4986
41,311.56,6295,5712,0.91,5002
42,312.46,6295,5721,0.91,4986
43,312.33,6295,5717,0.91,5007
44,312.12,6295,5709,0.91,5022
45,310.09,6295,5704,0.91,4989
46,307.9,6295,5711,0.91,5006
47,310.34,6295,5701,0.91,5018
48,307.89,6295,5721,0.91,5006
49,309.13,6295,5732,0.91,4989
50,308.73,6295,5728,0.91,5015
51,307.6,6295,5721,0.91,5008
52,306.84,6295,5728,0.91,4992
53,307.72,6295,5722,0.91,5009
54,309.03,6295,5727,0.91,5025
55,307.75,6295,5729,0.91,5013
56,307.31,6295,5725,0.91,4990
57,305.81,6295,5719,0.91,5015
58,306.33,6295,5726,0.91,5012
59,304.29,6295,5729,0.91,5001
60,306.94,6295,5726,0.91,4983
61,305.94,6295,5724,0.91,4996
62,307.37,6295,5724,0.91,5012
63,305.16,6295,5739,0.91,5012
64,305.81,6295,5716,0.91,5010
65,305.96,6295,5724,0.91,5012
66,304.38,6295,5737,0.91,4998
67,303.1,6295,5735,0.91,4995
68,303.73,6295,5730,0.91,5014
69,305.71,6295,5732,0.91,4996
70,303.46,6295,5734,0.91,5022
71,303.24,6295,5737,0.91,5002
72,304.99,6295,5735,0.91,5013
73,303.85,6295,5736,0.91,4984
74,304.06,6295,5741,0.91,4990
75,303.93,6295,5737,0.91,5011
76,303.35,6295,5727,0.91,5030
77,304.17,6295,5736,0.91,5000
78,305.17,6295,5734,0.91,5022
79,305.17,6295,5741,0.91,5015
80,305.65,6295,5737,0.91,5004
81,304.49,6295,5725,0.91,5026
82,302.56,6295,5734,0.91,5021
83,305.25,6295,5736,0.91,4997
84,304.82,6295,5737,0.91,5015
85,304.45,6295,5727,0.91,5010
86,303.04,6295,5727,0.91,5006
87,302.47,6295,5739,0.91,4993
88,303.29,6295,5735,0.91,5013
89,304.12,6295,5731,0.91,4999
90,301.85,6295,5747,0.91,5007
91,302.41,6295,5738,0.91,4989
92,303.15,6295,5728,0.91,4989
93,303.23,6295,5742,0.91,5003
94,303.31,6295,5743,0.91,5001
95,301.87,6295,5755,0.91,4998
96,302.31,6295,5755,0.91,5004
97,301.84,6295,5747,0.91,4986
98,303.66,6295,5730,0.91,5008
99,301.48,6295,5734,0.91,4980
100,301.78,6295,5748,0.91,4995
