episode,avg_travel_time,total,complete,ratio,stops
1,580.31,2857,2396,0.84,2144
2,504.88,2978,2531,0.85,2272
3,455.7,2983,2629,0.88,2276
4,415.84,2983,2682,0.9,2264
5,409.17,2983,2665,0.89,2236
6,386.41,2983,2693,0.9,2251
7,375.14,2983,2698,0.9,2214
8,375.43,2983,2693,0.9,2217
9,371.38,2983,2697,0.9,2191
10,364.85,2983,2698,0.9,2182
11,363.21,2983,2695,0.9,2177
12,361.2,2983,2694,0.9,2185
13,359.34,2983,2707,0.91,2171
14,359.51,2983,2695,0.9,2164
15,357.88,2983,2691,0.9,2187
16,357.92,2983,2703,0.91,2177
17,356.57,2983,2705,0.91,2190
18,357.01,2983,2706,0.91,2175
19,357.02,2983,2702,0.91,2192
20,355.54,2983,2700,0.91,2180
21,355.47,2983,2705,0.91,2191
22,354.35,2983,2701,0.91,2185
23,355.03,2983,2707,0.91,2159
24,354.14,2983,2704,0.91,2172
25,354.75,2983,2702,0.91,2183
26,355.55,2983,2705,0.91,2183
27,355.7,2983,2698,0.9,2158
28,354.44,2983,2708,0.91,2154
29,354.03,2983,2705,0.91,2173
30,353.66,2983,2705,0.91,2159
31,353.13,2983,2703,0.91,2161
32,353.56,2983,2710,0.91,2154
33,355.03,2983,2701,0.91,2167
34,353.4,2983,2713,0.91,2179
35,353.75,2983,2706,0.91,2167
36,354.59,2983,2706,0.91,2176
37,352.3,2983,2706,0.91,2165
38,353.13,2983,2715,0.91,2171
39,352.43,2983,2709,0.91,2170
40,352.98,2983,2704,0.91,2173
41,352.18,2983,2712,0.91,2163
42,352.08,2983,2711,0.91,2174
43,351.88,2983,2708,0.91,2177
44,352.88,2983,2705,0.91,2187
45,352.63,2983,2707,0.91,2169
46,352.34,2983,2707,0.91,2162
47,353.41,2983,2707,0.91,2159
48,352.16,2983,2713,0.91,2171
49,351.44,2983,2708,0.91,2171
50,352.68,2983,2707,0.91,2170
51,352.38,2983,2701,0.91,2182
52,352.62,2983,2707,0.91,2185
53,352.72,2983,2708,0.91,2177
54,352.7,2983,2705,0.91,2162
55,352.08,2983,2709,0.91,2171
56,352.74,2983,2707,0.91,2178
57,352.52,2983,2708,0.91,2179
58,352.85,2983,2709,0.91,2171
59,351.72,2983,2717,0.91,2166
60,352.88,2983,2707,0.91,2151
61,351.83,2983,2703,0.91,2173
62,351.7,2983,2712,0.91,2177
63,352.8,2983,2701,0.91,2171
64,352.82,2983,2702,0.91,2181
65,353.22,2983,2714,0.91,2179
66,352.1,2983,2703,0.91,2146
67,352.46,2983,2710,0.91,2182
68,352.95,2983,2701,0.91,2176
69,352.03,2983,2709,0.91,2157
70,351.22,2983,2711,0.91,2170
71,352.3,2983,2707,0.91,2157
72,353.36,2983,2711,0.91,2169
73,352.73,2983,2710,0.91,2176
74,352.31,2983,2712,0.91,2184
75,354.51,2983,2713,0.91,2170
76,353.58,2983,2708,0.91,2160
77,353.06,2983,2709,0.91,2172
78,351.44,2983,2704,0.91,2158
79,352.13,2983,2711,0.91,2165
80,353.35,2983,2709,0.91,2178
81,352.17,2983,2709,0.91,2160
82,352.21,2983,2715,0.91,2145
83,351.54,2983,2709,0.91,2178
84,351.66,2983,2709,0.91,2167
85,350.96,2983,2710,0.91,2161
86,351.44,2983,2706,0.91,2161
87,352.0,2983,2709,0.91,2160
88,351.08,2983,2706,0.91,2160
89,352.3,2983,2703,0.91,2135
90,352.07,2983,2709,0.91,2154
91,353.04,2983,2697,0.9,2151
92,351.22,2983,2707,0.91,2153
93,351.89,2983,2707,0.91,2161
94,351.88,2983,2706,0.91,2163
95,351.69,2983,2707,0.91,2154
96,350.9,2983,2708,0.91,2151
97,351.87,2983,2711,0.91,2166
98,351.08,2983,2711,0.91,2160
99,351.19,2983,2710,0.91,2152
100,352.8,2983,2708,0.91,2175
