episode,avg_travel_time,total,complete,ratio,stops
1,404.59,2999,2568,0.86,2804
2,373.8,2999,2635,0.88,2797
3,343.14,2999,2691,0.9,2802
4,330.15,2999,2696,0.9,2799
5,318.89,2999,2694,0.9,2792
6,308.5,2999,2718,0.91,2774
7,298.07,2999,2741,0.91,2779
8,292.93,2999,2741,0.91,2781
9,286.27,2999,2748,0.92,2779
10,281.28,2999,2753,0.92,2768
11,276.04,2999,2756,0.92,2771
12,269.25,2999,2762,0.92,2758
13,266.96,2999,2759,0.92,2766
14,262.63,2999,2761,0.92,2772
15,261.79,2999,2771,0.92,2756
16,256.65,2999,2769,0.92,2763
17,255.98,2999,2765,0.92,2769
18,252.97,2999,2773,0.92,2760
19,251.85,2999,2774,0.92,2766
20,250.51,2999,2775,0.93,2775
21,248.93,2999,2780,0.93,2765
22,248.3,2999,2783,0.93,2768
23,246.65,2999,2771,0.92,2767
24,244.77,2999,2781,0.93,2760
25,244.2,2999,2779,0.93,2749
26,244.14,2999,2784,0.93,2768
27,243.09,2999,2784,0.93,2769
28,242.01,2999,2782,0.93,2763
29,242.08,2999,2785,0.93,2758
30,240.82,2999,2784,0.93,2762
31,239.47,2999,2780,0.93,2781
32,240.23,2999,2784,0.93,2748
33,239.71,2999,2782,0.93,2770
34,238.63,2999,2782,0.93,2747
35,238.84,2999,2781,0.93,2759
36,238.3,2999,2784,0.93,2745
37,238.07,2999,2784,0.93,2749
38,237.39,2999,2784,0.93,2757
39,237.2,2999,2784,0.93,2743
40,236.68,2999,2786,0.93,2754
41,236.84,2999,2791,0.93,2755
42,236.96,2999,2781,0.93,2746
43,237.21,2999,2788,0.93,2753
44,236.12,2999,2790,0.93,2756
45,236.23,2999,2784,0.93,2762
46,236.22,2999,2786,0.93,2762
47,235.86,2999,2783,0.93,2756
48,235.54,2999,2785,0.93,2755
49,235.26,2999,2789,0.93,2762
50,235.0,2999,2790,0.93,2757
51,234.9,2999,2788,0.93,2761
52,234.63,2999,2790,0.93,2750
53,235.02,2999,2783,0.93,2754
54,234.53,2999,2785,0.93,2761
55,234.04,2999,2792,0.93,2748
56,233.88,2999,2789,0.93,2758
57,233.6,2999,2786,0.93,2762
58,233.97,2999,2790,0.93,2754
59,234.2,2999,2788,0.93,2753
60,233.5,2999,2789,0.93,2769
61,234.18,2999,2782,0.93,2757
62,233.79,2999,2785,0.93,2746
63,233.03,2999,2792,0.93,2759
64,233.05,2999,2794,0.93,2742
65,232.95,2999,2793,0.93,2745
66,233.88,2999,2791,0.93,2751
67,233.73,2999,2787,0.93,2752
68,233.84,2999,2791,0.93,2754
69,233.71,2999,2786,0.93,2751
70,233.57,2999,2789,0.93,2753
71,233.15,2999,2789,0.93,2752
72,232.91,2999,2789,0.93,2762
73,233.65,2999,2785,0.93,2758
74,233.46,2999,2789,0.93,2751
75,232.47,2999,2786,0.93,2742
76,233.22,2999,2786,0.93,2755
77,232.7,2999,2790,0.93,2750
78,232.52,2999,2786,0.93,2756
79,232.17,2999,2790,0.93,2760
80,232.52,2999,2786,0.93,2748
81,231.62,2999,2788,0.93,2747
82,233.34,2999,2791,0.93,2759
83,232.48,2999,2785,0.93,2736
84,232.62,2999,2792,0.93,2750
85,232.97,2999,2784,0.93,2749
86,232.36,2999,2790,0.93,2734
87,232.05,2999,2789,0.93,2759
88,232.31,2999,2787,0.93,2742
89,232.11,2999,2790,0.93,2746
90,231.52,2999,2795,0.93,2743
