episode,avg_travel_time,total,complete,ratio,stops
1,351.79,2999,2695,0.9,2780
2,334.09,2999,2703,0.9,2764
3,327.46,2999,2706,0.9,2775
4,323.35,2999,2717,0.91,2765
5,310.82,2999,2711,0.9,2775
6,308.21,2999,2721,0.91,2754
7,304.13,2999,2719,0.91,2750
8,298.55,2999,2739,0.91,2769
9,298.09,2999,2736,0.91,2770
10,295.53,2999,2731,0.91,2748
11,294.77,2999,2741,0.91,2751
12,293.6,2999,2741,0.91,2746
13,291.27,2999,2741,0.91,2758
14,289.16,2999,2734,0.91,2746
15,291.12,2999,2740,0.91,2756
16,289.76,2999,2748,0.92,2743
17,289.36,2999,2742,0.91,2743
18,288.46,2999,2744,0.91,2744
19,288.38,2999,2748,0.92,2732
20,289.04,2999,2739,0.91,2755
21,287.58,2999,2739,0.91,2740
22,287.52,2999,2742,0.91,2763
23,287.87,2999,2743,0.91,2747
24,287.4,2999,2739,0.91,2739
25,287.87,2999,2747,0.92,2751
26,288.4,2999,2748,0.92,2746
27,287.07,2999,2744,0.91,2735
28,287.71,2999,2748,0.92,2756
29,286.48,2999,2743,0.91,2753
30,286.41,2999,2739,0.91,2725
31,287.09,2999,2754,0.92,2746
32,286.82,2999,2738,0.91,2743
33,287.53,2999,2744,0.91,2739
34,285.78,2999,2739,0.91,2751
35,287.6,2999,2741,0.91,2743
36,286.57,2999,2747,0.92,2748
37,286.69,2999,2748,0.92,2743
38,287.44,2999,2752,0.92,2734
39,287.64,2999,2743,0.91,2749
40,287.24,2999,2746,0.92,2745
41,286.5,2999,2744,0.91,2753
42,286.86,2999,2734,0.91,2747
43,285.9,2999,2744,0.91,2749
44,285.45,2999,2748,0.92,2742
45,286.31,2999,2741,0.91,2748
46,286.71,2999,2754,0.92,2753
47,285.68,2999,2744,0.91,2747
48,285.24,2999,2747,0.92,2745
49,286.26,2999,2748,0.92,2747
50,286.15,2999,2737,0.91,2742
51,285.25,2999,2742,0.91,2749
52,286.88,2999,2742,0.91,2743
53,286.42,2999,2740,0.91,2747
54,285.59,2999,2735,0.91,2744
55,285.48,2999,2749,0.92,2737
56,286.19,2999,2747,0.92,2739
57,285.38,2999,2742,0.91,2752
58,285.73,2999,2740,0.91,2740
59,285.79,2999,2741,0.91,2729
60,285.67,2999,2747,0.92,2757
61,286.36,2999,2749,0.92,2740
62,286.08,2999,2753,0.92,2738
63,285.2,2999,2741,0.91,2738
64,284.77,2999,2750,0.92,2744
65,285.46,2999,2746,0.92,2745
66,285.88,2999,2739,0.91,2750
67,285.36,2999,2741,0.91,2754
68,285.28,2999,2744,0.91,2738
69,284.94,2999,2751,0.92,2746
70,285.58,2999,2744,0.91,2732
71,285.87,2999,2749,0.92,2750
72,285.66,2999,2751,0.92,2738
73,286.22,2999,2743,0.91,2750
74,286.19,2999,2737,0.91,2735
75,285.76,2999,2745,0.92,2744
76,286.12,2999,2752,0.92,2735
77,285.05,2999,2742,0.91,2750
78,285.56,2999,2743,0.91,2739
79,286.17,2999,2749,0.92,2751
80,284.68,2999,2746,0.92,2743
81,285.73,2999,2743,0.91,2728
82,285.09,2999,2744,0.91,2738
83,285.25,2999,2749,0.92,2743
84,285.63,2999,2745,0.92,2733
85,285.4,2999,2743,0.91,2745
86,286.04,2999,2747,0.92,2735
87,284.62,2999,2745,0.92,2746
88,285.13,2999,2746,0.92,2746
89,286.42,2999,2741,0.91,2744
90,285.26,2999,2747,0.92,2741
91,283.54,2999,2739,0.91,2723
92,285.77,2999,2743,0.91,2754
93,285.53,2999,2740,0.91,2741
94,285.25,2999,2740,0.91,2746
95,285.15,2999,2744,0.91,2739
96,285.96,2999,2752,0.92,2750
97,284.05,2999,2746,0.92,2739
98,285.49,2999,2750,0.92,2743
99,284.29,2999,2747,0.92,2753
100,284.85,2999,2742,0.91,2739
