episode,avg_travel_time,total,complete,ratio,stops
1,354.67,2999,2671,0.89,2792
2,322.77,2999,2721,0.91,2794
3,302.72,2999,2726,0.91,2788
4,292.41,2999,2736,0.91,2783
5,276.6,2999,2759,0.92,2768
6,268.79,2999,2762,0.92,2758
7,258.46,2999,2764,0.92,2759
8,254.44,2999,2779,0.93,2762
9,248.97,2999,2771,0.92,2747
10,245.18,2999,2781,0.93,2741
11,241.98,2999,2784,0.93,2735
12,240.3,2999,2782,0.93,2738
13,239.06,2999,2777,0.93,2741
14,236.07,2999,2788,0.93,2734
15,235.31,2999,2786,0.93,2736
16,233.96,2999,2786,0.93,2741
17,233.39,2999,2788,0.93,2738
18,233.14,2999,2794,0.93,2737
19,233.06,2999,2793,0.93,2745
20,232.08,2999,2787,0.93,2748
21,231.59,2999,2793,0.93,2728
22,232.7,2999,2786,0.93,2748
23,231.57,2999,2789,0.93,2750
24,231.01,2999,2793,0.93,2740
25,230.74,2999,2787,0.93,2742
26,230.64,2999,2791,0.93,2732
27,230.11,2999,2796,0.93,2749
28,230.09,2999,2788,0.93,2750
29,230.64,2999,2794,0.93,2742
30,230.21,2999,2796,0.93,2748
31,230.41,2999,2790,0.93,2755
32,230.62,2999,2792,0.93,2743
33,229.82,2999,2794,0.93,2752
34,228.77,2999,2797,0.93,2738
35,229.03,2999,2790,0.93,2719
36,229.77,2999,2788,0.93,2744
37,228.93,2999,2793,0.93,2742
38,229.44,2999,2792,0.93,2728
39,229.1,2999,2795,0.93,2749
40,229.75,2999,2795,0.93,2747
41,229.01,2999,2788,0.93,2740
42,228.79,2999,2789,0.93,2729
43,229.03,2999,2791,0.93,2749
44,227.85,2999,2792,0.93,2733
45,228.82,2999,2794,0.93,2742
46,229.15,2999,2796,0.93,2747
47,228.38,2999,2795,0.93,2743
48,227.59,2999,2793,0.93,2727
49,228.67,2999,2796,0.93,2746
50,228.49,2999,2797,0.93,2750
51,228.39,2999,2790,0.93,2727
52,227.85,2999,2789,0.93,2730
53,228.78,2999,2792,0.93,2744
54,228.1,2999,2792,0.93,2745
55,229.47,2999,2793,0.93,2753
56,228.45,2999,2792,0.93,2736
57,228.71,2999,2797,0.93,2736
58,228.5,2999,2792,0.93,2739
59,228.34,2999,2792,0.93,2729
60,228.76,2999,2790,0.93,2743
61,228.08,2999,2794,0.93,2725
62,228.53,2999,2791,0.93,2749
63,228.15,2999,2796,0.93,2731
64,227.62,2999,2795,0.93,2735
65,228.1,2999,2790,0.93,2728
66,228.13,2999,2797,0.93,2717
67,228.3,2999,2792,0.93,2736
68,228.29,2999,2798,0.93,2731
69,228.2,2999,2794,0.93,2723
70,227.63,2999,2798,0.93,2751
71,228.44,2999,2791,0.93,2737
72,227.28,2999,2793,0.93,2725
73,227.41,2999,2796,0.93,2729
74,228.42,2999,2790,0.93,2729
75,227.57,2999,2797,0.93,2735
76,228.29,2999,2796,0.93,2743
77,228.35,2999,2795,0.93,2751
78,228.18,2999,2791,0.93,2727
79,228.08,2999,2792,0.93,2737
80,227.72,2999,2794,0.93,2739
81,228.13,2999,2793,0.93,2735
82,227.9,2999,2792,0.93,2733
83,228.09,2999,2797,0.93,2726
84,227.61,2999,2796,0.93,2724
85,227.99,2999,2797,0.93,2729
86,227.86,2999,2794,0.93,2734
87,228.12,2999,2795,0.93,2730
88,227.29,2999,2796,0.93,2729
89,227.44,2999,2793,0.93,2735
90,228.05,2999,2793,0.93,2729
91,227.44,2999,2797,0.93,2724
92,228.03,2999,2795,0.93,2729
93,227.02,2999,2789,0.93,2704
94,228.09,2999,2792,0.93,2733
95,228.41,2999,2794,0.93,2744
96,228.56,2999,2792,0.93,2728
97,228.31,2999,2792,0.93,2730
98,228.32,2999,2798,0.93,2737
99,227.95,2999,2794,0.93,2752
100,227.67,2999,2794,0.93,2741
