episode,avg_travel_time,total,complete,ratio,stops
1,822.84,5496,3611,0.66,4325
2,726.85,5642,4136,0.73,4433
3,714.9,5548,4110,0.74,4357
4,712.53,5676,4078,0.72,4499
5,851.93,5387,3510,0.65,4227
6,840.61,5488,3630,0.66,4290
7,798.9,5507,3816,0.69,4300
8,756.51,5619,3973,0.71,4413
9,733.45,5678,4123,0.73,4464
10,765.01,5670,3914,0.69,4436
11,686.11,5708,4312,0.76,4492
12,638.31,5838,4556,0.78,4619
13,626.08,5967,4575,0.77,4750
14,627.6,5936,4648,0.78,4723
15,613.28,5839,4719,0.81,4642
16,636.37,5873,4429,0.75,4634
17,702.0,5763,4296,0.75,4548
18,627.37,5974,4504,0.75,4752
19,605.97,5857,4555,0.78,4637
20,575.07,5973,4846,0.81,4753
21,591.76,6067,4683,0.77,4849
22,560.55,5850,4838,0.83,4629
23,601.18,5844,4678,0.8,4677
24,559.98,5927,4931,0.83,4707
25,530.14,5899,4919,0.83,4686
26,536.29,6080,5065,0.83,4853
27,536.25,5897,4941,0.84,4674
28,506.46,6063,5080,0.84,4839
29,496.03,6059,5140,0.85,4833
30,502.17,6056,5127,0.85,4843
31,486.68,6052,5203,0.86,4837
32,481.76,6058,5176,0.85,4847
33,489.69,6053,5114,0.84,4838
34,496.98,6095,5111,0.84,4879
35,471.85,6056,5244,0.87,4842
36,470.55,6041,5256,0.87,4829
37,472.37,6032,5186,0.86,4799
38,470.0,6059,5214,0.86,4829
39,458.34,6037,5260,0.87,4802
40,460.17,6051,5252,0.87,4816
41,453.72,6071,5253,0.87,4842
42,456.74,6048,5268,0.87,4790
43,446.87,6078,5294,0.87,4845
44,453.14,6028,5290,0.88,4802
45,451.58,6069,5253,0.87,4835
46,437.36,6101,5316,0.87,4870
47,432.24,6082,5299,0.87,4867
48,439.66,6104,5319,0.87,4865
49,426.77,6107,5368,0.88,4882
50,430.12,6105,5358,0.88,4850
51,434.64,6094,5321,0.87,4853
52,430.46,6091,5362,0.88,4846
53,422.97,6106,5361,0.88,4877
54,421.66,6097,5358,0.88,4869
55,427.3,6090,5342,0.88,4834
56,419.36,6112,5390,0.88,4875
57,420.09,6103,5368,0.88,4865
58,418.09,6105,5389,0.88,4856
59,419.77,6111,5387,0.88,4863
60,419.71,6098,5369,0.88,4843
61,415.16,6104,5401,0.88,4861
62,412.23,6110,5387,0.88,4866
63,411.66,6114,5421,0.89,4876
64,410.19,6106,5358,0.88,4889
