episode,avg_travel_time,total,complete,ratio,stops
1,1374.94,2326,561,0.24,2241
2,1247.03,2401,781,0.33,2317
3,1273.48,2384,711,0.3,2298
4,1209.14,2446,805,0.33,2358
5,1243.24,2394,730,0.3,2310
6,1222.37,2419,775,0.32,2336
7,1208.26,2376,815,0.34,2296
8,1245.07,2346,741,0.32,2269
9,1263.92,2340,705,0.3,2258
10,1197.4,2406,840,0.35,2309
11,1205.77,2374,805,0.34,2288
12,1173.36,2391,861,0.36,2297
13,1177.59,2387,860,0.36,2296
14,1169.92,2354,894,0.38,2253
15,1145.11,2404,906,0.38,2321
16,1128.42,2408,917,0.38,2315
17,1123.7,2397,935,0.39,2301
18,1099.77,2435,1003,0.41,2331
19,1094.75,2435,989,0.41,2332
20,1108.51,2419,951,0.39,2318
21,1102.35,2419,960,0.4,2329
22,1093.75,2448,981,0.4,2351
23,1106.43,2425,970,0.4,2324
24,1102.85,2432,979,0.4,2336
25,1105.25,2483,964,0.39,2382
26,1050.41,2499,1072,0.43,2396
27,1058.23,2487,1042,0.42,2385
28,1024.71,2481,1096,0.44,2377
29,1046.77,2479,1037,0.42,2385
30,1035.52,2468,1072,0.43,2367
31,1049.58,2478,1034,0.42,2372
32,1045.89,2473,1056,0.43,2378
33,1021.01,2496,1087,0.44,2395
34,1035.37,2485,1062,0.43,2387
35,1008.34,2489,1106,0.44,2390
36,1022.18,2495,1090,0.44,2389
37,1073.67,2471,965,0.39,2371
38,1033.55,2479,1085,0.44,2370
39,1022.44,2491,1096,0.44,2386
40,1020.75,2486,1094,0.44,2385
41,1022.17,2483,1105,0.45,2383
42,1013.78,2461,1098,0.45,2351
43,1018.96,2479,1089,0.44,2368
44,1023.81,2494,1090,0.44,2389
45,1015.73,2497,1088,0.44,2388
46,1021.43,2519,1129,0.45,2416
47,1008.23,2503,1134,0.45,2402
48,1067.62,2487,1000,0.4,2380
49,1024.88,2504,1078,0.43,2402
50,1021.83,2513,1098,0.44,2422
51,1028.73,2499,1069,0.43,2395
52,1040.09,2492,1032,0.41,2390
53,1058.31,2497,999,0.4,2401
54,1027.03,2491,1104,0.44,2389
55,1027.81,2471,1076,0.44,2363
56,1030.89,2501,1095,0.44,2408
57,1020.85,2494,1106,0.44,2392
58,1025.82,2492,1085,0.44,2389
59,1005.91,2507,1129,0.45,2405
60,1069.17,2484,973,0.39,2383
61,1026.01,2489,1088,0.44,2386
62,1022.46,2498,1096,0.44,2399
63,1037.63,2493,1057,0.42,2396
64,1019.96,2499,1088,0.44,2390
65,1037.87,2500,1072,0.43,2395
66,1035.09,2482,1071,0.43,2384
67,1023.55,2496,1107,0.44,2395
68,1041.53,2483,1061,0.43,2385
69,1023.48,2508,1089,0.43,2396
70,1051.14,2485,1041,0.42,2386
71,1046.45,2502,1046,0.42,2404
72,1029.26,2499,1094,0.44,2399
73,1038.67,2494,1092,0.44,2393
74,1052.59,2504,1006,0.4,2403
75,1030.99,2503,1072,0.43,2406
76,1064.83,2479,998,0.4,2382
77,1036.76,2490,1058,0.42,2384
78,1080.83,2461,942,0.38,2367
79,1106.13,2423,953,0.39,2325
80,1046.36,2494,1047,0.42,2390
81,1068.11,2475,949,0.38,2368
82,1040.29,2478,1057,0.43,2382
83,1078.57,2478,959,0.39,2375
84,1011.39,2507,1160,0.46,2408
85,1072.04,2483,960,0.39,2384
86,1023.7,2499,1083,0.43,2400
87,1040.61,2503,1055,0.42,2409
88,1031.11,2491,1079,0.43,2392
89,1007.14,2480,1173,0.47,2370
90,1032.79,2508,1079,0.43,2407
91,1056.43,2504,978,0.39,2407
92,1035.68,2491,1052,0.42,2399
93,1049.02,2469,1029,0.42,2371
94,1154.58,2442,838,0.34,2344
95,1110.98,2459,891,0.36,2377
96,1050.03,2485,1017,0.41,2372
97,1085.59,2470,936,0.38,2373
98,1050.77,2473,1005,0.41,2375
99,1040.54,2481,1039,0.42,2376
100,1022.91,2498,1075,0.43,2395
101,1017.8,2486,1101,0.44,2383
102,1000.23,2484,1112,0.45,2380
103,1148.02,2447,827,0.34,2349
104,1031.64,2481,1072,0.43,2374
105,1014.4,2503,1118,0.45,2402
106,1018.17,2494,1090,0.44,2390
107,1030.5,2492,1061,0.43,2394
108,1035.03,2502,1042,0.42,2390
109,1035.03,2479,1068,0.43,2381
110,1058.53,2509,989,0.39,2398
111,1054.97,2480,1001,0.4,2379
112,1034.65,2482,1087,0.44,2385
113,1012.36,2481,1107,0.45,2373
114,1028.62,2482,1096,0.44,2381
115,1022.01,2496,1115,0.45,2392
116,1031.94,2480,1083,0.44,2378
117,1175.03,2393,813,0.34,2306
118,1016.95,2505,1098,0.44,2402
119,1017.9,2480,1075,0.43,2387
120,1024.02,2466,1077,0.44,2379
121,1025.67,2499,1087,0.43,2403
122,1023.45,2491,1083,0.43,2396
123,1022.11,2485,1072,0.43,2379
124,1013.8,2488,1100,0.44,2389
125,1040.52,2471,1064,0.43,2369
126,1017.87,2524,1149,0.46,2422
127,1058.79,2463,1055,0.43,2366
128,1103.92,2455,926,0.38,2357
129,1035.94,2483,1074,0.43,2385
130,1007.34,2500,1179,0.47,2395
131,1015.12,2496,1125,0.45,2398
132,1172.56,2446,813,0.33,2354
133,1038.63,2495,1053,0.42,2404
134,1043.51,2493,1053,0.42,2396
135,1045.46,2480,1027,0.41,2384
136,1155.37,2408,850,0.35,2321
137,1026.8,2496,1060,0.42,2396
138,1047.16,2467,1030,0.42,2363
139,1046.18,2490,1024,0.41,2389
140,1026.77,2488,1083,0.44,2385
141,1015.98,2507,1089,0.43,2414
142,1032.05,2488,1065,0.43,2382
143,1018.15,2494,1089,0.44,2392
144,1039.32,2490,1056,0.42,2389
145,1023.75,2509,1099,0.44,2405
146,1031.78,2492,1058,0.42,2388
147,1022.97,2487,1073,0.43,2378
148,1072.9,2494,1000,0.4,2397
149,1152.2,2486,821,0.33,2383
150,1083.66,2466,947,0.38,2361
151,1059.55,2475,980,0.4,2373
152,1027.16,2505,1090,0.44,2406
153,1087.73,2472,923,0.37,2364
154,1044.94,2505,1038,0.41,2406
155,1022.09,2497,1060,0.42,2400
156,1042.8,2500,1045,0.42,2392
157,1068.4,2491,1016,0.41,2392
158,1033.67,2499,1040,0.42,2392
159,1047.47,2494,1038,0.42,2387
160,1140.48,2480,840,0.34,2381
161,1111.73,2477,890,0.36,2377
162,1111.37,2486,892,0.36,2386
163,1125.09,2471,868,0.35,2368
164,1124.17,2483,885,0.36,2381
165,1025.4,2486,1065,0.43,2383
166,1031.5,2521,1094,0.43,2412
167,1020.92,2500,1099,0.44,2393
168,1052.01,2475,1042,0.42,2382
169,1021.92,2487,1091,0.44,2378
170,1086.18,2496,946,0.38,2387
171,1045.66,2493,1061,0.43,2386
172,1043.85,2484,1020,0.41,2378
173,1044.91,2469,1041,0.42,2359
174,1025.35,2501,1085,0.43,2395
175,1033.58,2488,1088,0.44,2389
176,1107.28,2485,902,0.36,2388
177,1060.38,2482,993,0.4,2378
178,1016.98,2503,1105,0.44,2400
179,1035.1,2502,1074,0.43,2395
180,1024.04,2502,1084,0.43,2388
181,1041.72,2492,1086,0.44,2390
182,1030.57,2489,1038,0.42,2383
183,1093.23,2487,930,0.37,2380
184,1080.97,2460,944,0.38,2363
185,1072.25,2482,955,0.38,2374
186,1041.59,2468,1052,0.43,2355
187,1114.97,2478,872,0.35,2374
188,1053.89,2474,994,0.4,2366
189,1062.81,2478,1033,0.42,2370
190,1070.96,2481,1028,0.41,2394
191,1050.33,2497,1003,0.4,2398
192,1070.1,2502,956,0.38,2394
193,1019.08,2472,1130,0.46,2370
194,1025.91,2498,1090,0.44,2392
195,1026.36,2482,1098,0.44,2371
196,1046.44,2491,1010,0.41,2382
197,1022.51,2498,1092,0.44,2388
198,1118.93,2467,866,0.35,2366
199,1027.29,2493,1090,0.44,2380
200,1038.91,2486,1039,0.42,2381
