episode,avg_travel_time,total,complete,ratio,stops
1,1344.6,2322,625,0.27,2247
2,1338.9,2324,637,0.27,2245
3,1250.46,2370,743,0.31,2288
4,1205.55,2391,796,0.33,2306
5,1231.64,2388,734,0.31,2304
6,1191.91,2395,792,0.33,2314
7,1237.38,2376,737,0.31,2296
8,1189.68,2401,812,0.34,2321
9,1143.99,2438,882,0.36,2349
10,1121.16,2450,919,0.38,2361
11,1195.28,2394,768,0.32,2314
12,1145.32,2441,851,0.35,2355
13,1153.39,2407,825,0.34,2316
14,1067.98,2459,963,0.39,2366
15,1100.91,2465,894,0.36,2365
16,1137.29,2455,863,0.35,2361
17,1155.32,2406,848,0.35,2314
18,1115.46,2457,874,0.36,2358
19,1092.77,2454,916,0.37,2358
20,1127.05,2472,881,0.36,2375
21,1101.36,2466,906,0.37,2374
22,1128.82,2441,863,0.35,2344
23,1074.38,2458,958,0.39,2347
24,1085.3,2475,921,0.37,2373
25,1078.83,2503,954,0.38,2399
26,1081.32,2472,918,0.37,2368
27,1088.28,2467,929,0.38,2364
28,1075.13,2484,965,0.39,2384
29,1066.3,2482,953,0.38,2376
30,1086.55,2491,922,0.37,2385
31,1115.65,2420,893,0.37,2313
32,1053.96,2467,998,0.4,2360
33,1063.09,2481,986,0.4,2372
34,1059.1,2495,966,0.39,2385
35,1070.4,2478,941,0.38,2371
36,1100.38,2466,913,0.37,2357
37,1009.03,2494,1088,0.44,2379
38,1125.06,2434,875,0.36,2334
39,1040.69,2479,1053,0.42,2368
40,1054.28,2486,979,0.39,2379
41,1029.74,2506,1068,0.43,2394
42,1060.0,2487,967,0.39,2374
43,1050.91,2490,1003,0.4,2392
44,1061.34,2487,966,0.39,2374
45,1106.54,2464,877,0.36,2360
46,1089.06,2480,922,0.37,2374
47,1019.94,2499,1070,0.43,2384
48,1064.12,2482,969,0.39,2381
49,1104.14,2470,899,0.36,2367
50,1085.51,2473,907,0.37,2375
51,1079.94,2489,944,0.38,2388
52,1075.31,2462,938,0.38,2358
53,1071.38,2481,970,0.39,2372
54,1106.6,2475,890,0.36,2374
55,1094.83,2471,885,0.36,2376
56,1071.85,2483,942,0.38,2383
57,1064.24,2502,953,0.38,2398
58,1074.87,2487,942,0.38,2385
59,1080.27,2493,936,0.38,2395
60,1055.23,2472,965,0.39,2372
61,1102.22,2455,885,0.36,2358
62,1099.9,2468,880,0.36,2368
63,1066.61,2492,947,0.38,2385
64,1076.68,2457,922,0.38,2352
65,1067.77,2479,938,0.38,2378
66,1106.31,2456,891,0.36,2347
67,1083.61,2467,920,0.37,2365
68,1067.23,2497,949,0.38,2402
69,1063.66,2476,962,0.39,2375
70,1040.06,2489,1017,0.41,2382
71,1099.06,2481,888,0.36,2388
72,1095.71,2478,943,0.38,2382
73,1084.79,2483,912,0.37,2379
74,1063.09,2493,971,0.39,2388
75,1044.14,2501,1011,0.4,2385
76,1075.48,2492,945,0.38,2390
77,1052.38,2487,975,0.39,2383
78,1035.48,2489,1006,0.4,2383
79,1053.48,2478,973,0.39,2370
80,1068.01,2462,950,0.39,2353
81,1051.46,2473,1001,0.4,2364
82,1027.12,2500,1043,0.42,2382
83,1068.26,2455,963,0.39,2341
84,1057.64,2494,970,0.39,2391
85,1003.98,2492,1086,0.44,2377
86,1062.17,2495,969,0.39,2385
87,1049.66,2486,1004,0.4,2382
88,1066.54,2465,952,0.39,2356
89,1022.95,2496,1036,0.42,2383
90,1051.47,2521,997,0.4,2413
91,1067.79,2485,952,0.38,2374
92,1007.68,2493,1104,0.44,2376
93,1021.8,2501,1097,0.44,2387
94,1049.83,2485,1015,0.41,2374
95,1005.4,2514,1117,0.44,2402
96,1098.58,2438,907,0.37,2335
97,1080.26,2493,933,0.37,2395
98,1056.53,2496,963,0.39,2384
99,1075.18,2485,951,0.38,2375
100,1099.34,2487,896,0.36,2380
101,1008.25,2506,1074,0.43,2396
102,1056.92,2513,970,0.39,2407
