episode,avg_travel_time,total,complete,ratio,stops
1,1300.67,2298,687,0.3,2233
2,1287.81,2313,693,0.3,2245
3,1192.34,2343,813,0.35,2274
4,1225.79,2329,749,0.32,2261
5,1099.49,2381,944,0.4,2313
6,1040.32,2366,1002,0.42,2292
7,1032.47,2385,1042,0.44,2316
8,956.05,2384,1133,0.48,2293
9,988.6,2386,1061,0.44,2308
10,928.43,2422,1167,0.48,2330
11,871.45,2426,1261,0.52,2333
12,856.04,2470,1258,0.51,2374
13,789.68,2531,1359,0.54,2434
14,771.23,2537,1389,0.55,2436
15,755.15,2543,1451,0.57,2442
16,505.53,2647,1997,0.75,2516
17,435.08,2689,2246,0.84,2553
18,453.59,2696,2124,0.79,2556
19,382.9,2722,2387,0.88,2583
20,325.68,2735,2515,0.92,2591
21,302.32,2761,2541,0.92,2614
22,276.38,2797,2587,0.92,2649
23,256.08,2824,2619,0.93,2661
24,243.92,2824,2634,0.93,2666
25,229.04,2824,2651,0.94,2651
26,224.88,2824,2660,0.94,2635
27,220.98,2824,2649,0.94,2640
28,218.7,2824,2662,0.94,2647
29,215.96,2824,2664,0.94,2637
30,211.79,2824,2669,0.95,2615
31,208.94,2824,2663,0.94,2610
32,207.2,2824,2670,0.95,2611
33,206.84,2824,2671,0.95,2587
34,204.12,2824,2668,0.94,2605
35,203.39,2824,2672,0.95,2596
36,203.16,2824,2674,0.95,2594
37,201.69,2824,2678,0.95,2584
38,201.4,2824,2676,0.95,2564
39,199.09,2824,2672,0.95,2577
40,199.47,2824,2679,0.95,2593
41,198.67,2824,2679,0.95,2588
42,198.16,2824,2681,0.95,2573
43,197.8,2824,2672,0.95,2587
44,197.75,2824,2681,0.95,2585
45,196.91,2824,2674,0.95,2561
46,197.03,2824,2680,0.95,2601
47,196.78,2824,2683,0.95,2568
48,196.79,2824,2684,0.95,2563
49,195.72,2824,2681,0.95,2582
50,196.0,2824,2682,0.95,2563
51,196.56,2824,2680,0.95,2567
52,194.62,2824,2675,0.95,2576
53,195.69,2824,2680,0.95,2572
54,194.5,2824,2680,0.95,2556
55,194.92,2824,2680,0.95,2552
56,193.51,2824,2680,0.95,2545
57,194.41,2824,2675,0.95,2537
58,194.01,2824,2678,0.95,2556
59,194.83,2824,2680,0.95,2564
60,193.95,2824,2688,0.95,2549
61,193.1,2824,2686,0.95,2547
62,194.14,2824,2679,0.95,2539
63,193.74,2824,2678,0.95,2541
64,193.06,2824,2687,0.95,2542
65,192.95,2824,2680,0.95,2532
66,193.65,2824,2684,0.95,2563
67,193.44,2824,2679,0.95,2563
68,192.97,2824,2677,0.95,2545
69,192.36,2824,2685,0.95,2543
70,192.57,2824,2683,0.95,2534
71,192.93,2824,2676,0.95,2535
72,192.42,2824,2682,0.95,2549
73,193.28,2824,2685,0.95,2563
74,193.21,2824,2683,0.95,2536
75,192.43,2824,2682,0.95,2545
76,192.66,2824,2683,0.95,2532
77,192.2,2824,2678,0.95,2541
78,192.65,2824,2685,0.95,2524
79,192.89,2824,2679,0.95,2550
80,193.48,2824,2680,0.95,2550
81,192.13,2824,2681,0.95,2549
82,193.29,2824,2683,0.95,2532
83,192.79,2824,2681,0.95,2526
84,192.65,2824,2684,0.95,2544
85,192.29,2824,2685,0.95,2531
86,192.13,2824,2683,0.95,2543
87,193.89,2824,2679,0.95,2547
88,193.01,2824,2683,0.95,2526
89,192.66,2824,2678,0.95,2526
90,192.79,2824,2682,0.95,2556
91,192.0,2824,2686,0.95,2535
92,193.33,2824,2683,0.95,2516
93,192.78,2824,2683,0.95,2546
94,193.25,2824,2677,0.95,2525
95,192.43,2824,2681,0.95,2550
96,191.98,2824,2684,0.95,2551
97,192.64,2824,2685,0.95,2554
98,192.19,2824,2682,0.95,2556
99,192.29,2824,2684,0.95,2548
100,192.3,2824,2684,0.95,2523
101,192.35,2824,2684,0.95,2536
102,192.73,2824,2684,0.95,2539
103,192.39,2824,2683,0.95,2564
104,191.86,2824,2684,0.95,2551
105,193.12,2824,2682,0.95,2536
106,191.54,2824,2682,0.95,2527
107,192.05,2824,2684,0.95,2560
108,192.38,2824,2680,0.95,2536
109,191.97,2824,2683,0.95,2545
110,192.62,2824,2684,0.95,2531
111,192.74,2824,2686,0.95,2561
112,192.28,2824,2678,0.95,2541
113,191.64,2824,2686,0.95,2519
114,191.73,2824,2686,0.95,2542
115,192.81,2824,2681,0.95,2548
116,192.96,2824,2682,0.95,2518
117,192.64,2824,2682,0.95,2556
118,192.36,2824,2685,0.95,2524
119,192.74,2824,2686,0.95,2523
120,192.58,2824,2681,0.95,2536
121,192.67,2824,2679,0.95,2540
122,191.45,2824,2685,0.95,2537
123,191.91,2824,2681,0.95,2530
124,192.39,2824,2685,0.95,2530
