episode,avg_travel_time,total,complete,ratio,stops
1,1253.98,2333,746,0.32,2263
2,1245.7,2340,739,0.32,2273
3,1152.37,2378,865,0.36,2306
4,1084.61,2403,968,0.4,2328
5,1058.94,2415,1024,0.42,2339
6,889.94,2487,1244,0.5,2396
7,803.42,2513,1438,0.57,2421
8,662.03,2611,1714,0.66,2505
9,612.96,2634,1753,0.67,2530
10,495.33,2700,1992,0.74,2575
11,375.78,2741,2469,0.9,2587
12,295.08,2766,2561,0.93,2584
13,286.58,2758,2568,0.93,2587
14,236.3,2824,2642,0.94,2622
15,226.09,2824,2657,0.94,2625
16,217.23,2824,2661,0.94,2633
17,211.91,2824,2661,0.94,2596
18,208.61,2824,2669,0.95,2588
19,204.92,2824,2670,0.95,2592
20,200.52,2824,2673,0.95,2560
21,201.28,2824,2672,0.95,2580
22,199.65,2824,2681,0.95,2567
23,198.46,2824,2675,0.95,2559
24,198.3,2824,2678,0.95,2554
25,197.92,2824,2681,0.95,2570
26,197.64,2824,2677,0.95,2550
27,196.27,2824,2674,0.95,2549
28,197.25,2824,2679,0.95,2557
29,196.22,2824,2680,0.95,2542
30,195.36,2824,2681,0.95,2542
31,195.89,2824,2677,0.95,2536
32,193.94,2824,2678,0.95,2546
33,194.64,2824,2679,0.95,2539
34,194.61,2824,2684,0.95,2551
35,194.51,2824,2681,0.95,2551
36,194.72,2824,2680,0.95,2546
37,195.44,2824,2679,0.95,2542
38,194.86,2824,2675,0.95,2555
39,194.6,2824,2678,0.95,2562
40,193.75,2824,2681,0.95,2553
41,194.26,2824,2686,0.95,2552
42,194.22,2824,2683,0.95,2547
43,193.37,2824,2684,0.95,2537
44,192.94,2824,2690,0.95,2548
45,193.17,2824,2686,0.95,2519
46,193.88,2824,2684,0.95,2551
47,194.0,2824,2679,0.95,2530
48,193.39,2824,2681,0.95,2535
49,192.33,2824,2681,0.95,2533
50,193.2,2824,2684,0.95,2543
51,193.41,2824,2681,0.95,2537
52,192.59,2824,2678,0.95,2534
53,193.26,2824,2683,0.95,2533
54,193.72,2824,2681,0.95,2541
55,193.59,2824,2686,0.95,2552
56,192.5,2824,2687,0.95,2531
57,192.79,2824,2680,0.95,2533
58,192.73,2824,2684,0.95,2526
59,192.19,2824,2686,0.95,2539
60,192.97,2824,2681,0.95,2530
61,193.55,2824,2683,0.95,2550
62,192.37,2824,2677,0.95,2534
63,193.22,2824,2681,0.95,2542
64,192.48,2824,2681,0.95,2517
65,192.75,2824,2681,0.95,2549
66,192.62,2824,2685,0.95,2540
67,192.69,2824,2681,0.95,2516
68,193.3,2824,2682,0.95,2536
69,192.9,2824,2684,0.95,2526
70,192.14,2824,2685,0.95,2530
71,193.2,2824,2682,0.95,2524
72,193.83,2824,2684,0.95,2529
73,193.45,2824,2681,0.95,2549
74,192.98,2824,2683,0.95,2520
75,192.65,2824,2683,0.95,2537
76,192.71,2824,2684,0.95,2527
77,192.62,2824,2688,0.95,2509
78,192.97,2824,2676,0.95,2527
79,192.71,2824,2685,0.95,2557
80,192.66,2824,2682,0.95,2520
81,192.97,2824,2682,0.95,2539
82,192.83,2824,2681,0.95,2536
83,191.97,2824,2685,0.95,2536
84,191.89,2824,2678,0.95,2532
85,192.98,2824,2682,0.95,2511
86,192.86,2824,2683,0.95,2542
87,192.44,2824,2685,0.95,2548
88,192.42,2824,2686,0.95,2524
89,192.4,2824,2685,0.95,2546
90,192.4,2824,2684,0.95,2535
91,192.5,2824,2688,0.95,2552
92,191.8,2824,2682,0.95,2520
93,192.92,2824,2682,0.95,2522
94,193.44,2824,2681,0.95,2543
95,192.72,2824,2682,0.95,2529
96,193.03,2824,2686,0.95,2544
97,191.49,2824,2686,0.95,2514
98,192.07,2824,2684,0.95,2535
