episode,avg_travel_time,total,complete,ratio,stops
1,798.48,5576,3649,0.65,4393
2,726.09,5645,3833,0.68,4456
3,755.49,5650,3911,0.69,4484
4,745.27,5771,4029,0.7,4594
5,741.85,5619,3991,0.71,4425
6,680.34,5801,4231,0.73,4562
7,657.74,5911,4485,0.76,4687
8,654.89,5968,4528,0.76,4744
9,690.46,5837,4402,0.75,4599
10,653.45,5943,4450,0.75,4709
11,648.12,5895,4429,0.75,4640
12,647.7,5876,4519,0.77,4646
13,632.74,5899,4567,0.77,4644
14,646.39,5760,4350,0.76,4513
15,642.22,5854,4457,0.76,4592
16,650.68,5871,4157,0.71,4612
17,689.95,5880,3992,0.68,4614
18,655.34,5956,4192,0.7,4685
19,647.66,5962,4303,0.72,4638
20,594.83,6056,4748,0.78,4742
21,613.85,5810,4501,0.77,4560
22,646.71,6022,4353,0.72,4752
23,606.48,6023,4676,0.78,4761
24,577.12,5990,4650,0.78,4670
25,499.53,6164,4989,0.81,4856
26,521.38,6185,4863,0.79,4917
27,578.77,6093,4595,0.75,4835
28,633.56,5800,4211,0.73,4569
29,570.08,5902,4619,0.78,4642
30,557.65,6151,4754,0.77,4848
31,491.27,6226,5007,0.8,4972
32,576.25,5973,4517,0.76,4711
33,510.79,6168,4918,0.8,4884
34,493.86,6226,5113,0.82,4940
35,545.34,6213,4973,0.8,4936
36,544.12,6108,4800,0.79,4796
37,464.94,6295,5213,0.83,5034
38,531.64,6209,5030,0.81,4912
39,447.53,6295,5300,0.84,5026
40,572.9,6051,4687,0.77,4742
41,490.94,6255,4953,0.79,4974
42,550.06,6222,4952,0.8,4909
43,452.0,6295,5363,0.85,5012
44,436.08,6284,5401,0.86,4994
45,527.97,6158,4929,0.8,4855
46,447.51,6295,5339,0.85,4993
47,474.6,6283,5295,0.84,5001
48,479.08,6289,5208,0.83,5019
49,443.3,6295,5380,0.85,5007
50,435.03,6295,5413,0.86,5011
51,427.71,6295,5471,0.87,5012
52,424.06,6295,5454,0.87,5003
53,410.21,6295,5473,0.87,4998
54,414.81,6295,5518,0.88,5006
55,406.04,6295,5511,0.88,5009
56,398.87,6295,5533,0.88,5037
57,398.49,6295,5535,0.88,5007
58,392.1,6295,5495,0.87,4981
59,388.53,6295,5542,0.88,5010
60,393.37,6295,5557,0.88,5002
61,383.85,6295,5575,0.89,5018
62,382.86,6295,5553,0.88,5009
63,377.5,6295,5589,0.89,5009
64,375.11,6295,5581,0.89,5030
65,369.91,6295,5590,0.89,5003
66,370.21,6295,5590,0.89,5033
67,369.3,6295,5610,0.89,5005
68,372.5,6295,5609,0.89,5011
69,362.71,6295,5598,0.89,5016
70,364.52,6295,5615,0.89,4991
71,362.29,6295,5628,0.89,5004
72,363.48,6295,5603,0.89,4967
73,360.77,6295,5598,0.89,5002
74,356.99,6295,5624,0.89,5007
75,358.46,6295,5636,0.9,5016
76,358.74,6295,5622,0.89,4997
77,353.24,6295,5628,0.89,5012
78,357.68,6295,5605,0.89,5007
79,352.84,6295,5631,0.89,4998
80,352.82,6295,5632,0.89,5001
81,351.69,6295,5640,0.9,5006
82,352.67,6295,5615,0.89,5012
