episode,avg_travel_time,total,complete,ratio,stops
1,706.86,5867,3948,0.67,4679
2,618.03,5952,4376,0.74,4741
3,599.46,5907,4474,0.76,4673
4,441.02,6204,5316,0.86,4947
5,428.89,6237,5321,0.85,5032
6,409.06,6256,5419,0.87,5010
7,408.86,6240,5434,0.87,4978
8,402.49,6193,5398,0.87,4918
9,391.0,6255,5471,0.87,5015
10,388.24,6230,5421,0.87,4973
11,379.74,6288,5485,0.87,5022
12,375.93,6290,5505,0.88,5019
13,368.55,6295,5567,0.88,5028
14,361.62,6295,5597,0.89,5029
15,365.37,6295,5550,0.88,5018
16,359.7,6295,5582,0.89,5026
17,359.66,6295,5571,0.88,5020
18,354.6,6295,5624,0.89,5015
19,349.57,6295,5624,0.89,4976
20,349.2,6295,5613,0.89,5009
21,347.47,6295,5620,0.89,5004
22,345.26,6295,5609,0.89,4995
23,345.53,6295,5613,0.89,5011
24,346.18,6295,5633,0.89,4999
25,342.61,6295,5633,0.89,4995
26,341.22,6295,5642,0.9,5018
27,341.39,6295,5647,0.9,4990
28,338.7,6295,5649,0.9,5014
29,338.27,6295,5656,0.9,4996
30,337.33,6295,5647,0.9,5025
31,339.45,6295,5645,0.9,5014
32,338.84,6295,5642,0.9,5019
33,337.82,6295,5662,0.9,5001
34,334.28,6295,5657,0.9,4992
35,336.32,6295,5644,0.9,5014
36,336.78,6295,5657,0.9,4999
37,333.19,6295,5668,0.9,5013
38,333.62,6295,5665,0.9,5002
39,335.06,6295,5658,0.9,4999
40,334.59,6295,5664,0.9,5011
41,333.42,6295,5653,0.9,5009
42,330.9,6295,5665,0.9,5028
43,331.6,6295,5667,0.9,4990
44,333.6,6295,5672,0.9,4998
45,331.75,6295,5680,0.9,5006
46,335.6,6295,5661,0.9,5000
47,331.44,6295,5671,0.9,5015
48,331.97,6295,5673,0.9,5024
49,329.56,6295,5677,0.9,5011
50,330.59,6295,5665,0.9,5012
51,330.37,6295,5663,0.9,5011
52,331.4,6295,5659,0.9,5011
