episode,avg_travel_time,total,complete,ratio,stops
1,730.75,2795,2004,0.72,2153
2,693.54,2890,2092,0.72,2248
3,633.15,2925,2259,0.77,2268
4,584.28,2972,2332,0.78,2329
5,577.72,2972,2341,0.79,2327
6,606.65,2948,2339,0.79,2305
7,520.76,2983,2481,0.83,2312
8,468.03,2983,2557,0.86,2289
9,478.54,2983,2534,0.85,2296
10,426.01,2983,2613,0.88,2260
11,423.6,2983,2637,0.88,2267
12,411.91,2983,2659,0.89,2280
13,409.93,2983,2659,0.89,2267
14,387.34,2983,2689,0.9,2231
15,402.53,2983,2638,0.88,2227
16,382.2,2983,2683,0.9,2233
17,377.61,2983,2687,0.9,2221
18,380.21,2983,2695,0.9,2241
19,376.36,2983,2687,0.9,2245
20,375.64,2983,2699,0.9,2246
21,372.73,2983,2696,0.9,2222
22,371.33,2983,2699,0.9,2199
23,370.21,2983,2694,0.9,2232
24,370.55,2983,2700,0.91,2207
25,368.46,2983,2703,0.91,2196
26,367.94,2983,2694,0.9,2212
27,369.14,2983,2694,0.9,2229
28,366.76,2983,2694,0.9,2191
29,367.3,2983,2689,0.9,2212
30,365.44,2983,2699,0.9,2210
31,367.13,2983,2699,0.9,2210
32,365.75,2983,2693,0.9,2190
33,365.26,2983,2694,0.9,2205
34,365.53,2983,2695,0.9,2201
35,366.86,2983,2709,0.91,2212
36,365.12,2983,2691,0.9,2198
37,364.09,2983,2693,0.9,2211
38,363.17,2983,2694,0.9,2202
39,366.65,2983,2697,0.9,2219
40,366.65,2983,2700,0.91,2205
41,363.46,2983,2695,0.9,2190
42,365.69,2983,2698,0.9,2221
43,365.18,2983,2703,0.91,2202
44,365.41,2983,2701,0.91,2198
45,365.45,2983,2704,0.91,2175
46,364.25,2983,2697,0.9,2185
47,363.37,2983,2698,0.9,2195
48,363.01,2983,2696,0.9,2210
49,362.8,2983,2700,0.91,2181
50,363.42,2983,2707,0.91,2198
51,362.41,2983,2707,0.91,2229
52,362.16,2983,2696,0.9,2183
53,364.18,2983,2700,0.91,2196
54,362.15,2983,2697,0.9,2187
55,361.58,2983,2696,0.9,2161
56,363.0,2983,2710,0.91,2202
57,364.16,2983,2692,0.9,2192
58,363.33,2983,2701,0.91,2191
59,364.25,2983,2706,0.91,2199
60,362.33,2983,2702,0.91,2186
61,363.18,2983,2700,0.91,2173
62,361.91,2983,2699,0.9,2188
63,362.24,2983,2706,0.91,2205
64,362.95,2983,2698,0.9,2203
65,364.45,2983,2698,0.9,2205
66,362.12,2983,2695,0.9,2203
67,363.24,2983,2698,0.9,2202
68,360.9,2983,2696,0.9,2181
69,360.91,2983,2695,0.9,2169
70,361.85,2983,2699,0.9,2189
71,362.91,2983,2703,0.91,2172
72,363.8,2983,2705,0.91,2184
73,362.75,2983,2694,0.9,2190
74,361.83,2983,2706,0.91,2157
75,363.36,2983,2703,0.91,2191
76,362.12,2983,2703,0.91,2192
77,360.98,2983,2706,0.91,2191
78,360.36,2983,2694,0.9,2162
79,361.58,2983,2695,0.9,2174
80,362.87,2983,2693,0.9,2190
81,361.01,2983,2696,0.9,2173
82,359.77,2983,2704,0.91,2202
83,363.7,2983,2695,0.9,2189
84,361.51,2983,2698,0.9,2169
85,362.06,2983,2706,0.91,2179
86,363.07,2983,2700,0.91,2187
87,361.09,2983,2695,0.9,2175
88,361.76,2983,2694,0.9,2183
89,362.36,2983,2690,0.9,2166
90,361.62,2983,2699,0.9,2158
91,362.18,2983,2696,0.9,2196
92,361.29,2983,2696,0.9,2175
93,360.95,2983,2693,0.9,2180
94,361.32,2983,2693,0.9,2171
95,363.5,2983,2697,0.9,2180
96,362.68,2983,2704,0.91,2146
97,361.73,2983,2704,0.91,2167
98,362.11,2983,2709,0.91,2179
99,359.99,2983,2710,0.91,2187
100,361.36,2983,2709,0.91,2201
101,363.07,2983,2702,0.91,2188
102,359.67,2983,2701,0.91,2182
103,360.18,2983,2694,0.9,2161
104,363.1,2983,2705,0.91,2184
105,361.1,2983,2707,0.91,2188
106,362.97,2983,2697,0.9,2174
107,362.22,2983,2698,0.9,2193
108,362.78,2983,2707,0.91,2163
109,361.79,2983,2694,0.9,2191
110,361.43,2983,2698,0.9,2197
111,362.83,2983,2704,0.91,2178
112,360.84,2983,2704,0.91,2175
113,361.36,2983,2709,0.91,2166
114,361.26,2983,2702,0.91,2171
115,362.21,2983,2701,0.91,2171
116,360.98,2983,2708,0.91,2186
117,361.23,2983,2700,0.91,2180
118,359.7,2983,2706,0.91,2190
119,362.83,2983,2701,0.91,2184
120,361.27,2983,2695,0.9,2191
121,359.85,2983,2701,0.91,2168
122,361.39,2983,2691,0.9,2212
123,362.05,2983,2700,0.91,2193
124,362.34,2983,2699,0.9,2187
125,362.18,2983,2707,0.91,2201
126,361.76,2983,2698,0.9,2191
127,362.03,2983,2697,0.9,2203
128,361.03,2983,2698,0.9,2196
129,361.92,2983,2702,0.91,2182
130,360.25,2983,2695,0.9,2199
131,361.55,2983,2698,0.9,2192
132,360.59,2983,2707,0.91,2172
133,361.08,2983,2698,0.9,2183
134,360.77,2983,2705,0.91,2188
135,361.13,2983,2697,0.9,2207
136,361.58,2983,2705,0.91,2185
137,360.8,2983,2702,0.91,2196
138,362.33,2983,2700,0.91,2194
139,361.18,2983,2706,0.91,2208
140,361.38,2983,2703,0.91,2179
141,360.57,2983,2705,0.91,2197
142,361.54,2983,2703,0.91,2192
143,361.02,2983,2695,0.9,2205
144,362.13,2983,2701,0.91,2202
145,361.93,2983,2699,0.9,2221
146,362.77,2983,2701,0.91,2202
147,361.37,2983,2705,0.91,2201
148,360.87,2983,2697,0.9,2189
149,361.85,2983,2703,0.91,2187
150,360.17,2983,2697,0.9,2208
151,361.48,2983,2704,0.91,2201
152,360.44,2983,2696,0.9,2219
153,361.84,2983,2706,0.91,2224
154,362.05,2983,2702,0.91,2209
155,362.66,2983,2692,0.9,2191
156,361.64,2983,2696,0.9,2200
157,362.54,2983,2704,0.91,2190
158,360.81,2983,2699,0.9,2211
159,360.34,2983,2699,0.9,2192
160,363.0,2983,2698,0.9,2184
161,363.68,2983,2697,0.9,2221
162,362.35,2983,2698,0.9,2208
163,362.45,2983,2705,0.91,2211
164,362.13,2983,2699,0.9,2213
165,360.56,2983,2705,0.91,2210
166,361.88,2983,2693,0.9,2221
167,361.24,2983,2708,0.91,2196
168,361.17,2983,2703,0.91,2211
169,360.69,2983,2698,0.9,2206
170,362.98,2983,2698,0.9,2209
171,361.83,2983,2699,0.9,2203
172,361.46,2983,2689,0.9,2203
173,360.75,2983,2698,0.9,2196
174,360.6,2983,2706,0.91,2201
175,361.4,2983,2701,0.91,2188
176,361.35,2983,2704,0.91,2204
177,361.9,2983,2707,0.91,2218
178,362.72,2983,2708,0.91,2221
179,360.96,2983,2705,0.91,2177
180,361.57,2983,2705,0.91,2205
181,360.36,2983,2688,0.9,2200
182,359.85,2983,2695,0.9,2209
183,359.21,2983,2701,0.91,2171
184,361.12,2983,2686,0.9,2214
185,360.88,2983,2698,0.9,2189
186,361.75,2983,2696,0.9,2181
187,361.15,2983,2701,0.91,2173
188,361.26,2983,2704,0.91,2204
189,361.14,2983,2703,0.91,2197
190,361.32,2983,2700,0.91,2210
191,361.07,2983,2706,0.91,2181
192,360.67,2983,2694,0.9,2212
193,361.15,2983,2701,0.91,2192
194,360.1,2983,2696,0.9,2179
195,361.56,2983,2699,0.9,2191
196,360.23,2983,2709,0.91,2181
197,361.14,2983,2694,0.9,2195
198,360.51,2983,2701,0.91,2177
199,361.07,2983,2697,0.9,2183
200,361.53,2983,2702,0.91,2187
