episode,avg_travel_time,total,complete,ratio,stops
1,503.42,2947,2553,0.87,2275
2,490.06,2983,2580,0.86,2296
3,452.84,2983,2647,0.89,2287
4,420.6,2983,2636,0.88,2275
5,390.52,2983,2690,0.9,2266
6,383.42,2983,2684,0.9,2253
7,379.79,2983,2690,0.9,2217
8,373.32,2983,2686,0.9,2227
9,370.39,2983,2687,0.9,2184
10,370.92,2983,2691,0.9,2208
11,368.63,2983,2691,0.9,2175
12,366.64,2983,2692,0.9,2185
13,363.31,2983,2689,0.9,2162
14,364.68,2983,2704,0.91,2177
15,363.86,2983,2698,0.9,2146
16,362.32,2983,2697,0.9,2165
17,363.23,2983,2699,0.9,2153
18,363.84,2983,2701,0.91,2168
19,360.75,2983,2699,0.9,2152
20,361.7,2983,2689,0.9,2167
21,359.29,2983,2703,0.91,2138
22,360.19,2983,2697,0.9,2163
23,360.63,2983,2704,0.91,2140
24,360.77,2983,2702,0.91,2161
25,361.05,2983,2697,0.9,2163
26,359.82,2983,2711,0.91,2168
27,359.51,2983,2697,0.9,2166
28,358.87,2983,2702,0.91,2163
29,358.58,2983,2697,0.9,2148
30,361.4,2983,2703,0.91,2145
31,360.1,2983,2700,0.91,2136
32,359.01,2983,2705,0.91,2148
33,359.52,2983,2701,0.91,2149
34,359.37,2983,2702,0.91,2173
35,359.57,2983,2710,0.91,2157
36,357.83,2983,2701,0.91,2167
37,359.76,2983,2694,0.9,2161
38,360.0,2983,2697,0.9,2169
39,360.67,2983,2704,0.91,2157
40,359.42,2983,2706,0.91,2162
41,358.82,2983,2706,0.91,2178
42,358.19,2983,2711,0.91,2176
43,358.82,2983,2691,0.9,2168
44,359.62,2983,2697,0.9,2177
45,359.13,2983,2702,0.91,2168
46,358.61,2983,2699,0.9,2146
47,359.39,2983,2701,0.91,2162
48,359.48,2983,2703,0.91,2147
49,357.79,2983,2701,0.91,2154
50,358.27,2983,2706,0.91,2154
51,359.78,2983,2692,0.9,2135
52,359.72,2983,2698,0.9,2155
53,359.54,2983,2701,0.91,2169
54,358.91,2983,2700,0.91,2176
55,357.87,2983,2709,0.91,2159
56,359.22,2983,2696,0.9,2184
57,359.27,2983,2704,0.91,2175
58,359.65,2983,2697,0.9,2179
59,359.22,2983,2696,0.9,2133
60,359.27,2983,2696,0.9,2154
61,359.45,2983,2701,0.91,2151
62,359.09,2983,2703,0.91,2155
63,358.67,2983,2708,0.91,2142
64,359.23,2983,2703,0.91,2156
65,357.16,2983,2707,0.91,2145
66,358.24,2983,2708,0.91,2147
67,359.05,2983,2700,0.91,2153
68,358.81,2983,2698,0.9,2162
69,357.71,2983,2699,0.9,2130
70,358.06,2983,2702,0.91,2151
71,358.87,2983,2696,0.9,2162
72,359.35,2983,2705,0.91,2121
73,357.91,2983,2710,0.91,2157
74,359.23,2983,2706,0.91,2172
75,358.55,2983,2696,0.9,2145
76,358.39,2983,2701,0.91,2129
77,360.17,2983,2698,0.9,2150
78,358.86,2983,2705,0.91,2155
79,358.89,2983,2701,0.91,2141
80,358.65,2983,2699,0.9,2144
81,358.54,2983,2701,0.91,2136
82,358.24,2983,2710,0.91,2168
83,359.32,2983,2696,0.9,2150
84,358.39,2983,2706,0.91,2147
85,359.28,2983,2704,0.91,2107
86,359.4,2983,2703,0.91,2139
